relation_id	metabolite_key	metabolite_name	gene	source_relation_id	source_url	camp_g	camp_q	max_input_raw_missing_rate	mapped_tumor_specimens	n_unit	independent_patient_id	identity_status	interpretation	n_author_data_available	analysis_type	seed	origin	n	rho	ci_lower	ci_upper	p_value	p_asymptotic_descriptive	bootstrap_valid	status	q_value	test_family	family_n_planned	family_n_evaluable
HMDB:HMDB00721|PEPD	HMDB:HMDB00721	glycylproline	PEPD	R032	https://enzyme.expasy.org/EC/3.4.13.9	1.00629555593039	1.7753292914127e-06	0.659574468085106	61	author_mapped_specimens	NOT_SEPARATELY_PROVIDED	INPUT_IDENTITY_NOT_REIDENTIFIED	within CAMP exploratory association; not external replication or mediation	56.0	author_data_available_sensitivity	3351556438	NEW_CALCULATION	56	-0.14497607655502395	-0.4185199028599453	0.13460367465380116	0.2891	0.2863888578658111	4000.0	COMPUTED_EXPLORATORY	0.5203800000000001	BRCA117_v1|author_data_available_sensitivity	174	171
KEGG:C00009|PPA1	KEGG:C00009	phosphate	PPA1	R080	https://enzyme.expasy.org/EC/3.6.1.1	1.23274952613508	5.30668984072043e-07	0.0	61	author_mapped_specimens	NOT_SEPARATELY_PROVIDED	INPUT_IDENTITY_NOT_REIDENTIFIED	within CAMP exploratory association; not external replication or mediation	61.0	author_data_available_sensitivity	3275273683	NEW_CALCULATION	61	0.3212057112638815	0.06565025397740039	0.531068211006828	0.0107	0.011600457405317715	4000.0	COMPUTED_EXPLORATORY	0.10164999999999999	BRCA117_v1|author_data_available_sensitivity	174	171
KEGG:C00009|PPA2	KEGG:C00009	phosphate	PPA2	R080	https://enzyme.expasy.org/EC/3.6.1.1	1.23274952613508	5.30668984072043e-07	0.0	61	author_mapped_specimens	NOT_SEPARATELY_PROVIDED	INPUT_IDENTITY_NOT_REIDENTIFIED	within CAMP exploratory association; not external replication or mediation	61.0	author_data_available_sensitivity	1879324876	NEW_CALCULATION	61	0.18482284505552615	-0.04687585426416068	0.40686529381972514	0.1555	0.15387774571747118	4000.0	COMPUTED_EXPLORATORY	0.3682356164383562	BRCA117_v1|author_data_available_sensitivity	174	171
KEGG:C00013|PPA1	KEGG:C00013	pyrophosphate (PPi)	PPA1	R080	https://enzyme.expasy.org/EC/3.6.1.1	0.633294514648949	0.0004867811310299	0.74468085106383	61	author_mapped_specimens	NOT_SEPARATELY_PROVIDED	INPUT_IDENTITY_NOT_REIDENTIFIED	within CAMP exploratory association; not external replication or mediation	45.0	author_data_available_sensitivity	3581196315	NEW_CALCULATION	45	-0.16824769433465084	-0.446728115970031	0.13674624993550522	0.2649	0.2692557898462009	4000.0	COMPUTED_EXPLORATORY	0.49777912087912096	BRCA117_v1|author_data_available_sensitivity	174	171
KEGG:C00013|PPA2	KEGG:C00013	pyrophosphate (PPi)	PPA2	R080	https://enzyme.expasy.org/EC/3.6.1.1	0.633294514648949	0.0004867811310299	0.74468085106383	61	author_mapped_specimens	NOT_SEPARATELY_PROVIDED	INPUT_IDENTITY_NOT_REIDENTIFIED	within CAMP exploratory association; not external replication or mediation	45.0	author_data_available_sensitivity	4204319453	NEW_CALCULATION	45	0.08208168642951251	-0.193536200108878	0.32849055978767	0.5878	0.591936395533478	4000.0	COMPUTED_EXPLORATORY	0.7372970802919707	BRCA117_v1|author_data_available_sensitivity	174	171
KEGG:C00021|AHCY	KEGG:C00021	S-adenosylhomocysteine (SAH)	AHCY	R029	https://enzyme.expasy.org/EC/3.13.2.1	0.443397127279218	0.037606997574713	0.170212765957447	61	author_mapped_specimens	NOT_SEPARATELY_PROVIDED	INPUT_IDENTITY_NOT_REIDENTIFIED	within CAMP exploratory association; not external replication or mediation	55.0	author_data_available_sensitivity	1697933355	NEW_CALCULATION	55	0.09047619047619049	-0.19173041602065466	0.346909333310255	0.512	0.5112279228330826	4000.0	COMPUTED_EXPLORATORY	0.6786976744186047	BRCA117_v1|author_data_available_sensitivity	174	171
KEGG:C00021|NNMT	KEGG:C00021	S-adenosylhomocysteine (SAH)	NNMT	R072	https://enzyme.expasy.org/EC/2.1.1.1	0.443397127279218	0.037606997574713	0.170212765957447	61	author_mapped_specimens	NOT_SEPARATELY_PROVIDED	INPUT_IDENTITY_NOT_REIDENTIFIED	within CAMP exploratory association; not external replication or mediation	55.0	author_data_available_sensitivity	3342389511	NEW_CALCULATION	55	-0.019841269841269844	-0.293282899629844	0.26417183251711773	0.8811	0.8856733338690921	4000.0	COMPUTED_EXPLORATORY	0.9243441717791412	BRCA117_v1|author_data_available_sensitivity	174	171
KEGG:C00025|ASNS	KEGG:C00025	glutamate	ASNS	R003	https://www.kegg.jp/entry/6.3.5.4	1.76291003863997	2.72915698370918e-10	0.0	61	author_mapped_specimens	NOT_SEPARATELY_PROVIDED	INPUT_IDENTITY_NOT_REIDENTIFIED	within CAMP exploratory association; not external replication or mediation	61.0	author_data_available_sensitivity	588663557	NEW_CALCULATION	61	0.23273400317292434	-0.04069484764623163	0.4669763520554182	0.0713	0.07107779214665984	4000.0	COMPUTED_EXPLORATORY	0.24230377358490568	BRCA117_v1|author_data_available_sensitivity	174	171
KEGG:C00025|BCAT1	KEGG:C00025	glutamate	BCAT1	R021	https://enzyme.expasy.org/EC/2.6.1.42	1.76291003863997	2.72915698370918e-10	0.0	61	author_mapped_specimens	NOT_SEPARATELY_PROVIDED	INPUT_IDENTITY_NOT_REIDENTIFIED	within CAMP exploratory association; not external replication or mediation	61.0	author_data_available_sensitivity	2165229078	NEW_CALCULATION	61	0.29418297197250126	0.04504953601108605	0.5109131156364688	0.0211	0.021375258144167724	4000.0	COMPUTED_EXPLORATORY	0.13877307692307694	BRCA117_v1|author_data_available_sensitivity	174	171
KEGG:C00025|BCAT2	KEGG:C00025	glutamate	BCAT2	R021	https://enzyme.expasy.org/EC/2.6.1.42	1.76291003863997	2.72915698370918e-10	0.0	61	author_mapped_specimens	NOT_SEPARATELY_PROVIDED	INPUT_IDENTITY_NOT_REIDENTIFIED	within CAMP exploratory association; not external replication or mediation	61.0	author_data_available_sensitivity	372535920	NEW_CALCULATION	61	0.3253305129561079	0.05078486152425654	0.5783943559157109	0.01	0.010516847209825734	4000.0	COMPUTED_EXPLORATORY	0.10058823529411764	BRCA117_v1|author_data_available_sensitivity	174	171
