gene	protein_n_complete_pairs	protein_tumor_mean	protein_solid_tissue_normal_mean	protein_paired_mean_delta_tumor_minus_normal	protein_paired_delta_sd	protein_paired_delta_se	protein_ci_lower	protein_ci_upper	protein_paired_t_p_value	protein_paired_wilcoxon_p_value	protein_direction	protein_status	protein_value_scale	protein_paired_t_fdr	protein_paired_wilcoxon_fdr	feature_status	tumor_unique_cases_mapped	tumor_finite	normal_unique_cases_mapped	normal_finite
GPCPD1	17.0	0.028352941176470595	-0.05958823529411764	0.08794117647058824	0.5299634363081376	0.128535013271397	-0.18454087929888924	0.3604232322400657	0.5036510922992821	0.7466583251953125	TUMOR_HIGHER	ANALYSED	PDC supplied log2_ratio; exploratory unadjusted contrast	0.5036510922992821	0.7466583251953125	UNIQUE	118	118	18	18
PNP	17.0	0.2031294117647059	1.1998941176470588	-0.996764705882353	0.7123700100204041	0.1727751056374375	-1.3630315678966267	-0.6304978438680793	2.875647072983364e-05	0.0001068115234375	TUMOR_LOWER	ANALYSED	PDC supplied log2_ratio; exploratory unadjusted contrast	0.00011502588291933456	0.00042724609375	UNIQUE	118	118	18	18
GPI	17.0	-0.1376058823529412	0.5715058823529412	-0.7091117647058823	0.564430091865185	0.13689440511983747	-0.9993149395531338	-0.41890858985863094	9.119854073956187e-05	0.0002899169921875	TUMOR_LOWER	ANALYSED	PDC supplied log2_ratio; exploratory unadjusted contrast	0.00024319610863883165	0.000579833984375	UNIQUE	118	118	18	18
ASNS	17.0	-0.2010941176470588	-0.5346294117647058	0.33353529411764715	0.6795695401697097	0.16481982318071392	-0.01586712245981836	0.6829377106951127	0.060041241694374727	0.0983734130859375	TUMOR_HIGHER	ANALYSED	PDC supplied log2_ratio; exploratory unadjusted contrast	0.08005498892583297	0.13116455078125	UNIQUE	118	118	18	18
KYNU	17.0	-0.3607529411764706	-0.5891058823529411	0.22835294117647065	0.9602560466599827	0.232896300471597	-0.26536516036223673	0.722071042715178	0.3414376167418983	0.2633209228515625	TUMOR_HIGHER	ANALYSED	PDC supplied log2_ratio; exploratory unadjusted contrast	0.39021441913359806	0.30093819754464285	UNIQUE	118	118	18	18
SLC7A11												NOT_MEASURED_OR_NOT_MAPPED	PDC supplied log2_ratio; exploratory unadjusted contrast			NOT_MEASURED_OR_NOT_MAPPED	118	0	18	0
SORD	17.0	-0.1149588235294118	-0.9210588235294117	0.8060999999999999	0.6658287307934375	0.16148718739013465	0.463762455695357	1.1484375443046428	0.000133070084809555	0.000213623046875	TUMOR_HIGHER	ANALYSED	PDC supplied log2_ratio; exploratory unadjusted contrast	0.00026614016961911	0.0005696614583333334	UNIQUE	118	118	18	18
ETNK1												NO_COMPLETE_CASE_PAIRS	PDC supplied log2_ratio; exploratory unadjusted contrast			UNIQUE	118	118	18	0
PCYT2	17.0	-0.0185	0.6788941176470589	-0.6973941176470588	0.3668468029549055	0.08897341864724849	-0.8860093393271704	-0.5087788959669473	7.22099135389217e-07	1.52587890625e-05	TUMOR_LOWER	ANALYSED	PDC supplied log2_ratio; exploratory unadjusted contrast	5.776793083113736e-06	0.0001220703125	UNIQUE	118	118	18	18
NNMT	17.0	-0.05208823529411766	-0.4423470588235294	0.39025882352941177	0.6391140069060679	0.1550079151344384	0.061656722814715015	0.7188609242441085	0.022846662419595664	0.044769287109375	TUMOR_HIGHER	ANALYSED	PDC supplied log2_ratio; exploratory unadjusted contrast	0.03655465987135306	0.071630859375	UNIQUE	118	118	18	18
