cancer	stage_id	run_id	analysis_version	relation_key	metabolite_key	metabolite_name	gene	mapping_status	status	origins	relationship_types	evidence_ids	source_urls	gene_in_original117	patient_analysis_this_round	functional_analysis_this_round
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	HMDB:HMDB00721|PEPD	HMDB:HMDB00721	glycylproline	PEPD	DIRECT_ACCEPTED	DONE	LEGACY_V1_REUSED	酶	M190E0001	https://enzyme.expasy.org/EC/3.4.13.9 ; https://www.uniprot.org/uniprotkb/P12955/entry	True	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	HMDB:HMDB00736|CRAT	HMDB:HMDB00736	isobutyrylcarnitine	CRAT	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0195	https://www.uniprot.org/uniprotkb/P43155/entry	True	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	HMDB:HMDB00848|CPT2	HMDB:HMDB00848	stearoylcarnitine	CPT2	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0196	https://www.uniprot.org/uniprotkb/P23786/entry	True	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	HMDB:HMDB05065|CPT2	HMDB:HMDB05065	oleoylcarnitine	CPT2	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0197	https://www.uniprot.org/uniprotkb/P23786/entry	True	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	HMDB:HMDB10384|ENPP2	HMDB:HMDB10384	1-stearoyl-GPC (18:0)	ENPP2	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0285	https://www.uniprot.org/uniprotkb/Q13822/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	HMDB:HMDB10384|LPCAT1	HMDB:HMDB10384	1-stearoyl-GPC (18:0)	LPCAT1	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0286	https://www.uniprot.org/uniprotkb/Q8NF37/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	HMDB:HMDB10384|LPCAT2	HMDB:HMDB10384	1-stearoyl-GPC (18:0)	LPCAT2	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0287	https://www.uniprot.org/uniprotkb/Q7L5N7/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	HMDB:HMDB10384|LPCAT3	HMDB:HMDB10384	1-stearoyl-GPC (18:0)	LPCAT3	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0288;M190E0289	https://www.uniprot.org/uniprotkb/Q6P1A2/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	HMDB:HMDB10384|LYPLA2	HMDB:HMDB10384	1-stearoyl-GPC (18:0)	LYPLA2	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0290	https://www.uniprot.org/uniprotkb/O95372/entry	False	NOT_RUN	NOT_RUN
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	HMDB:HMDB61702|LPCAT4	HMDB:HMDB61702	2-palmitoyl-GPC (16:0)	LPCAT4	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0299	https://www.uniprot.org/uniprotkb/Q643R3/entry	False	NOT_RUN	NOT_RUN
