gene	in_original117	n_direct_relations	metabolite_keys	metabolite_names	relation_keys	scope
AASS	True	1	KEGG:C00047	lysine	KEGG:C00047|AASS	Direct biochemical candidate; no new patient/function test
ABHD12	False	8	KEGG:C00219;KEGG:C00712;KEGG:C01530;KEGG:C01885;KEGG:C02679;KEGG:C03916;KEGG:C06424;KEGG:D01947	arachidonate (20:4n6) ; oleate (18:1n9) ; stearate (18:0) ; 1-palmitoylglycerol (1-monopalmitin) ; laurate (12:0) ; 1-oleoylglycerophosphocholine ; myristate (14:0) ; 1-stearoylglycerol (18:0)	KEGG:C00219|ABHD12;KEGG:C00712|ABHD12;KEGG:C01530|ABHD12;KEGG:C01885|ABHD12;KEGG:C02679|ABHD12;KEGG:C03916|ABHD12;KEGG:C06424|ABHD12;KEGG:D01947|ABHD12	Direct biochemical candidate; no new patient/function test
ABHD6	False	4	KEGG:C00219;KEGG:C00712;KEGG:C02679;KEGG:C06424	arachidonate (20:4n6) ; oleate (18:1n9) ; laurate (12:0) ; myristate (14:0)	KEGG:C00219|ABHD6;KEGG:C00712|ABHD6;KEGG:C02679|ABHD6;KEGG:C06424|ABHD6	Direct biochemical candidate; no new patient/function test
ACSL1	False	2	KEGG:C00219;KEGG:C00712	arachidonate (20:4n6) ; oleate (18:1n9)	KEGG:C00219|ACSL1;KEGG:C00712|ACSL1	Direct biochemical candidate; no new patient/function test
ACSL3	False	7	KEGG:C00219;KEGG:C00712;KEGG:C01530;KEGG:C02679;KEGG:C06424;KEGG:C06428;KEGG:C06429	arachidonate (20:4n6) ; oleate (18:1n9) ; stearate (18:0) ; laurate (12:0) ; myristate (14:0) ; eicosapentaenoate (EPA; 20:5n3) ; docosahexaenoate (DHA; 22:6n3)	KEGG:C00219|ACSL3;KEGG:C00712|ACSL3;KEGG:C01530|ACSL3;KEGG:C02679|ACSL3;KEGG:C06424|ACSL3;KEGG:C06428|ACSL3;KEGG:C06429|ACSL3	Direct biochemical candidate; no new patient/function test
ACSL4	False	4	KEGG:C00219;KEGG:C06428;KEGG:C06429;KEGG:C16527	arachidonate (20:4n6) ; eicosapentaenoate (EPA; 20:5n3) ; docosahexaenoate (DHA; 22:6n3) ; adrenate (22:4n6)	KEGG:C00219|ACSL4;KEGG:C06428|ACSL4;KEGG:C06429|ACSL4;KEGG:C16527|ACSL4	Direct biochemical candidate; no new patient/function test
ACSL5	False	2	KEGG:C00219;KEGG:C00712	arachidonate (20:4n6) ; oleate (18:1n9)	KEGG:C00219|ACSL5;KEGG:C00712|ACSL5	Direct biochemical candidate; no new patient/function test
ACSL6	False	1	KEGG:C00219	arachidonate (20:4n6)	KEGG:C00219|ACSL6	Direct biochemical candidate; no new patient/function test
ACSM1	False	2	KEGG:C02679;KEGG:C06424	laurate (12:0) ; myristate (14:0)	KEGG:C02679|ACSM1;KEGG:C06424|ACSM1	Direct biochemical candidate; no new patient/function test
ADA	True	2	KEGG:C00212;KEGG:C00294	adenosine ; inosine	KEGG:C00212|ADA;KEGG:C00294|ADA	Direct biochemical candidate; no new patient/function test
ADA2	True	2	KEGG:C00212;KEGG:C00294	adenosine ; inosine	KEGG:C00212|ADA2;KEGG:C00294|ADA2	Direct biochemical candidate; no new patient/function test
AFMID	True	1	KEGG:C00328	kynurenine	KEGG:C00328|AFMID	Direct biochemical candidate; no new patient/function test
AHCY	True	2	KEGG:C00021;KEGG:C00212	S-adenosylhomocysteine (SAH) ; adenosine	KEGG:C00021|AHCY;KEGG:C00212|AHCY	Direct biochemical candidate; no new patient/function test
ALOX15	False	2	KEGG:C00219;KEGG:C06429	arachidonate (20:4n6) ; docosahexaenoate (DHA; 22:6n3)	KEGG:C00219|ALOX15;KEGG:C06429|ALOX15	Direct biochemical candidate; no new patient/function test
ALOX5	False	1	KEGG:C00219	arachidonate (20:4n6)	KEGG:C00219|ALOX5	Direct biochemical candidate; no new patient/function test
AMDHD2	True	1	KEGG:C00357	N-acetylglucosamine 6-phosphate	KEGG:C00357|AMDHD2	Direct biochemical candidate; no new patient/function test
AOX1	True	1	KEGG:C02918	1-methylnicotinamide	KEGG:C02918|AOX1	Direct biochemical candidate; no new patient/function test
ARG1	True	2	KEGG:C00062;KEGG:C00077	arginine ; ornithine	KEGG:C00062|ARG1;KEGG:C00077|ARG1	Direct biochemical candidate; no new patient/function test
ARG2	True	2	KEGG:C00062;KEGG:C00077	arginine ; ornithine	KEGG:C00062|ARG2;KEGG:C00077|ARG2	Direct biochemical candidate; no new patient/function test
ASNS	True	3	KEGG:C00025;KEGG:C00049;KEGG:C00064	glutamate ; aspartate ; glutamine	KEGG:C00025|ASNS;KEGG:C00049|ASNS;KEGG:C00064|ASNS	Direct biochemical candidate; no new patient/function test
ASS1	True	2	KEGG:C00049;KEGG:C00327	aspartate ; citrulline	KEGG:C00049|ASS1;KEGG:C00327|ASS1	Direct biochemical candidate; no new patient/function test
