gene	exact_symbol_in_CAMP	status	reason
AASS	True	DONE	exact_symbol_only_no_alias_expansion
ABHD12	True	DONE	exact_symbol_only_no_alias_expansion
ABHD6	True	DONE	exact_symbol_only_no_alias_expansion
ACSL1	True	DONE	exact_symbol_only_no_alias_expansion
ACSL3	True	DONE	exact_symbol_only_no_alias_expansion
ACSL4	True	DONE	exact_symbol_only_no_alias_expansion
ACSL5	True	DONE	exact_symbol_only_no_alias_expansion
ACSL6	True	DONE	exact_symbol_only_no_alias_expansion
ACSM1	True	DONE	exact_symbol_only_no_alias_expansion
ADA	True	DONE	exact_symbol_only_no_alias_expansion
ADA2	True	DONE	exact_symbol_only_no_alias_expansion
AFMID	True	DONE	exact_symbol_only_no_alias_expansion
AHCY	True	DONE	exact_symbol_only_no_alias_expansion
ALOX15	True	DONE	exact_symbol_only_no_alias_expansion
ALOX5	True	DONE	exact_symbol_only_no_alias_expansion
AMDHD2	True	DONE	exact_symbol_only_no_alias_expansion
AOX1	True	DONE	exact_symbol_only_no_alias_expansion
ARG1	True	DONE	exact_symbol_only_no_alias_expansion
ARG2	True	DONE	exact_symbol_only_no_alias_expansion
ASNS	True	DONE	exact_symbol_only_no_alias_expansion
ASS1	True	DONE	exact_symbol_only_no_alias_expansion
BBOX1	True	DONE	exact_symbol_only_no_alias_expansion
BCAT1	True	DONE	exact_symbol_only_no_alias_expansion
BCAT2	True	DONE	exact_symbol_only_no_alias_expansion
CDO1	True	DONE	exact_symbol_only_no_alias_expansion
CEPT1	True	DONE	exact_symbol_only_no_alias_expansion
CHKA	True	DONE	exact_symbol_only_no_alias_expansion
CHKB	False	NOT_EVALUABLE	exact_symbol_only_no_alias_expansion
CHPT1	True	DONE	exact_symbol_only_no_alias_expansion
CKB	True	DONE	exact_symbol_only_no_alias_expansion
CKM	True	DONE	exact_symbol_only_no_alias_expansion
CMAS	True	DONE	exact_symbol_only_no_alias_expansion
CMPK1	True	DONE	exact_symbol_only_no_alias_expansion
CMPK2	True	DONE	exact_symbol_only_no_alias_expansion
CPT1A	True	DONE	exact_symbol_only_no_alias_expansion
CPT1B	True	DONE	exact_symbol_only_no_alias_expansion
