cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	relation_id	statistics_reused	previous_p	previous_q	previous_effect	previous_run	bootstrap_mean_lower	bootstrap_mean_upper	positive_pairs	negative_pairs	equal_pairs	positive_pair_fraction	median_paired_difference	seed
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	paired_RNA150	NA	NA	AASS	author_case_row	45.0	45.0	mean_tumor_minus_normal_author_expression_scale	-0.9286377387477608	-1.169363582740584	-0.6879118947549374	8.51862088028069e-10	2.1012598171359035e-08	paired_RNA150	148.0	DONE	paired_t_on_author_scale;not_protein_or_flux	CAMP_GSE37751_original_author_case_table	NA|AASS	True	8.51862088028069e-10	2.8988954366918084e-08	-0.9286377387477608	20260921T103911Z_camp_pair_sensitivity_v1	-1.165761353532618	-0.7075674768564698	8.0	37.0	0.0	0.17777777777777778	-0.9262051063669494	NA
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	paired_RNA150	NA	NA	ABHD12	author_case_row	45.0	45.0	mean_tumor_minus_normal_author_expression_scale	0.30829131493483275	0.190250731812602	0.4263318980570635	4.018836901765647e-06	2.0690202620492247e-05	paired_RNA150	148.0	DONE	paired_t_on_author_scale;not_protein_or_flux	CAMP_GSE37751_original_author_case_table	NA|ABHD12	False	NA	NA	NA	NA	0.19663340622157288	0.42280108148454093	38.0	7.0	0.0	0.8444444444444444	0.20209569750109146	1767794747.0
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	paired_RNA150	NA	NA	ABHD6	author_case_row	45.0	45.0	mean_tumor_minus_normal_author_expression_scale	-0.6699259475043946	-0.855251236200276	-0.4846006588085132	4.374224624821684e-09	5.394877037280077e-08	paired_RNA150	148.0	DONE	paired_t_on_author_scale;not_protein_or_flux	CAMP_GSE37751_original_author_case_table	NA|ABHD6	False	NA	NA	NA	NA	-0.8483775032312164	-0.49203549233236016	4.0	41.0	0.0	0.08888888888888889	-0.5955980506980207	3719700014.0
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	paired_RNA150	NA	NA	ACSL1	author_case_row	45.0	45.0	mean_tumor_minus_normal_author_expression_scale	-1.2687684910765842	-1.6467660369912178	-0.8907709451619505	2.5316836145189042e-08	2.4979278329919856e-07	paired_RNA150	148.0	DONE	paired_t_on_author_scale;not_protein_or_flux	CAMP_GSE37751_original_author_case_table	NA|ACSL1	False	NA	NA	NA	NA	-1.6416878388917728	-0.9076301078658865	7.0	38.0	0.0	0.15555555555555556	-1.0738825659942695	2803442750.0
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	paired_RNA150	NA	NA	ACSL3	author_case_row	45.0	45.0	mean_tumor_minus_normal_author_expression_scale	0.18737266719773615	-0.05937362693034426	0.43411896132581657	0.13307203705207787	0.20096593350721964	paired_RNA150	148.0	DONE	paired_t_on_author_scale;not_protein_or_flux	CAMP_GSE37751_original_author_case_table	NA|ACSL3	False	NA	NA	NA	NA	-0.05149181096787809	0.41599166087028405	28.0	17.0	0.0	0.6222222222222222	0.06951227305598007	743478436.0
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	paired_RNA150	NA	NA	ACSL4	author_case_row	45.0	45.0	mean_tumor_minus_normal_author_expression_scale	-0.5177084437759162	-0.7565866529099599	-0.2788302346418725	7.524529196412467e-05	0.00028554623617155006	paired_RNA150	148.0	DONE	paired_t_on_author_scale;not_protein_or_flux	CAMP_GSE37751_original_author_case_table	NA|ACSL4	False	NA	NA	NA	NA	-0.7446168223521927	-0.2808858813848146	11.0	34.0	0.0	0.24444444444444444	-0.4989286502307193	3724340366.0
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	paired_RNA150	NA	NA	ACSL5	author_case_row	45.0	45.0	mean_tumor_minus_normal_author_expression_scale	-0.43086192868425177	-0.6625049672064285	-0.19921889016207506	0.0005150992406821671	0.001555809951448178	paired_RNA150	148.0	DONE	paired_t_on_author_scale;not_protein_or_flux	CAMP_GSE37751_original_author_case_table	NA|ACSL5	False	NA	NA	NA	NA	-0.6676641072662088	-0.21676890876990454	14.0	31.0	0.0	0.3111111111111111	-0.28697912127304903	3210323255.0
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	paired_RNA150	NA	NA	ACSL6	author_case_row	45.0	45.0	mean_tumor_minus_normal_author_expression_scale	0.06274453591681092	-0.004422734615386781	0.12991180644900863	0.06636858869007937	0.11036574299024436	paired_RNA150	148.0	DONE	paired_t_on_author_scale;not_protein_or_flux	CAMP_GSE37751_original_author_case_table	NA|ACSL6	False	NA	NA	NA	NA	-0.002216632225186021	0.12807234523992658	28.0	17.0	0.0	0.6222222222222222	0.08775637564705008	2518918025.0
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	paired_RNA150	NA	NA	ACSM1	author_case_row	45.0	45.0	mean_tumor_minus_normal_author_expression_scale	-0.2297525710082596	-0.6653405579479511	0.20583541593143193	0.2935754112941249	0.3811329901011446	paired_RNA150	148.0	DONE	paired_t_on_author_scale;not_protein_or_flux	CAMP_GSE37751_original_author_case_table	NA|ACSM1	False	NA	NA	NA	NA	-0.6528673638941643	0.1689704597387645	21.0	24.0	0.0	0.4666666666666667	-0.025232796142089953	143034037.0
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	paired_RNA150	NA	NA	ADA	author_case_row	45.0	45.0	mean_tumor_minus_normal_author_expression_scale	0.0674465097110459	-0.0992770873525069	0.2341701067745988	0.4192929235146561	0.5004463925820088	paired_RNA150	148.0	DONE	paired_t_on_author_scale;not_protein_or_flux	CAMP_GSE37751_original_author_case_table	NA|ADA	True	0.4192929235146561	0.5119787276600011	0.0674465097110459	20260921T103911Z_camp_pair_sensitivity_v1	-0.0899257418795373	0.226366612385917	22.0	23.0	0.0	0.4888888888888889	-0.017088110172259974	NA
