cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	relation_id	ER_v3_rho	ER_v3_p	ER_v3_q	original_q	signed_delta_from_ER	abs_effect_change	design_condition_number	seed	bootstrap_valid	interval_scope
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	HMDB:HMDB00721	glycylproline	PEPD	author_mapped_tumor_specimen_NOT_verified_independent_patient	56.0	NA	partial_rank_correlation	-0.1324039537359669	-0.3927527057141456	0.1854502972595156	0.3397	0.6796758620689655	ER_PC12	171.0	DONE	NA	GSE37751_CAMP_processed	HMDB:HMDB00721|PEPD	-0.1706192177793739	0.2107	0.4868878378378378	0.3768035294117647	0.038215264043407	-0.038215264043407	1.754366764778892	1664157818.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	HMDB:HMDB00721	glycylproline	PEPD	author_mapped_tumor_specimen_NOT_verified_independent_patient	56.0	NA	partial_rank_correlation	-0.1270000722225326	-0.4014032278491728	0.1639204997675385	0.3687	0.7429447058823531	ER_MonoEndoFib	171.0	DONE	NA	GSE37751_CAMP_processed	HMDB:HMDB00721|PEPD	-0.1706192177793739	0.2107	0.4868878378378378	0.3768035294117647	0.0436191455568414	-0.0436191455568414	2.5758566916327394	2659378418.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00009	phosphate	PPA1	author_mapped_tumor_specimen_NOT_verified_independent_patient	61.0	NA	partial_rank_correlation	0.0684533812968129	-0.1740287095410534	0.312245247513104	0.6029	0.8163335820895523	ER_PC12	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00009|PPA1	0.1814990146850546	0.1611	0.43498125	0.089775	-0.1130456333882417	-0.1130456333882417	1.680666914287067	1693462318.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00009	phosphate	PPA1	author_mapped_tumor_specimen_NOT_verified_independent_patient	61.0	NA	partial_rank_correlation	0.0328229878617583	-0.2372466280959144	0.3366080265358567	0.8065	0.9382935483870968	ER_MonoEndoFib	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00009|PPA1	0.1814990146850546	0.1611	0.43498125	0.089775	-0.1486760268232963	-0.1486760268232963	2.508176151229478	3870614337.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00009	phosphate	PPA2	author_mapped_tumor_specimen_NOT_verified_independent_patient	61.0	NA	partial_rank_correlation	0.1003883257194196	-0.1343952040536355	0.3710654357759086	0.4474	0.7650540000000001	ER_PC12	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00009|PPA2	0.2206195668117264	0.0914	0.3379978723404255	0.334305	-0.1202312410923067	-0.1202312410923067	1.680666914287067	775667566.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00009	phosphate	PPA2	author_mapped_tumor_specimen_NOT_verified_independent_patient	61.0	NA	partial_rank_correlation	0.1092318575579469	-0.1247694251088572	0.3755402951359354	0.4189	0.7739129032258064	ER_MonoEndoFib	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00009|PPA2	0.2206195668117264	0.0914	0.3379978723404255	0.334305	-0.1113877092537794	-0.1113877092537794	2.508176151229478	1091626193.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00013	pyrophosphate (PPi)	PPA1	author_mapped_tumor_specimen_NOT_verified_independent_patient	45.0	NA	partial_rank_correlation	0.0960246271773089	-0.2123030929794431	0.3670114009368093	0.54	0.8163335820895523	ER_PC12	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00013|PPA1	-0.0854911542872486	0.573	0.7394142857142856	0.4857795918367346	0.1815157814645576	0.0105334728900603	1.7584936014624124	2540884310.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00013	pyrophosphate (PPi)	PPA1	author_mapped_tumor_specimen_NOT_verified_independent_patient	45.0	NA	partial_rank_correlation	0.148533180886934	-0.1878989786359016	0.4485433334263762	0.3503	0.7429447058823531	ER_MonoEndoFib	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00013|PPA1	-0.0854911542872486	0.573	0.7394142857142856	0.4857795918367346	0.2340243351741827	0.0630420265996853	2.5643487907056177	3671576490.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00013	pyrophosphate (PPi)	PPA2	author_mapped_tumor_specimen_NOT_verified_independent_patient	45.0	NA	partial_rank_correlation	0.1700003846304002	-0.1497656187315936	0.4811249827849611	0.28	0.6765338028169015	ER_PC12	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00013|PPA2	0.0822358811756324	0.6055	0.761327205882353	0.48556875	0.0877645034547677	0.0877645034547677	1.7584936014624124	4288909692.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00013	pyrophosphate (PPi)	PPA2	author_mapped_tumor_specimen_NOT_verified_independent_patient	45.0	NA	partial_rank_correlation	0.1677197780319417	-0.1840215180220279	0.4669701620661063	0.2931	0.7429447058823531	ER_MonoEndoFib	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00013|PPA2	0.0822358811756324	0.6055	0.761327205882353	0.48556875	0.0854838968563092	0.0854838968563092	2.5643487907056177	1044774252.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00021	S-adenosylhomocysteine (SAH)	AHCY	author_mapped_tumor_specimen_NOT_verified_independent_patient	55.0	NA	partial_rank_correlation	0.0030561038729811	-0.2382767232276893	0.2611510529832321	0.984	0.9949182352941176	ER_PC12	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00021|AHCY	0.0842096092455079	0.5501	0.7394142857142856	0.8987240506329114	-0.0811535053725267	-0.0811535053725267	1.7830917451138062	1653483579.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00021	S-adenosylhomocysteine (SAH)	AHCY	author_mapped_tumor_specimen_NOT_verified_independent_patient	55.0	NA	partial_rank_correlation	-0.0015545141722717	-0.2880165601951368	0.2699289076711689	0.9919	0.9919	ER_MonoEndoFib	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00021|AHCY	0.0842096092455079	0.5501	0.7394142857142856	0.8987240506329114	-0.0857641234177796	-0.0826550950732361	2.5041802162623363	4050578439.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00021	S-adenosylhomocysteine (SAH)	NNMT	author_mapped_tumor_specimen_NOT_verified_independent_patient	55.0	NA	partial_rank_correlation	0.1185545377585772	-0.2208369122869062	0.3855012918205329	0.4127	0.7275432989690721	ER_PC12	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00021|NNMT	-0.0164548079061766	0.9068	0.9406030120481929	0.5264242990654207	0.1350093456647538	0.1020997298524006	1.7830917451138062	489292601.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
