config	gene	module	module_size	kME	rank	rank_fraction	Pal_kME	Pal_rank_fraction
merge035	SCGB2A2	brown	757	0.611563761375146	109	0.143989431968296	0.213396762359912	0.775429326287979
merge035	MALAT1	turquoise	918	0.595476810557804	188	0.20479302832244	0.551639073801277	0.0633187772925764
merge035	MGP	grey	NA	NA	NA	NA	NA	NA
merge035	MUCL1	magenta	56	0.678289412309316	8	0.142857142857143	0.598737217903901	0.0892857142857143
merge035	S100A6	grey	NA	NA	NA	NA	NA	NA
merge035	CD24	yellow	616	0.376816674674156	455	0.738636363636364	0.00477417290113403	0.97557003257329
merge035	VIM	yellow	616	0.568658113910853	122	0.198051948051948	0.542822889715449	0.0749185667752443
merge035	AGR2	turquoise	918	0.79665331785904	11	0.0119825708061002	0.59307306544451	0.0425764192139738
merge035	FOS	brown	757	0.703977039090981	24	0.0317040951122853	0.70782041089325	0.00396301188903567
merge035	S100A9	yellow	616	0.346761061648161	495	0.803571428571429	0.307390311927948	0.513029315960912
merge035	SCGB1B2P	red	213	0.309646802480532	212	0.995305164319249	0.0448308505566701	0.891509433962264
merge035	KRT19	turquoise	918	0.403585984783254	615	0.669934640522876	0.234685567061594	0.568777292576419
merge035	S100A8	yellow	616	0.464270473269554	297	0.482142857142857	0.237082306699165	0.672638436482085
merge035	PIP	brown	757	0.445642149862951	439	0.579920739762219	0.0334914003351072	0.949801849405548
merge035	AZGP1	brown	757	0.42999256856704	489	0.645970937912814	0.178990342473197	0.828269484808454
merge035	HSPB1	turquoise	918	0.339901730712615	790	0.860566448801743	0.469873129712482	0.127729257641921
merge035	TMSB4X	grey	NA	NA	NA	NA	NA	NA
merge035	NEAT1	brown	757	0.668221236736603	42	0.0554821664464993	0.580837949202272	0.0264200792602378
merge035	ZFP36	brown	757	0.743240379041104	8	0.0105680317040951	0.586504247501515	0.0211360634081902
merge035	CALML5	magenta	56	0.460230348497463	40	0.714285714285714	0.347351045781395	0.5
merge035	IFI27	purple	44	0.788068643468977	5	0.113636363636364	0.512779973297975	0.363636363636364
merge035	RPS20	red	213	0.687874943391328	46	0.215962441314554	-0.0545896939568923	0.952830188679245
merge035	JUN	brown	757	0.639312111950696	70	0.0924702774108322	0.740429334237614	0.00264200792602378
merge035	HSPA1A	brown	757	0.505662171846949	307	0.40554821664465	0.317455326494269	0.513870541611625
merge035	XBP1	turquoise	918	0.660176515150095	96	0.104575163398693	0.860647767122202	0.00109170305676856
merge035	RPL13A	black	170	0.480460544899435	110	0.647058823529412	0.817437893989893	0.0352941176470588
merge035	BTG2	turquoise	918	0.775794850145898	16	0.0174291938997821	0.447922105125495	0.153930131004367
merge035	LDHB	yellow	616	0.650439692791248	46	0.0746753246753247	0.560409590177575	0.0570032573289902
merge035	S100A10	grey	NA	NA	NA	NA	NA	NA
