gene	config	module	module_size	kME	rank	rank_fraction	Pal_kME	Pal_rank_fraction	status	reason	baseline_module_jaccard
ABHD12	power10	black	247	0.520685588119715	76	0.307692307692308	0.331985207311317	0.497975708502024	DONE		0.406528189910979
CHKA	power10	yellow	480	0.318447008271414	467	0.972916666666667	0.21601597815202	0.84375	DONE		0.62125748502994
CHPT1	power10	pink	243	0.523341627297713	109	0.448559670781893	0.13697412421213	0.752066115702479	DONE		0.617021276595745
ETNK1	power10	grey	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	unassigned grey	NA
GPCPD1	power10	blue	537	0.526089513762663	127	0.236499068901304	0.295968193159425	0.581005586592179	DONE		0.519142419601838
LPCAT3	power10	grey	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	unassigned grey	NA
LYPLA1	power10	magenta	242	0.519334436827109	95	0.392561983471074	0.29921341883196	0.336099585062241	DONE		0.0411899313501144
LYPLA2	power10	yellow	480	0.487328440567768	277	0.577083333333333	0.310991071575705	0.675	DONE		0.62125748502994
PCYT2	power10	tan	200	0.389816537601952	158	0.79	0.268026317407828	0.68	DONE		0.0216284987277354
GDPD5	power10	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
CEPT1	power10	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
LPCAT1	power10	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
CHKB	power10	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
PCYT1A	power10	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
ENPP2	power10	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
ETNK2	power10	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
LPCAT4	power10	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
LPCAT2	power10	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
PCYT1B	power10	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
SLC22A2	power10	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	not in frozen 6000 gene input	NA
