config	gene	module	module_size	kME	rank	rank_fraction	Pal_kME	Pal_rank_fraction
split1	SCGB2A2	brown	491	0.712991525660652	12	0.0244399185336049	0.144226602902969	0.879837067209776
split1	MALAT1	turquoise	771	0.639950264191629	129	0.167315175097276	0.560121942144727	0.074025974025974
split1	MGP	grey	NA	NA	NA	NA	NA	NA
split1	MUCL1	brown	491	0.496214081051768	204	0.415478615071283	0.2955046906625	0.608961303462322
split1	S100A6	grey	NA	NA	NA	NA	NA	NA
split1	CD24	green	293	0.444814489532672	240	0.819112627986348	0.327476052667614	0.65979381443299
split1	VIM	tan	127	0.697368537508788	9	0.0708661417322835	0.807964848622074	0.015748031496063
split1	AGR2	turquoise	771	0.815456747611878	8	0.0103761348897536	0.57663664297249	0.061038961038961
split1	FOS	yellow	299	0.775006072753304	12	0.040133779264214	0.798031152159153	0.00668896321070234
split1	S100A9	purple	154	0.43234923128882	135	0.876623376623377	0.278105636298869	0.779220779220779
split1	SCGB1B2P	grey	NA	NA	NA	NA	NA	NA
split1	KRT19	turquoise	771	0.435769939594905	456	0.591439688715953	0.18849324584807	0.718181818181818
split1	S100A8	purple	154	0.5494470521895	74	0.480519480519481	0.224767964954085	0.850649350649351
split1	PIP	brown	491	0.50821242364515	183	0.372708757637475	0.248747447849014	0.704684317718941
split1	AZGP1	brown	491	0.550634947379945	122	0.24847250509165	0.173057929816159	0.843177189409369
split1	HSPB1	pink	187	0.459744542908648	132	0.705882352941177	0.66468829237015	0.032258064516129
split1	TMSB4X	grey	NA	NA	NA	NA	NA	NA
split1	NEAT1	yellow	299	0.637744572860694	63	0.210702341137124	0.508150523597793	0.167224080267559
split1	ZFP36	yellow	299	0.826724130841898	1	0.00334448160535117	0.676661368402468	0.040133779264214
split1	CALML5	grey	NA	NA	NA	NA	NA	NA
split1	IFI27	salmon	45	0.787311057407296	5	0.111111111111111	0.516790585340505	0.355555555555556
split1	RPS20	red	286	0.568337174337437	103	0.36013986013986	-0.187855789956251	0.982456140350877
split1	JUN	yellow	299	0.783346726606524	8	0.0267558528428094	0.818685934766504	0.00334448160535117
split1	HSPA1A	yellow	299	0.562146033674923	124	0.414715719063545	0.309731740536736	0.608695652173913
split1	XBP1	turquoise	771	0.684677040401316	67	0.0869001297016861	0.851373688631478	0.0012987012987013
split1	RPL13A	magenta	171	0.486089497173438	108	0.631578947368421	0.819125678248594	0.0350877192982456
split1	BTG2	turquoise	771	0.789306830047553	12	0.0155642023346304	0.479780007818537	0.145454545454545
split1	LDHB	tan	127	0.649992065311987	19	0.149606299212598	0.709670697699872	0.062992125984252
split1	S100A10	grey	NA	NA	NA	NA	NA	NA
split1	CST3	turquoise	771	0.715885888243854	53	0.0687418936446174	0.358102400279556	0.344155844155844
split1	HLA-B	salmon	45	0.829059720918555	1	0.0222222222222222	0.78705323255725	0.0222222222222222
split1	SCGB1D2	brown	491	0.67734138589859	24	0.0488798370672098	0.0851007587864282	0.918533604887984
split1	LGALS1	grey	NA	NA	NA	NA	NA	NA
