gene	config	module	module_size	kME	rank	rank_fraction	Pal_kME	Pal_rank_fraction	status	reason	baseline_module_jaccard	top10_percent	top20_percent
ABHD12	baseline	black	227.0	0.525408427560097	90.0	0.39647577092511	0.378114288682362	0.343612334801762	DONE		1.0	False	False
CHKA	baseline	blue	603.0	0.334987641180288	564.0	0.935323383084577	0.214157090585479	0.835820895522388	DONE		1.0	False	False
CHPT1	baseline	pink	213.0	0.527192372868939	107.0	0.502347417840376	0.115198743568649	0.834905660377358	DONE		1.0	False	False
ETNK1	baseline	yellow	302.0	0.388863531916054	276.0	0.913907284768212	0.176446140580005	0.910596026490066	DONE		1.0	False	False
GPCPD1	baseline	brown	455.0	0.501867053909178	194.0	0.426373626373626	0.190976206768195	0.817582417582418	DONE		1.0	False	False
LPCAT3	baseline	grey							NOT_EVALUABLE	unassigned grey		False	False
LYPLA1	baseline	pink	213.0	0.497392237625962	127.0	0.596244131455399	0.498227272240242	0.0377358490566038	DONE		1.0	False	False
LYPLA2	baseline	blue	603.0	0.501517077762915	261.0	0.432835820895522	0.31642757387487	0.626865671641791	DONE		1.0	False	False
PCYT2	baseline	blue	603.0	0.376373185096616	504.0	0.835820895522388	0.377924030520416	0.456053067993366	DONE		1.0	False	False
GDPD5	baseline								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
CEPT1	baseline								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
LPCAT1	baseline								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
CHKB	baseline								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
PCYT1A	baseline								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
ENPP2	baseline								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
ETNK2	baseline								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
LPCAT4	baseline								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
LPCAT2	baseline								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
PCYT1B	baseline								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
SLC22A2	baseline								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
ABHD12	power10	black	247.0	0.520685588119715	76.0	0.307692307692308	0.331985207311317	0.497975708502024	DONE		0.406528189910979	False	False
CHKA	power10	yellow	480.0	0.318447008271414	467.0	0.972916666666667	0.21601597815202	0.84375	DONE		0.62125748502994	False	False
CHPT1	power10	pink	243.0	0.523341627297713	109.0	0.448559670781893	0.13697412421213	0.752066115702479	DONE		0.617021276595745	False	False
ETNK1	power10	grey							NOT_EVALUABLE	unassigned grey		False	False
GPCPD1	power10	blue	537.0	0.526089513762663	127.0	0.236499068901304	0.295968193159425	0.581005586592179	DONE		0.519142419601838	False	False
LPCAT3	power10	grey							NOT_EVALUABLE	unassigned grey		False	False
LYPLA1	power10	magenta	242.0	0.519334436827109	95.0	0.392561983471074	0.29921341883196	0.336099585062241	DONE		0.0411899313501144	False	False
LYPLA2	power10	yellow	480.0	0.487328440567768	277.0	0.577083333333333	0.310991071575705	0.675	DONE		0.62125748502994	False	False
PCYT2	power10	tan	200.0	0.389816537601952	158.0	0.79	0.268026317407828	0.68	DONE		0.0216284987277354	False	False
GDPD5	power10								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
CEPT1	power10								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
LPCAT1	power10								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
CHKB	power10								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
PCYT1A	power10								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
ENPP2	power10								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
ETNK2	power10								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
LPCAT4	power10								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
LPCAT2	power10								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
PCYT1B	power10								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
SLC22A2	power10								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
ABHD12	power14	grey							NOT_EVALUABLE	unassigned grey		False	False
CHKA	power14	grey							NOT_EVALUABLE	unassigned grey		False	False
CHPT1	power14	yellow	247.0	0.527109918104763	127.0	0.51417004048583	0.0886462971359539	0.845528455284553	DONE		0.648745519713262	False	False
ETNK1	power14	grey							NOT_EVALUABLE	unassigned grey		False	False
GPCPD1	power14	grey							NOT_EVALUABLE	unassigned grey		False	False
LPCAT3	power14	grey							NOT_EVALUABLE	unassigned grey		False	False
LYPLA1	power14	yellow	247.0	0.519220556030569	133.0	0.538461538461538	0.487064048738612	0.0365853658536585	DONE		0.648745519713262	False	False
LYPLA2	power14	turquoise	497.0	0.494251582728053	314.0	0.631790744466801	0.310793104161585	0.709677419354839	DONE		0.492537313432836	False	False
PCYT2	power14	grey							NOT_EVALUABLE	unassigned grey		False	False
GDPD5	power14								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
CEPT1	power14								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
LPCAT1	power14								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
CHKB	power14								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
PCYT1A	power14								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
ENPP2	power14								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
ETNK2	power14								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
LPCAT4	power14								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
LPCAT2	power14								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
PCYT1B	power14								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
SLC22A2	power14								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
ABHD12	split1	turquoise	771.0	0.357440454843327	646.0	0.837872892347601	0.145807067811448	0.802597402597403	DONE		0.0235897435897436	False	False
CHKA	split1	blue	627.0	0.331690630210374	583.0	0.929824561403509	0.215728257127494	0.832535885167464	DONE		0.95859872611465	False	False
CHPT1	split1	red	286.0	0.543223849201183	120.0	0.41958041958042	0.117411760514998	0.852631578947368	DONE		0.6578073089701	False	False
ETNK1	split1	yellow	299.0	0.388988875052359	275.0	0.919732441471572	0.176273219383099	0.91304347826087	DONE		0.990066225165563	False	False
GPCPD1	split1	brown	491.0	0.503415207858525	192.0	0.391038696537678	0.282912977885685	0.637474541751528	DONE		0.91497975708502	False	False
LPCAT3	split1	grey							NOT_EVALUABLE	unassigned grey		False	False
LYPLA1	split1	red	286.0	0.492820490928397	158.0	0.552447552447552	0.485228444166497	0.0736842105263158	DONE		0.6578073089701	False	False
LYPLA2	split1	blue	627.0	0.494941787698751	272.0	0.433811802232855	0.315420019477565	0.628389154704944	DONE		0.95859872611465	False	False
PCYT2	split1	blue	627.0	0.373509624114354	523.0	0.834130781499203	0.379437745226457	0.457735247208931	DONE		0.95859872611465	False	False
GDPD5	split1								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
CEPT1	split1								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
LPCAT1	split1								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
CHKB	split1								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
PCYT1A	split1								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
ENPP2	split1								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
ETNK2	split1								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
LPCAT4	split1								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
LPCAT2	split1								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
PCYT1B	split1								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
SLC22A2	split1								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
ABHD12	split3	black	236.0	0.526155520666945	86.0	0.364406779661017	0.368332881780231	0.372881355932203	DONE		0.852	False	False
CHKA	split3	blue	558.0	0.33231343465516	525.0	0.940860215053763	0.213546667908934	0.831541218637993	DONE		0.90327868852459	False	False
CHPT1	split3	pink	213.0	0.530679811243762	107.0	0.502347417840376	0.132074968475369	0.811320754716981	DONE		0.972222222222222	False	False
ETNK1	split3	red	242.0	0.378803271397648	225.0	0.929752066115702	0.237655226335194	0.867768595041322	DONE		0.777777777777778	False	False
GPCPD1	split3	brown	470.0	0.507670835592387	184.0	0.391489361702128	0.267081862438005	0.663829787234043	DONE		0.778846153846154	False	False
LPCAT3	split3	grey							NOT_EVALUABLE	unassigned grey		False	False
LYPLA1	split3	pink	213.0	0.495083071656763	128.0	0.60093896713615	0.510474353803658	0.0377358490566038	DONE		0.972222222222222	False	False
LYPLA2	split3	blue	558.0	0.502713297718301	244.0	0.437275985663082	0.317288439681635	0.627240143369176	DONE		0.90327868852459	False	False
PCYT2	split3	blue	558.0	0.376607930638139	471.0	0.844086021505376	0.377115001414123	0.455197132616487	DONE		0.90327868852459	False	False
GDPD5	split3								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
CEPT1	split3								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
LPCAT1	split3								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
CHKB	split3								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
PCYT1A	split3								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
ENPP2	split3								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
ETNK2	split3								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
LPCAT4	split3								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
LPCAT2	split3								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
PCYT1B	split3								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
SLC22A2	split3								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
ABHD12	merge015	black	227.0	0.525408427560097	90.0	0.39647577092511	0.378114288682362	0.343612334801762	DONE		1.0	False	False
CHKA	merge015	blue	603.0	0.334987641180288	564.0	0.935323383084577	0.214157090585479	0.835820895522388	DONE		1.0	False	False
CHPT1	merge015	pink	213.0	0.527192372868939	107.0	0.502347417840376	0.115198743568649	0.834905660377358	DONE		1.0	False	False
ETNK1	merge015	yellow	302.0	0.388863531916054	276.0	0.913907284768212	0.176446140580005	0.910596026490066	DONE		1.0	False	False
GPCPD1	merge015	brown	455.0	0.501867053909178	194.0	0.426373626373626	0.190976206768195	0.817582417582418	DONE		1.0	False	False
