gene	configs_planned	configs_evaluable	baseline_module	baseline_size	baseline_rank	baseline_rank_fraction	best_observed_rank_fraction	worst_observed_rank_fraction	median_rank_fraction	top10_configs	top20_configs	min_kME	max_kME	min_Pal_kME	max_Pal_kME	Pal_fixed_module_top10_configs	minimum_module_jaccard	status
ABHD12	8	7	black	227.0	90.0	0.39647577092511	0.307692307692308	0.837872892347601	0.39647577092511	0	0	0.357440454843327	0.526155520666945	0.145807067811448	0.378114288682362	0	0.0235897435897436	DONE
CEPT1	8	0								0	0					0		NOT_EVALUABLE
CHKA	8	7	blue	603.0	564.0	0.935323383084577	0.929824561403509	0.972916666666667	0.935323383084577	0	0	0.261566511180682	0.335449297151143	0.207267718191185	0.21601597815202	0	0.62125748502994	DONE
CHKB	8	0								0	0					0		NOT_EVALUABLE
CHPT1	8	8	pink	213.0	107.0	0.502347417840376	0.41958041958042	0.51417004048583	0.502347417840376	0	0	0.523341627297713	0.543223849201183	0.0886462971359539	0.13697412421213	0	0.617021276595745	DONE
ENPP2	8	0								0	0					0		NOT_EVALUABLE
ETNK1	8	6	yellow	302.0	276.0	0.913907284768212	0.80449141347424	0.929752066115702	0.913907284768212	0	0	0.37515387702671	0.39368435178129	0.176273219383099	0.278027614023432	0	0.398943196829591	DONE
ETNK2	8	0								0	0					0		NOT_EVALUABLE
GDPD5	8	0								0	0					0		NOT_EVALUABLE
GPCPD1	8	7	brown	455.0	194.0	0.426373626373626	0.236499068901304	0.787610619469027	0.426373626373626	0	0	0.42717093701084	0.526089513762663	0.190976206768195	0.304111706913504	0	0.18872870249017	DONE
LPCAT1	8	0								0	0					0		NOT_EVALUABLE
LPCAT2	8	0								0	0					0		NOT_EVALUABLE
LPCAT3	8	0	grey							0	0					0		NOT_EVALUABLE
LPCAT4	8	0								0	0					0		NOT_EVALUABLE
LYPLA1	8	8	pink	213.0	127.0	0.596244131455399	0.392561983471074	0.60093896713615	0.5822129748186085	0	0	0.492820490928397	0.519334436827109	0.29921341883196	0.510474353803658	7	0.0411899313501144	DONE
LYPLA2	8	8	blue	603.0	261.0	0.432835820895522	0.363957597173145	0.631790744466801	0.434621132904507	0	0	0.487328440567768	0.502713297718301	0.297745208235295	0.317288439681635	0	0.492537313432836	DONE
PCYT1A	8	0								0	0					0		NOT_EVALUABLE
PCYT1B	8	0								0	0					0		NOT_EVALUABLE
PCYT2	8	7	blue	603.0	504.0	0.835820895522388	0.79	0.851590106007067	0.835820895522388	0	0	0.338703470461895	0.389816537601952	0.268026317407828	0.379437745226457	0	0.0216284987277354	DONE
SLC22A2	8	0								0	0					0		NOT_EVALUABLE
