cancer	cohort	relation_id	metabolite_key	gene	metabolite	n_specimens	er_available_partial_rank_rho	er_available_q	er_primary_q	status	effect_scale	statistics_version	family_n_evaluable	source_url	statistical_unit	availability_mask	work_priority	functional_class	study_ids	functional_annotation_scope	new_statistics_computed
BRCA	BRCA1	HMDB:HMDB00721|PEPD	HMDB:HMDB00721	PEPD	glycylproline	56.0	-0.1706192177793739	0.48688783783783784	0.3594109090909091	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	暂挂	外源非催化蛋白干预	S080; S081	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00009|PPA1	KEGG:C00009	PPA1	phosphate	61.0	0.18149901468505467	0.43498125000000004	0.3920957746478873	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	保留	有乳腺癌遗传干预报告	S088	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00009|PPA2	KEGG:C00009	PPA2	phosphate	61.0	0.22061956681172645	0.33799787234042555	0.3074711538461538	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	暂挂	本轮未取得适用干预报告		gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00013|PPA1	KEGG:C00013	PPA1	pyrophosphate (PPi)	45.0	-0.08549115428724863	0.7394142857142856	0.46341	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	保留	有乳腺癌遗传干预报告	S088	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00013|PPA2	KEGG:C00013	PPA2	pyrophosphate (PPi)	45.0	0.08223588117563242	0.761327205882353	0.5113627659574469	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	暂挂	本轮未取得适用干预报告		gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00021|AHCY	KEGG:C00021	AHCY	S-adenosylhomocysteine (SAH)	55.0	0.08420960924550795	0.7394142857142856	0.831809589041096	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	暂挂	仅他癌或不适用乳腺癌	S004	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00021|NNMT	KEGG:C00021	NNMT	S-adenosylhomocysteine (SAH)	55.0	-0.01645480790617665	0.9406030120481929	0.5529581632653062	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	保留	有乳腺癌遗传干预报告	S066; S067; S068	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00025|ASNS	KEGG:C00025	ASNS	glutamate	61.0	0.17743585941210974	0.47805652173913044	0.4279275	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	保留	有乳腺癌遗传干预报告	S006; S007	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00025|BCAT1	KEGG:C00025	BCAT1	glutamate	61.0	0.20990629966365856	0.33799787234042555	0.3074711538461538	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	保留	有乳腺癌遗传干预报告	S012; S013	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00025|BCAT2	KEGG:C00025	BCAT2	glutamate	61.0	0.393455269671664	0.053437500000000006	0.0534375	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	保留	本轮未取得适用干预报告		gene-level literature; does not prove mediation by this metabolite	False
