logFC	logCPM	F	PValue	gene	site	construct	author_n_treated	author_n_control	gene_identity	q_within_contrast	ci_lower	ci_upper	ci_reason	q_global4
-2.24436856776686	6.58794618074142	160.365944518406	6.24471754077664e-10	Asns	Tumor	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	1.71248791551967e-07	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	2.52071606568104e-07
0.231142173240818	9.65330920152386	5.20600945763247	0.0360590325687312	Gls	Tumor	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.0928855230882	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.152951172943991
0.52156254489152	3.13684038430512	9.00989723463129	0.0082164372624885	Gls2	Tumor	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.0306373933071326	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.05368112604617
-0.0669435642488436	3.40409273051722	0.341182950666684	0.56703194898629	Glul	Tumor	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.693189774956924	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.783386337326193
-1.05010060003025	6.58794618074142	38.7113485052757	1.05356639573557e-05	Asns	Tumor	shAsns2	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.000152917832870083	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.0003561181517429
0.0739978699007264	9.65330920152386	0.534402833783243	0.4749949479522	Gls	Tumor	shAsns2	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.595151005484857	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.716369130152024
0.354153900590341	3.13684038430512	4.26196086537468	0.055029172486372	Gls2	Tumor	shAsns2	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.115561262221381	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.202720424017346
-0.0937814624272239	3.40409273051722	0.692133705058063	0.417294068394419	Glul	Tumor	shAsns2	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.542646003052609	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.671906060266379
-2.11933894041043	6.67069451178752	258.654647752599	1.00954395234489e-10	Asns	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	1.24769537070305e-06	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	7.00225372917981e-08
0.103222607431589	9.33420773677822	0.330759681863017	0.573927150869034	Gls	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.787248918135248
0.0394222538985632	2.59564153154355	0.0875057938558961	0.771492178069549	Gls2	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.900857530725548
-0.208112686935151	3.48735135907172	3.42089149998656	0.0844931088929595	Glul	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.269055780183814
-1.61260514567041	6.67069451178752	155.099179773853	3.37228366729439e-09	Asns	Lung	shAsns2	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	4.16780538440914e-05	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	8.30987433644553e-07
0.203814094299617	9.33420773677822	1.28881351355875	0.274473988510648	Gls	Lung	shAsns2	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.628106821997229	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.538601611340268
0.0209719439803718	2.59564153154355	0.0246765371449754	0.877303817112462	Gls2	Lung	shAsns2	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.956636057485142	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.949966505454481
-0.256770129845625	3.48735135907172	5.18870588615603	0.0380581473350216	Glul	Lung	shAsns2	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.427426390436461	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.158737318849875
