site	group	column	raw_library_total	nonzero_genes	TMM_factor	filtered_library_size
Tumor	control	1	27935104	15325	0.946002154313739	27926849
Tumor	control	2	25565587	15615	1.01853542145325	25556986
Tumor	control	3	36348472	15784	0.975474376029816	36337045
Tumor	control	4	36425574	15822	0.998516113277022	36414304
Tumor	shAsns1	5	8480908	13950	1.00153431977361	8478155
Tumor	shAsns1	6	38049196	16130	0.991124498887012	38036721
Tumor	shAsns1	7	28710085	15681	1.01046776380789	28700480
Tumor	shAsns1	8	18397852	15628	1.09510649000787	18389719
Tumor	shAsns2	9	28722824	15442	0.948104519651709	28713596
Tumor	shAsns2	10	27945673	15445	1.01443466794702	27937036
Tumor	shAsns2	11	29251409	15833	1.04518139675182	29240932
Tumor	shAsns2	12	29765907	15693	0.964974774550069	29756240
Lung	control	13	25771818	15938	1.00571209783162	25761727
Lung	control	14	24787794	15786	1.03146875859331	24778700
Lung	control	15	35464303	16282	1.04684341386427	35450635
Lung	control	16	24984625	16120	1.01516276988945	24971856
Lung	shAsns1	17	31179716	15758	1.00462628906216	31169998
Lung	shAsns1	18	32679689	15655	0.980026792062359	32670152
Lung	shAsns1	19	31387898	15601	0.963318804739168	31378933
Lung	shAsns1	20	25912778	16603	1.06491190022294	25897693
Lung	shAsns2	21	26344829	15439	0.989190029112616	26336645
Lung	shAsns2	22	34342195	16202	0.906202685737325	34331252
Lung	shAsns2	23	27586077	15570	0.999799707130622	27577445
Lung	shAsns2	24	33189463	16015	1.00209421318267	33177841
