gene	query	endpoint	retrieved_at_utc	status	hit_count	returned	sha256
ABHD12	"TITLE_ABS:ABHD12 AND (TITLE_ABS:""breast cancer"" OR TITLE_ABS:""mammary carcinoma"" OR TITLE_ABS:""breast carcinoma"") AND (knockdown OR knockout OR silencing OR depletion OR overexpression OR CRISPR OR inhibition)"	https://www.ebi.ac.uk/europepmc/webservices/rest/search	2026-09-21T15:25:08Z	DONE	3	3	ccb54331b0cc61b496f5648c9d31c5c3f7f7d32dce008fed9c47a943c648402e
ABHD6	"TITLE_ABS:ABHD6 AND (TITLE_ABS:""breast cancer"" OR TITLE_ABS:""mammary carcinoma"" OR TITLE_ABS:""breast carcinoma"") AND (knockdown OR knockout OR silencing OR depletion OR overexpression OR CRISPR OR inhibition)"	https://www.ebi.ac.uk/europepmc/webservices/rest/search	2026-09-21T15:25:08Z	DONE	0	0	5397442ae1e4a72fe811fb8928371bf1cf6b6f48a34b38531a819ac27afb69ad
ACSL1	"TITLE_ABS:ACSL1 AND (TITLE_ABS:""breast cancer"" OR TITLE_ABS:""mammary carcinoma"" OR TITLE_ABS:""breast carcinoma"") AND (knockdown OR knockout OR silencing OR depletion OR overexpression OR CRISPR OR inhibition)"	https://www.ebi.ac.uk/europepmc/webservices/rest/search	2026-09-21T15:25:08Z	DONE	20	20	6f0ced0167ca301f04302da12ecdeaa423b769dd4df2fd57fa3b31813992fd06
ACSL3	"TITLE_ABS:ACSL3 AND (TITLE_ABS:""breast cancer"" OR TITLE_ABS:""mammary carcinoma"" OR TITLE_ABS:""breast carcinoma"") AND (knockdown OR knockout OR silencing OR depletion OR overexpression OR CRISPR OR inhibition)"	https://www.ebi.ac.uk/europepmc/webservices/rest/search	2026-09-21T15:25:08Z	DONE	9	9	cc0d86a5fe43a0ef737032f76f8b0c1639e30a9e9aafb3064056f824d2a4e96e
ACSL4	"TITLE_ABS:ACSL4 AND (TITLE_ABS:""breast cancer"" OR TITLE_ABS:""mammary carcinoma"" OR TITLE_ABS:""breast carcinoma"") AND (knockdown OR knockout OR silencing OR depletion OR overexpression OR CRISPR OR inhibition)"	https://www.ebi.ac.uk/europepmc/webservices/rest/search	2026-09-21T15:25:08Z	DONE	82	20	5c9c3b45e8a4fdc1baf8549f5b76502cb785ff2d5277fe26b85c5ac98361eedd
ACSL5	"TITLE_ABS:ACSL5 AND (TITLE_ABS:""breast cancer"" OR TITLE_ABS:""mammary carcinoma"" OR TITLE_ABS:""breast carcinoma"") AND (knockdown OR knockout OR silencing OR depletion OR overexpression OR CRISPR OR inhibition)"	https://www.ebi.ac.uk/europepmc/webservices/rest/search	2026-09-21T15:25:08Z	DONE	9	9	51fda5067fc74b034a9b06b409617f784626817a479cdd6cf322fd025133a065
ACSL6	"TITLE_ABS:ACSL6 AND (TITLE_ABS:""breast cancer"" OR TITLE_ABS:""mammary carcinoma"" OR TITLE_ABS:""breast carcinoma"") AND (knockdown OR knockout OR silencing OR depletion OR overexpression OR CRISPR OR inhibition)"	https://www.ebi.ac.uk/europepmc/webservices/rest/search	2026-09-21T15:25:08Z	DONE	4	4	b5b2acfb77c5c7eb6078d8f190514399c34698210f4ec33bf592e740fef14a09
ACSM1	"TITLE_ABS:ACSM1 AND (TITLE_ABS:""breast cancer"" OR TITLE_ABS:""mammary carcinoma"" OR TITLE_ABS:""breast carcinoma"") AND (knockdown OR knockout OR silencing OR depletion OR overexpression OR CRISPR OR inhibition)"	https://www.ebi.ac.uk/europepmc/webservices/rest/search	2026-09-21T15:25:08Z	DONE	0	0	7969feeb4d885b26072f463a0e5fb511ba98f2ada1e286a8885d74430cb57d61
ALOX15	"TITLE_ABS:ALOX15 AND (TITLE_ABS:""breast cancer"" OR TITLE_ABS:""mammary carcinoma"" OR TITLE_ABS:""breast carcinoma"") AND (knockdown OR knockout OR silencing OR depletion OR overexpression OR CRISPR OR inhibition)"	https://www.ebi.ac.uk/europepmc/webservices/rest/search	2026-09-21T15:25:08Z	DONE	15	15	d9799d7ff95d09faa5b1f16719d2ecb5a51378e4c1e33c673d8d567483749f9c
ALOX5	"TITLE_ABS:ALOX5 AND (TITLE_ABS:""breast cancer"" OR TITLE_ABS:""mammary carcinoma"" OR TITLE_ABS:""breast carcinoma"") AND (knockdown OR knockout OR silencing OR depletion OR overexpression OR CRISPR OR inhibition)"	https://www.ebi.ac.uk/europepmc/webservices/rest/search	2026-09-21T15:25:08Z	DONE	6	6	e7587e8700684c4ae02838d34d0560b910ff11252a1dac5e9cb1db86c2493869
