cancer	dataset	gene	in_feature_dictionary	expression_detection	cells_expressing	patients_evaluable	interpretation
BRCA	GSE161529	AASS	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	ACLY	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	ADA	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	ADA2	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	AFMID	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	AHCY	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	AMDHD2	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	AOX1	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	ARG1	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	ARG2	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	ASNS	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	ASS1	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	BBOX1	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	BCAT1	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	BCAT2	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	CDO1	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	CEPT1	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	CHKA	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	CHKB	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	CHPT1	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	CKB	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	CKM	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	CMAS	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	CMPK1	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
