cancer	source	sha256	sha256_scope	status	note
BRCA	code/brca_sc_resource_probe_v1.py	8b2659ed62bd9ff1a7bc399871e025c65c6b84a2111d21ac310d87650ce9eb96	repository_artifact_bytes	DONE	No patient-level matrix
BRCA	results/BRCA/06_EXTERNAL/20260919T134718Z_scRNA_resource_selection/.gitattributes	8eeb02ae928db5a4ba285c2417640e00a15d1d7f21e27666c6acaa72f15fc515	repository_artifact_bytes	DONE	No patient-level matrix
BRCA	results/BRCA/06_EXTERNAL/20260919T134718Z_scRNA_resource_selection/access_log.tsv	92ebdbbd36010fdf5b954d4956a7b685332f19ef99a7d5dd13f2af23eb2d3a8d	repository_artifact_bytes	DONE	No patient-level matrix
BRCA	results/BRCA/06_EXTERNAL/20260919T134718Z_scRNA_resource_selection/analysis_spec.json	ebac837a0634d9a8ce1114e759a9164a0bc5831323e3d2d64be8edecb8daaf7f	repository_artifact_bytes	DONE	No patient-level matrix
BRCA	results/BRCA/06_EXTERNAL/20260919T134718Z_scRNA_resource_selection/dataset_selection.tsv	91063963c6a93b57a3e595cf1936b88ebbcfff431b4060562f001890d95dbd3d	repository_artifact_bytes	DONE	No patient-level matrix
BRCA	results/BRCA/06_EXTERNAL/20260919T134718Z_scRNA_resource_selection/gene_dictionary_coverage_117.tsv	fc15c834ef484fbabe632349619595552d02fc7ed1c5a35684e4056cc3ea4205	repository_artifact_bytes	DONE	No patient-level matrix
BRCA	results/BRCA/06_EXTERNAL/20260919T134718Z_scRNA_resource_selection/normal_reference_assets.tsv	bec5b0f76b6f18c5e66090d7f2545b05542b93d94c41a470f876d2d0485da7cb	repository_artifact_bytes	DONE	No patient-level matrix
BRCA	results/BRCA/06_EXTERNAL/20260919T134718Z_scRNA_resource_selection/README_CN.md	ae46397d7ed1fe12ee407ac52ef0be1288da57bc9c510cb52a901e298a1cd161	repository_artifact_bytes	DONE	No patient-level matrix
BRCA	results/BRCA/06_EXTERNAL/20260919T134718Z_scRNA_resource_selection/series_metadata_summary.tsv	6076147dd73bc403770dfe29393b39c0613c4708af9a70fcce0405b76334621e	repository_artifact_bytes	DONE	No patient-level matrix
BRCA	results/BRCA/06_EXTERNAL/20260919T134718Z_scRNA_resource_selection/validation.json	aa87e10594cfe6e7292ab5d8085c350acadf9920d7de19c1dc54d7743b693352	repository_artifact_bytes	DONE	No patient-level matrix
BRCA	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE176078&targ=self&form=text&view=full	c673175ee4ac1169fa82da085ab64bfbe4b7bdd3565c2a6b89a43dffc9fb61d7	HTTP_metadata_response_only	DONE	HTTP200;GET;not a checksum for an un-fetched matrix
BRCA	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE161529&targ=self&form=text&view=full	b3bb0d001ba80ea6c9c7d0f63a359ccbb9e41621b7b6c824d1b7afea028f4c6f	HTTP_metadata_response_only	DONE	HTTP200;GET;not a checksum for an un-fetched matrix
BRCA	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE276609&targ=self&form=text&view=full	f5bdefa1c5023c1611379a9761eb88f11e7d1e320b969c28bf89e1b76f958b2b	HTTP_metadata_response_only	DONE	HTTP200;GET;not a checksum for an un-fetched matrix
BRCA	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE176nnn/GSE176078/suppl/GSE176078_Wu_etal_2021_BRCA_scRNASeq.tar.gz	NA	NA_full_file_not_downloaded	DONE	HTTP200;HEAD;not a checksum for an un-fetched matrix
BRCA	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE161nnn/GSE161529/suppl/GSE161529_RAW.tar	NA	NA_full_file_not_downloaded	DONE	HTTP200;HEAD;not a checksum for an un-fetched matrix
BRCA	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE161nnn/GSE161529/suppl/GSE161529_features.tsv.gz	d8b21cc094b58a3bdcd6c2b3cc7699399c4f14ff8f8611231a2c6da04791a354	HTTP_metadata_response_only	DONE	HTTP200;GET;not a checksum for an un-fetched matrix
BRCA	https://api.figshare.com/v2/articles/17058077	58bf2215b395dcac74c009aa98701854e43cbe54a1cd3a95fee6a647ca9910d4	HTTP_metadata_response_only	ACCESS_BLOCKED	HTTP403;GET;not a checksum for an un-fetched matrix
BRCA	https://api.cellxgene.cziscience.com/curation/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637	3f8f04eba83ace9aa0cdf6464427e162055b1851b11bb80549f43c4921c01f5f	HTTP_metadata_response_only	DONE	HTTP200;GET;not a checksum for an un-fetched matrix
BRCA	https://raw.githubusercontent.com/chris-mcginnis-ucsf/pymt_atlas/master/README.md	304707c28b270f3d237d9ae0e6658658ddee88431af12932820d1f6046aa9327	HTTP_metadata_response_only	DONE	HTTP200;GET;not a checksum for an un-fetched matrix
BRCA	https://singlecell.broadinstitute.org/single_cell/study/SCP3851/a-spatial-single-cell-transcriptomic-atlas-of-metastatic-breast-cancer-progression	8ff41f2574cf7013cf505e9a741283b181783907089827346c76c659c2d2359b	HTTP_metadata_response_only	DONE	HTTP200;GET;not a checksum for an un-fetched matrix
