gene	all_top	naive_top	treated_top	all_naive_same	interpretation
AASS	Fibroblasts	Fibroblasts	Fibroblasts	True	descriptive rank; low detection flags in gene117 comparison must also be checked
ACLY	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
ADA	Endothelial	Endothelial	T_NK_cells	True	descriptive rank; low detection flags in gene117 comparison must also be checked
ADA2	Myeloid	Myeloid	Myeloid	True	descriptive rank; low detection flags in gene117 comparison must also be checked
AFMID	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
AHCY	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
AMDHD2	Myeloid	Myeloid	Myeloid	True	descriptive rank; low detection flags in gene117 comparison must also be checked
AOX1	Fibroblasts	Fibroblasts	Fibroblasts	True	descriptive rank; low detection flags in gene117 comparison must also be checked
ARG1	T_NK_cells	T_NK_cells	Myeloid	True	descriptive rank; low detection flags in gene117 comparison must also be checked
ARG2	Nonmalignant_epithelial	Nonmalignant_epithelial	Perivascular	True	descriptive rank; low detection flags in gene117 comparison must also be checked
ASNS	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
ASS1	Endothelial	Endothelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
BBOX1	Nonmalignant_epithelial	Nonmalignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
BCAT1	Myeloid	Myeloid	Myeloid	True	descriptive rank; low detection flags in gene117 comparison must also be checked
BCAT2	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
CDO1	Fibroblasts	Fibroblasts	Fibroblasts	True	descriptive rank; low detection flags in gene117 comparison must also be checked
CEPT1	B_cells	B_cells	B_cells	True	descriptive rank; low detection flags in gene117 comparison must also be checked
