cancer	gene	analysis_version	interpretation	Wu2021_n_evaluable_lineages	Wu2021_top_lineage	Wu2021_top_mean_log1p10k	Wu2021_top_detection_fraction	Wu2021_top_n_source_donor_labels	Wu2021_top3_lineages	Wu2021_max_detection_fraction	Wu2021_source_interpretable	Pal2021_reprocessed_n_evaluable_lineages	Pal2021_reprocessed_top_lineage	Pal2021_reprocessed_top_mean_log1p10k	Pal2021_reprocessed_top_detection_fraction	Pal2021_reprocessed_top_n_source_donor_labels	Pal2021_reprocessed_top3_lineages	Pal2021_reprocessed_max_detection_fraction	Pal2021_reprocessed_source_interpretable	Reed2024_n_evaluable_lineages	Reed2024_top_lineage	Reed2024_top_mean_log1p10k	Reed2024_top_detection_fraction	Reed2024_top_n_source_donor_labels	Reed2024_top3_lineages	Reed2024_max_detection_fraction	Reed2024_source_interpretable	wu_pal_shared_lineages	wu_pal_lineage_rank_rho	wu_pal_top_shared_lineage_Wu	wu_pal_top_shared_lineage_Pal	wu_pal_top_lineage_agreement	wu_pal_top3_overlap	status	reason	一句话解读
BRCA	AASS	sc117_v1	descriptive cell source only; RNA is not enzyme activity or metabolite flux	9	Fibroblasts	0.0776589270712372	0.0861045809390935	23	Fibroblasts;Nonmalignant_epithelial;Endothelial	0.0989720380627526	True	9	Fibroblasts	0.0709785306419984	0.050556056909391	30	Fibroblasts;Endothelial;Perivascular	0.050556056909391	True	8	Fibroblasts	0.18557286822146	0.1597718028949571	54	Fibroblasts;Perivascular;Endothelial	0.1597718028949571	True	8	0.9285714285714288	Fibroblasts	Fibroblasts	True	2	DONE	Pal independent biological source; later atlas reprocessing; annotations not original Pal objects	两套肿瘤来源中共有类别的最高表达类别一致：成纤维细胞
BRCA	ACLY	sc117_v1	descriptive cell source only; RNA is not enzyme activity or metabolite flux	9	Malignant_epithelial	0.191272733197398	0.2758291654739049	20	Malignant_epithelial;Endothelial;Fibroblasts	0.2758291654739049	True	9	Endothelial	0.1984363803621439	0.1299994223199174	23	Endothelial;Malignant_epithelial;Fibroblasts	0.2129238809855692	True	8	Nonmalignant_epithelial	0.1303750484417384	0.1799667804120762	55	Nonmalignant_epithelial;Endothelial;Fibroblasts	0.1799667804120762	True	8	0.9523809523809524	Malignant_epithelial	Endothelial	False	3	DONE	Pal independent biological source; later atlas reprocessing; annotations not original Pal objects	两套肿瘤来源的最高表达类别不一致，保留背景差异
BRCA	ADA	sc117_v1	descriptive cell source only; RNA is not enzyme activity or metabolite flux	9	Endothelial	0.1349589086443705	0.1402325345121873	24	Endothelial;T_NK_cells;Perivascular	0.1402325345121873	True	9	Endothelial	0.0853416833987279	0.0566560034581748	23	Endothelial;T_NK_cells;Plasma_cells	0.063769561811241	True	8	Myeloid	0.4883228494353208	0.3421041662501154	40	Myeloid;B_cells;Perivascular	0.3421041662501154	True	8	0.523809523809524	Endothelial	Endothelial	True	2	DONE	Pal independent biological source; later atlas reprocessing; annotations not original Pal objects	两套肿瘤来源中共有类别的最高表达类别一致：内皮细胞（构成血管内壁等）
BRCA	ADA2	sc117_v1	descriptive cell source only; RNA is not enzyme activity or metabolite flux	9	Myeloid	0.5136229580776686	0.4099783887594342	26	Myeloid;Plasma_cells;B_cells	0.4099783887594342	True	9	Myeloid	0.4283622789138898	0.2741744657592467	30	Myeloid;Plasma_cells;Endothelial	0.2741744657592467	True	8	Plasma_cells	0.0792003046844253	0.1100175792019819	7	Plasma_cells;Myeloid;T_NK_cells	0.1100175792019819	True	8	0.9047619047619048	Myeloid	Myeloid	True	2	DONE	Pal independent biological source; later atlas reprocessing; annotations not original Pal objects	两套肿瘤来源中共有类别的最高表达类别一致：髓系免疫细胞（巨噬等，不等同中性粒细胞）
BRCA	AFMID	sc117_v1	descriptive cell source only; RNA is not enzyme activity or metabolite flux	9	Malignant_epithelial	0.2256651973147116	0.2899685076505993	20	Malignant_epithelial;Nonmalignant_epithelial;Endothelial	0.2899685076505993	True	9	Malignant_epithelial	0.2189224233781395	0.2037773263533856	33	Malignant_epithelial;Myeloid;Fibroblasts	0.2037773263533856	True	8	Nonmalignant_epithelial	0.1117852506422572	0.1527294231424953	55	Nonmalignant_epithelial;Perivascular;Plasma_cells	0.1527294231424953	True	8	0.7619047619047621	Malignant_epithelial	Malignant_epithelial	True	1	DONE	Pal independent biological source; later atlas reprocessing; annotations not original Pal objects	两套肿瘤来源中共有类别的最高表达类别一致：癌性上皮细胞（依作者注释）
BRCA	AHCY	sc117_v1	descriptive cell source only; RNA is not enzyme activity or metabolite flux	9	Malignant_epithelial	0.5277917643431503	0.5379956558543251	20	Malignant_epithelial;Nonmalignant_epithelial;Myeloid	0.5379956558543251	True	9	Malignant_epithelial	0.2329902010645396	0.2486290267421801	33	Malignant_epithelial;Myeloid;Perivascular	0.2486290267421801	True	8	Nonmalignant_epithelial	0.2188117204989677	0.2992820357993095	55	Nonmalignant_epithelial;B_cells;Perivascular	0.2992820357993095	True	8	0.9523809523809524	Malignant_epithelial	Malignant_epithelial	True	2	DONE	Pal independent biological source; later atlas reprocessing; annotations not original Pal objects	两套肿瘤来源中共有类别的最高表达类别一致：癌性上皮细胞（依作者注释）
BRCA	AMDHD2	sc117_v1	descriptive cell source only; RNA is not enzyme activity or metabolite flux	9	Myeloid	0.1252261776580803	0.1403290292433203	26	Myeloid;Malignant_epithelial;Fibroblasts	0.1902184389062571	True	9	Myeloid	0.1227413058638837	0.09362242896526	30	Myeloid;Malignant_epithelial;Fibroblasts	0.1014934289342029	True	8	B_cells	0.0870042453149873	0.0600861911302183	24	B_cells;T_NK_cells;Myeloid	0.0751367572188749	True	8	1.0	Myeloid	Myeloid	True	3	DONE	Pal independent biological source; later atlas reprocessing; annotations not original Pal objects	两套肿瘤来源中共有类别的最高表达类别一致：髓系免疫细胞（巨噬等，不等同中性粒细胞）
BRCA	AOX1	sc117_v1	descriptive cell source only; RNA is not enzyme activity or metabolite flux	9	Fibroblasts	0.0646628744503186	0.0667832672394026	23	Fibroblasts;Malignant_epithelial;Perivascular	0.0667832672394026	True	9	Fibroblasts	0.0541391381347361	0.0419632835558613	30	Fibroblasts;Malignant_epithelial;Perivascular	0.0419632835558613	True	8	Fibroblasts	0.034358565036738	0.0319057612552213	54	Fibroblasts;Perivascular;Nonmalignant_epithelial	0.0319057612552213	True	8	0.6428571428571429	Fibroblasts	Fibroblasts	True	3	DONE	Pal independent biological source; later atlas reprocessing; annotations not original Pal objects	两套肿瘤来源中共有类别的最高表达类别一致：成纤维细胞
BRCA	ARG1	sc117_v1	descriptive cell source only; RNA is not enzyme activity or metabolite flux	9	T_NK_cells	0.0010718736801428	0.0006165261440509	26	T_NK_cells;Myeloid;Nonmalignant_epithelial	0.0006165261440509	False	9	Fibroblasts	0.0001540789133135	0.0001105181160582	30	Fibroblasts;Malignant_epithelial;T_NK_cells	0.0001105181160582	False	8	B_cells	0.0004966881041169	0.0003591954022988	24	B_cells;Fibroblasts;Endothelial	0.0003591954022988	False	8		T_NK_cells	Fibroblasts		1	NOT_EVALUABLE	fewer_than_5_shared_lineages_or_max_donor_mean_detection_below_1percent; raw summaries retained	检出过少或覆盖不足，暂不能判断细胞来源；不是没有作用
BRCA	ARG2	sc117_v1	descriptive cell source only; RNA is not enzyme activity or metabolite flux	9	Nonmalignant_epithelial	0.1279958956170335	0.1568980487826882	10	Nonmalignant_epithelial;Perivascular;Malignant_epithelial	0.1568980487826882	True	9	Malignant_epithelial	0.0243709801447181	0.0346461579786381	33	Malignant_epithelial;Plasma_cells;B_cells	0.0346461579786381	True	8	Myeloid	0.0777721343018681	0.0796197513371089	40	Myeloid;Nonmalignant_epithelial;Plasma_cells	0.1091965472976066	True	8	0.0952380952380952	Perivascular	Malignant_epithelial	False	1	DONE	Pal independent biological source; later atlas reprocessing; annotations not original Pal objects	两套肿瘤来源的最高表达类别不一致，保留背景差异
