cohort	gene	matches
Pal2021_reprocessed	ADAMTS14	1
Pal2021_reprocessed	ADAMTS2	1
Pal2021_reprocessed	ADAMTS3	1
Pal2021_reprocessed	AK2	1
Pal2021_reprocessed	ANP32E	1
Pal2021_reprocessed	ASF1A	1
Pal2021_reprocessed	ASF1B	1
Pal2021_reprocessed	ATAD2	1
Pal2021_reprocessed	AURKA	1
Pal2021_reprocessed	AURKB	1
Pal2021_reprocessed	BARD1	1
Pal2021_reprocessed	BIRC5	1
Pal2021_reprocessed	BMP1	1
Pal2021_reprocessed	BRCA1	1
Pal2021_reprocessed	BRCA2	1
Pal2021_reprocessed	BRMS1L	1
Pal2021_reprocessed	BUB1B	1
Pal2021_reprocessed	CBX5	1
Pal2021_reprocessed	CCNB2	1
Pal2021_reprocessed	CCNE1	1
Pal2021_reprocessed	CCP110	1
Pal2021_reprocessed	CD151	1
Pal2021_reprocessed	CDC20	1
Pal2021_reprocessed	CDC25A	1
Pal2021_reprocessed	CDC25B	1
Pal2021_reprocessed	CDCA3	1
Pal2021_reprocessed	CDCA8	1
Pal2021_reprocessed	CDK1	1
Pal2021_reprocessed	CDK4	1
Pal2021_reprocessed	CDKN1A	1
Pal2021_reprocessed	CDKN1B	1
Pal2021_reprocessed	CDKN2A	1
Pal2021_reprocessed	CDKN2C	1
Pal2021_reprocessed	CDKN3	1
Pal2021_reprocessed	CENPE	1
Pal2021_reprocessed	CENPM	1
Pal2021_reprocessed	CHEK1	1
Pal2021_reprocessed	CHEK2	1
Pal2021_reprocessed	CIT	1
Pal2021_reprocessed	CKS1B	1
Pal2021_reprocessed	CKS2	1
Pal2021_reprocessed	CNOT9	1
Pal2021_reprocessed	COL10A1	1
Pal2021_reprocessed	COL11A1	1
Pal2021_reprocessed	COL11A2	1
Pal2021_reprocessed	COL12A1	1
Pal2021_reprocessed	COL13A1	1
Pal2021_reprocessed	COL14A1	1
Pal2021_reprocessed	COL15A1	1
Pal2021_reprocessed	COL16A1	1
Pal2021_reprocessed	COL17A1	1
Pal2021_reprocessed	COL18A1	1
Pal2021_reprocessed	COL19A1	1
Pal2021_reprocessed	COL1A1	1
Pal2021_reprocessed	COL1A2	1
Pal2021_reprocessed	COL20A1	1
Pal2021_reprocessed	COL21A1	1
Pal2021_reprocessed	COL22A1	1
Pal2021_reprocessed	COL23A1	1
Pal2021_reprocessed	COL24A1	1
Pal2021_reprocessed	COL25A1	1
Pal2021_reprocessed	COL26A1	1
Pal2021_reprocessed	COL27A1	1
Pal2021_reprocessed	COL28A1	1
Pal2021_reprocessed	COL2A1	1
Pal2021_reprocessed	COL3A1	1
Pal2021_reprocessed	COL4A1	1
Pal2021_reprocessed	COL4A2	1
Pal2021_reprocessed	COL4A3	1
Pal2021_reprocessed	COL4A4	1
Pal2021_reprocessed	COL4A5	1
Pal2021_reprocessed	COL4A6	1
Pal2021_reprocessed	COL5A1	1
Pal2021_reprocessed	COL5A2	1
Pal2021_reprocessed	COL5A3	1
Pal2021_reprocessed	COL6A1	1
Pal2021_reprocessed	COL6A2	1
Pal2021_reprocessed	COL6A3	1
Pal2021_reprocessed	COL6A5	1
Pal2021_reprocessed	COL6A6	1
Pal2021_reprocessed	COL7A1	1
Pal2021_reprocessed	COL8A1	1
Pal2021_reprocessed	COL8A2	1
Pal2021_reprocessed	COL9A1	1
Pal2021_reprocessed	COL9A2	1
Pal2021_reprocessed	COL9A3	1
Pal2021_reprocessed	COLGALT1	1
Pal2021_reprocessed	COLGALT2	1
Pal2021_reprocessed	CRTAP	1
Pal2021_reprocessed	CSE1L	1
Pal2021_reprocessed	CTCF	1
Pal2021_reprocessed	CTPS1	1
Pal2021_reprocessed	CTSB	1
Pal2021_reprocessed	CTSL	1
Pal2021_reprocessed	CTSS	1
Pal2021_reprocessed	CTSV	1
Pal2021_reprocessed	DCK	1
Pal2021_reprocessed	DCLRE1B	1
Pal2021_reprocessed	DCTPP1	1
Pal2021_reprocessed	DDX39A	1
Pal2021_reprocessed	DEK	1
Pal2021_reprocessed	DEPDC1	1
Pal2021_reprocessed	DIAPH3	1
Pal2021_reprocessed	DLGAP5	1
Pal2021_reprocessed	DNMT1	1
Pal2021_reprocessed	DONSON	1
Pal2021_reprocessed	DSCC1	1
Pal2021_reprocessed	DST	1
Pal2021_reprocessed	DUT	1
Pal2021_reprocessed	E2F8	1
Pal2021_reprocessed	EED	1
Pal2021_reprocessed	EIF2S1	1
Pal2021_reprocessed	ESPL1	1
Pal2021_reprocessed	EXOSC8	1
Pal2021_reprocessed	EZH2	1
Pal2021_reprocessed	GINS1	1
Pal2021_reprocessed	GINS3	1
Pal2021_reprocessed	GINS4	1
Pal2021_reprocessed	GSPT1	1
Pal2021_reprocessed	H2AX	1
Pal2021_reprocessed	H2AZ1	1
Pal2021_reprocessed	HELLS	1
Pal2021_reprocessed	HMGA1	1
Pal2021_reprocessed	HMGB2	1
Pal2021_reprocessed	HMGB3	1
Pal2021_reprocessed	HMMR	1
Pal2021_reprocessed	HNRNPD	1
Pal2021_reprocessed	HUS1	1
Pal2021_reprocessed	ILF3	1
Pal2021_reprocessed	ING3	1
Pal2021_reprocessed	IPO7	1
Pal2021_reprocessed	ITGA6	1
Pal2021_reprocessed	ITGB4	1
Pal2021_reprocessed	JPT1	1
Pal2021_reprocessed	KIF18B	1
Pal2021_reprocessed	KIF22	1
Pal2021_reprocessed	KIF2C	1
Pal2021_reprocessed	KIF4A	1
Pal2021_reprocessed	KPNA2	1
Pal2021_reprocessed	LAMA3	1
Pal2021_reprocessed	LAMB3	1
Pal2021_reprocessed	LAMC2	1
Pal2021_reprocessed	LBR	1
Pal2021_reprocessed	LIG1	1
Pal2021_reprocessed	LMNB1	1
Pal2021_reprocessed	LOX	1
Pal2021_reprocessed	LOXL1	1
Pal2021_reprocessed	LOXL2	1
Pal2021_reprocessed	LOXL3	1
Pal2021_reprocessed	LOXL4	1
Pal2021_reprocessed	LUC7L3	1
Pal2021_reprocessed	LYAR	1
Pal2021_reprocessed	MAD2L1	1
Pal2021_reprocessed	MCM2	1
Pal2021_reprocessed	MCM3	1
Pal2021_reprocessed	MCM4	1
Pal2021_reprocessed	MCM5	1
Pal2021_reprocessed	MCM6	1
Pal2021_reprocessed	MCM7	1
Pal2021_reprocessed	MELK	1
Pal2021_reprocessed	MKI67	1
Pal2021_reprocessed	MLH1	1
Pal2021_reprocessed	MMP13	1
Pal2021_reprocessed	MMP20	1
Pal2021_reprocessed	MMP3	1
Pal2021_reprocessed	MMP7	1
Pal2021_reprocessed	MMP9	1
Pal2021_reprocessed	MMS22L	1
Pal2021_reprocessed	MRE11	1
Pal2021_reprocessed	MSH2	1
Pal2021_reprocessed	MTHFD2	1
Pal2021_reprocessed	MXD3	1
Pal2021_reprocessed	MYBL2	1
Pal2021_reprocessed	MYC	1
Pal2021_reprocessed	NAA38	1
Pal2021_reprocessed	NAP1L1	1
Pal2021_reprocessed	NASP	1
Pal2021_reprocessed	NBN	1
Pal2021_reprocessed	NCAPD2	1
Pal2021_reprocessed	NME1	1
Pal2021_reprocessed	NOLC1	1
Pal2021_reprocessed	NOP56	1
Pal2021_reprocessed	NUDT21	1
Pal2021_reprocessed	NUP107	1
Pal2021_reprocessed	NUP153	1
Pal2021_reprocessed	NUP205	1
Pal2021_reprocessed	ORC2	1
Pal2021_reprocessed	ORC6	1
Pal2021_reprocessed	P3H1	1
Pal2021_reprocessed	P3H2	1
Pal2021_reprocessed	P3H3	1
Pal2021_reprocessed	P4HA1	1
Pal2021_reprocessed	P4HA2	1
Pal2021_reprocessed	P4HA3	1
Pal2021_reprocessed	P4HB	1
Pal2021_reprocessed	PA2G4	1
Pal2021_reprocessed	PAICS	1
Pal2021_reprocessed	PAN2	1
Pal2021_reprocessed	PCNA	1
Pal2021_reprocessed	PCOLCE	1
Pal2021_reprocessed	PCOLCE2	1
Pal2021_reprocessed	PDS5B	1
Pal2021_reprocessed	PHF5A	1
Pal2021_reprocessed	PLEC	1
Pal2021_reprocessed	PLK1	1
Pal2021_reprocessed	PLK4	1
Pal2021_reprocessed	PLOD1	1
Pal2021_reprocessed	PLOD2	1
Pal2021_reprocessed	PLOD3	1
Pal2021_reprocessed	PMS2	1
Pal2021_reprocessed	PNN	1
Pal2021_reprocessed	POLA2	1
Pal2021_reprocessed	POLD1	1
Pal2021_reprocessed	POLD2	1
Pal2021_reprocessed	POLD3	1
Pal2021_reprocessed	POLE	1
Pal2021_reprocessed	POLE4	1
Pal2021_reprocessed	POP7	1
Pal2021_reprocessed	PPIB	1
Pal2021_reprocessed	PPM1D	1
Pal2021_reprocessed	PPP1R8	1
Pal2021_reprocessed	PRDX4	1
Pal2021_reprocessed	PRIM2	1
Pal2021_reprocessed	PRKDC	1
Pal2021_reprocessed	PRPS1	1
Pal2021_reprocessed	PSIP1	1
Pal2021_reprocessed	PSMC3IP	1
Pal2021_reprocessed	PTTG1	1
Pal2021_reprocessed	PXDN	1
Pal2021_reprocessed	PYCR1	1
Pal2021_reprocessed	RACGAP1	1
Pal2021_reprocessed	RAD1	1
Pal2021_reprocessed	RAD21	1
Pal2021_reprocessed	RAD50	1
Pal2021_reprocessed	RAD51AP1	1
Pal2021_reprocessed	RAD51C	1
Pal2021_reprocessed	RAN	1
Pal2021_reprocessed	RANBP1	1
Pal2021_reprocessed	RBBP7	1
Pal2021_reprocessed	RFC1	1
Pal2021_reprocessed	RFC2	1
Pal2021_reprocessed	RFC3	1
Pal2021_reprocessed	RNASEH2A	1
Pal2021_reprocessed	RPA1	1
Pal2021_reprocessed	RPA2	1
Pal2021_reprocessed	RPA3	1
Pal2021_reprocessed	RRM2	1
Pal2021_reprocessed	SERPINH1	1
Pal2021_reprocessed	SHMT1	1
Pal2021_reprocessed	SLBP	1
Pal2021_reprocessed	SMC1A	1
Pal2021_reprocessed	SMC3	1
Pal2021_reprocessed	SMC4	1
Pal2021_reprocessed	SMC6	1
Pal2021_reprocessed	SNRPB	1
Pal2021_reprocessed	SPAG5	1
Pal2021_reprocessed	SPC24	1
Pal2021_reprocessed	SPC25	1
Pal2021_reprocessed	SRSF1	1
Pal2021_reprocessed	SRSF2	1
Pal2021_reprocessed	SSRP1	1
Pal2021_reprocessed	STAG1	1
Pal2021_reprocessed	STMN1	1
Pal2021_reprocessed	SUV39H1	1
Pal2021_reprocessed	SYNCRIP	1
Pal2021_reprocessed	TACC3	1
Pal2021_reprocessed	TBRG4	1
Pal2021_reprocessed	TCF19	1
Pal2021_reprocessed	TFRC	1
Pal2021_reprocessed	TIMELESS	1
Pal2021_reprocessed	TIPIN	1
Pal2021_reprocessed	TK1	1
Pal2021_reprocessed	TLL1	1
Pal2021_reprocessed	TLL2	1
Pal2021_reprocessed	TMPO	1
Pal2021_reprocessed	TOP2A	1
Pal2021_reprocessed	TP53	1
Pal2021_reprocessed	TRA2B	1
Pal2021_reprocessed	TRIP13	1
Pal2021_reprocessed	TUBB	1
Pal2021_reprocessed	TUBG1	1
Pal2021_reprocessed	UBE2S	1
Pal2021_reprocessed	UBE2T	1
Pal2021_reprocessed	UBR7	1
Pal2021_reprocessed	UNG	1
Pal2021_reprocessed	USP1	1
Pal2021_reprocessed	WDR90	1
Pal2021_reprocessed	WEE1	1
Pal2021_reprocessed	XPO1	1
Pal2021_reprocessed	XRCC6	1
Pal2021_reprocessed	ZW10	1
