accession	status	title	overall_design	n_samples	reason
GSE100534	DONE	Expression profiling in breast cancer brain metastases compared to breast cancers and primary brain tumors	We extracted RNA from BCBM and prBT. RNA samples were processed and hybridized to Affymetrix microarrays. Microarray expression samples from BC were used from one of our previous study. Bioinformatics tools and adjacent techniques were employed to display BCBM specific expression profiles and other genetic characteristics.	35	repository_metadata_only;do_not_infer_target_gene_perturbation_from_article_link
GSE103091	DONE	Gene-expression molecular subtyping of triple-negative breast cancer tumors	Refer to individual Series	238	repository_metadata_only;do_not_infer_target_gene_perturbation_from_article_link
GSE11121	DONE	The humoral immune system has a key prognostic impact in node-negative breast cancer	Population based N0 untreated breast cancer cohort study including 200 samples	200	repository_metadata_only;do_not_infer_target_gene_perturbation_from_article_link
GSE116180	DONE	Transcriptomic but not genomic variability confers phenotype of breast cancer stem cells	To identify the transcriptional program associated with BCSCs, bulk-cell and single-cell RNA sequencing was performed on both spheroids and cells that cannot give rise to spheroid.	12	repository_metadata_only;do_not_infer_target_gene_perturbation_from_article_link
GSE12777	DONE	Gene expression profiling of 51 human breast cancer cell lines	RNA was prepared from cell lines cultured in 10% fetal bovine serum	51	repository_metadata_only;do_not_infer_target_gene_perturbation_from_article_link
GSE128458	DONE	Enhancer reprogramming driven by high-order assemblies of transcription factors promotes phenotypic plasticity and breast cancer endocrine resistance [RNA-Seq]	Total RNA extraction followed by high throughput sequencing (RNA-seq)	38	repository_metadata_only;do_not_infer_target_gene_perturbation_from_article_link
GSE139125	DONE	Single Cell RNA sequencing of mouse CD11b+, Gr1+ cells from the spleen from FVB/n and PYMT mice	Droplet Based Single Cell RNA sequencing libraries were generated for 5 pooled FVB/n mouse spleens and 3 pooled PYMT mouse spleens using the 10x Genomics Chromium Platform and sequenced on the Illumina HighSeq 4000	2	repository_metadata_only;do_not_infer_target_gene_perturbation_from_article_link
GSE14017	DONE	Metastases of breast cancer (U133plus2)	58 breast cancer metastases from different organs were profiled and compared by the expression level of over 400 cytokines. 29 samples were incuded in this series. 29 others as well as 7 in the present series were profiled on U133A platforms and included in series GSE14018.	29	repository_metadata_only;do_not_infer_target_gene_perturbation_from_article_link
GSE14297	DONE	Expression Profile of Primary Colorectal Cancers and associated Liver Metastases	RNA of 18 primary colorectal cancers, 18 matched liver metastases, 7 normal colon epithelium samples and 5 normal liver tissue samples hybridized on Human Sentrix-6 V2 (Illumina)	48	repository_metadata_only;do_not_infer_target_gene_perturbation_from_article_link
GSE14333	DONE	Expression data from 290 primary colorectal cancers	mRNA from 290 primary colorectal tumour samples were extracted and hybridized to HG-U133Plus 2.0 expression arrays. The MAS5.0 procedure was used to make calls of expression. Data from the Stage A and D samples were quantile normalized and used with microarray data from the expO set to build a classifier. The Stage B and C samples were were quantile normalized with reference to a training set prior to application of our prognosis classifier.	290	repository_metadata_only;do_not_infer_target_gene_perturbation_from_article_link
GSE144378	DONE	The 3D Genomic Landscape of Differential Response to EGFR/HER2 Inhibition in Endocrine-Resistant Breast Cancer [RNA-seq]	RNA-seq experiment of 6 cell types with or without drugs, 3 biological replicates for each condition;	18	repository_metadata_only;do_not_infer_target_gene_perturbation_from_article_link
GSE145661	DONE	Kynurenine 3-monooxygenase upregulates pluripotent genes through Î²-catenin and promotes triple-negative breast cancer progression	MDA-MB-231 cells transfected with siRNA against control or KMO were individually assayed on Affymetrix GeneChip Human Genome U133 Plus 2.0 Arrays. Expression values were estimated with the Robust Multi-Arry average algorithm, which resulted in log-2 transformed values for each of 54675 probe sets.	2	repository_metadata_only;do_not_infer_target_gene_perturbation_from_article_link
GSE159956	DONE	ABI1-based 7-gene expression signature predicts breast cancer metastasis and survival	295 breast cancer samples from human patients were taken. Gene expression was measured using the GPL2567 dual-channel microarray platform. Clinical data including lymph node and estrogen receptor (ER) status, disease free, metastasis, and overall survival times were measured. This dataset was used to develop a prognostic signature of metastatic breast cancer defined by our ABI1-based prognostic signature.	295	repository_metadata_only;do_not_infer_target_gene_perturbation_from_article_link
GSE161529	DONE	scRNA-seq profiling of breast cancer tumors, BRCA1 mutant pre-neoplastic mammary gland cells and normal mammary gland cells	The data provides 69 scRNA-seq profiles using the 10X Genomics Chromium platform, comprising a total of 421,761 cells from 52 patients. This includes profiles of 4 TNBCs, 4 BRCA1 TNBCs, 6 HER+ tumors, 19 ER+ tumors and 6 lymph-node metastases of ER+ tumors. It also includes profiles of total mammary gland cells from 13 normal patients without breast cancer, of epithelial mammary gland cells from 11 normal patients, and of total mammary gland cells from 4 preneoplastic patients with BRCA1 mutations. Detailed cell annotation and downstream Seurat analysis objects are available from Chen et al (Scientific Data, 2022, https://doi.org/10.1038/s41597-022-01236-2 ). Note from submitter: we are unable to upload the raw data files because of privacy issues with human samples.	69	repository_metadata_only;do_not_infer_target_gene_perturbation_from_article_link
GSE16446	DONE	Multifactorial Approach to Predicting Resistance to Anthracyclines	Predicting the efficacy of anthracyclines (epirubicin) in breast cancer (BC) patients (TOP trial) 120 microarray experiments from primary ER-negative breast tumors of anthracycline-treated patients. No replicate, no reference sample.	120	repository_metadata_only;do_not_infer_target_gene_perturbation_from_article_link
GSE167036	DONE	Single cell profiling of primary and paired metastatic lymph node tumors in breast cancer patients(10x RNA and TCR)	Single cell RNA and TCR sequencing of primary tumor and paired lymph node metastasis in breast cancer	32	repository_metadata_only;do_not_infer_target_gene_perturbation_from_article_link
GSE173300	DONE	RNA sequencing analysis of MCF7 cells treated with several combinations of steroids	Routinely cultured MCF7 cells were treated in red phenol-free DMEM medium, supplemented with 2% heat-inactivated and dextran-coated charcoal- treated FBS with estradiol (10-9M), estetrol (10-7M or 10-10M) or vehicle (DMSO 0.001%) for 20h, then progesterone (10-7M) or R5020 (10-8M) were added in some conditions for 4 additional hours. After 24h total treatment, RNA was extracted, quantified and submitted to RNAseq analysis.	50	repository_metadata_only;do_not_infer_target_gene_perturbation_from_article_link
GSE17536	DONE	Metastasis Gene Expression Profile Predicts Recurrence and Death in Colon Cancer Patients (Moffitt Samples)	Gene expression array differences between highly invasive mouse colon cancer cells and non-invasive colon cancer cells were used to develop a metastasis gene expression profile. It was refined using gene expression data from 55 patient (VMC) samples and trained using 177 patient (Moffitt) samples.	177	repository_metadata_only;do_not_infer_target_gene_perturbation_from_article_link
GSE176078	DONE	A single-cell and spatially resolved atlas of human breast cancers	We performed scRNA-Seq (Chromium, 10X Genomics) on 26 primary tumors from three major clinical subtypes of breast cancer, including 11 ER+, 5 HER2+ and 10 TNBC. We also performed bulk RNA-Seq on a total of 24 of these matched samples. ***Raw Data Disclaimer: Raw human data files are deposited to the EGA (EGAS00001005173) to adhere to ethics.***	26	repository_metadata_only;do_not_infer_target_gene_perturbation_from_article_link
GSE17705	DONE	Endocrine Sensitivity Index Validation Dataset	Tissue samples were processed and profiled by two different labs (MD Anderson Cancer Center and Jules Bordet Institute).	298	repository_metadata_only;do_not_infer_target_gene_perturbation_from_article_link
GSE180286	DONE	Single-cell RNA sequencing reveals the mechanism of human breast cancer metastasis	The matched primary breast cancer (PC) and 2 lymph nodes (LN) samples were analysed with single-cell RNA sequencing.	15	repository_metadata_only;do_not_infer_target_gene_perturbation_from_article_link
GSE18229	DONE	Phenotypic and Molecular Characterization of the Claudin-low Intrinsic Subtype of Breast Cancer	We created a large genomic data set by combining three of our previously published data sets (Herschkowitz et al., Hennessy et al., Parker et al.) and included 39 new tumor samples [n = 337; UNC337). In addition, we expression profiled mammospheres (MMS) obtained from 14 reduction mammoplasties. Finally, we FAC sorted and expression profiled subpopulations fromÂ the following cell lines: MCF-7, SUM149PT and SUM159PT.	372	repository_metadata_only;do_not_infer_target_gene_perturbation_from_article_link
GSE183694	DONE	HIF-1 Dependent Genes in ER-negative PyMT Mammary Tumor Cells	n=3 HIF-1 WT grown at normoxia, n=3 HIF-1 WT grown at hypoxia, n=3 HIF-1 KO grown at normoxia, n=3 HIF-1 KO grown at hypoxia cultured in DMEM/F12 supplemented with 2% FBS	12	repository_metadata_only;do_not_infer_target_gene_perturbation_from_article_link
GSE19615	DONE	Integrated genomic and function characterization of the 8q22 gain	Affymetrix U133plus2 from 115 tumor patients	115	repository_metadata_only;do_not_infer_target_gene_perturbation_from_article_link
GSE2034	DONE	Breast cancer relapse free survival		286	repository_metadata_only;do_not_infer_target_gene_perturbation_from_article_link
GSE20685	DONE	Microarray-based molecular subtyping of breast cancer	Gene expression profiles of 327 breast cancer samples were determined using total RNA and Affymetrix U133 plus 2.0 arrays.	327	repository_metadata_only;do_not_infer_target_gene_perturbation_from_article_link
GSE20711	DONE	Epigenetic portraits of human breast cancers (expression data)	92 bgene expression profiling reast cancer patients. Study of epigenetic variation (methylation) linked to gene expression. No replicate, no reference sample. Two samples (Breast tumor from patient P_64 and Normal breast tissue N6) were of poor quality and were not processed for a final of 90 gene expression Samples.	90	repository_metadata_only;do_not_infer_target_gene_perturbation_from_article_link
GSE21653	DONE	A gene expression signature identifies two prognostic subgroups of basal breast cancer	The IPC series contained frozen tumor samples obtained from 266 early breast cancer patients who underwent initial surgery in our institution between 1992 and 2004. They included 227 cases previously reported {Finetti, 2008 #1758} and 39 additional cases, all similarly profiled using Affymetrix U133 Plus 2.0 human oligonucleotide microarrays as previously described {Finetti, 2008 #1758}. The study was approved by the IPC review board, and informed consent was available for each case. Gene expression data of 266 BCs were quantified by using whole-genome DNA microarrays (HG-U133 plus 2.0, Affymetrix).	266	repository_metadata_only;do_not_infer_target_gene_perturbation_from_article_link
GSE220931	DONE	Proline synthetase PYCR1 acts as a metabolic reprogrammer dictating breast cancer stemness under chronic stress	RNA-seq data of the MDB-MA-231 cells in Ctrl, shP1, shP2 group.	9	repository_metadata_only;do_not_infer_target_gene_perturbation_from_article_link
GSE225600	DONE	Single-cell profiling and spatial transcriptome of primary tumors and paired metastatic lymph nodes in breast cancer patients	single-cell RNA and spatial transcriptome of 4 primary tumors and 4 paired metastatic lymph nodes in breast cancer	12	repository_metadata_only;do_not_infer_target_gene_perturbation_from_article_link
GSE24450	DONE	183 breast tumors from the Helsinki Univerisity Central Hospital with survival information	183 breast tumors from the Helsinki Univerisity Central Hospital with survival information	183	repository_metadata_only;do_not_infer_target_gene_perturbation_from_article_link
GSE25055	DONE	Discovery cohort for genomic predictor of response and survival following neoadjuvant taxane-anthracycline chemotherapy in breast cancer	Neoadjuvant study of 310 HER2-negative breast cancer cases treated with taxane-anthracycline chemotherapy pre-operatively and endocrine therapy if ER-positive. Response was assessed at the end of neoadjuvant treatment and distant-relapse-free survival was followed for at least 3 years post-surgery.	310	repository_metadata_only;do_not_infer_target_gene_perturbation_from_article_link
