metabolite_key	CAMP_name	annotation_hits	status	reason	fuscc_peak	fuscc_author_name	fuscc_hmdb	fuscc_kegg	fuscc_identification_level
HMDB:HMDB00721	glycylproline	0	NOT_EVALUABLE	no_exact_author_identifier	NA	NA	NA	NA	NA
KEGG:C00009	phosphate	0	NOT_EVALUABLE	no_exact_author_identifier	NA	NA	NA	NA	NA
KEGG:C00013	pyrophosphate (PPi)	0	NOT_EVALUABLE	no_exact_author_identifier	NA	NA	NA	NA	NA
KEGG:C00021	S-adenosylhomocysteine (SAH)	1	DONE	unique_author_identifier;identity_not_spectrally_reconfirmed	M385T401_POS	S-Adenosyl-L-homocysteine	HMDB0000939	C00021	B(i)
KEGG:C00025	glutamate	1	DONE	unique_author_identifier;identity_not_spectrally_reconfirmed	M146T388_NEG	L-Glutamate	HMDB0000148	C00025	B(i)
KEGG:C00037	glycine	1	DONE	unique_author_identifier;identity_not_spectrally_reconfirmed	M74T364_NEG	Glycine	HMDB0000123	C00037	B(i)
KEGG:C00047	lysine	1	DONE	unique_author_identifier;identity_not_spectrally_reconfirmed	M188T505_POS	L-Lysine	HMDB0000182	C00047	B(i)
KEGG:C00049	aspartate	1	DONE	unique_author_identifier;identity_not_spectrally_reconfirmed	M134T396_POS	L-Aspartate	HMDB0000191	C00049	B(i)
KEGG:C00051	glutathione, reduced (GSH)	1	DONE	unique_author_identifier;identity_not_spectrally_reconfirmed	M308T256_POS	Glutathione	HMDB0000125	C00051	B(iii)
KEGG:C00055	cytidine 5'-monophosphate (5'-CMP)	1	DONE	unique_author_identifier;identity_not_spectrally_reconfirmed	M324T256_POS	Cytidine 5'-monophosphate	HMDB0000095	C00055	B(i)
KEGG:C00062	arginine	1	DONE	unique_author_identifier;identity_not_spectrally_reconfirmed	M175T501_POS	L-Arginine	HMDB0000517	C00062	B(i)
KEGG:C00064	glutamine	1	DONE	unique_author_identifier;identity_not_spectrally_reconfirmed	M147T365_POS	L-Glutamine	HMDB0000641	C00064	B(i)
KEGG:C00065	serine	1	DONE	unique_author_identifier;identity_not_spectrally_reconfirmed	M106T367_POS	L-Serine	HMDB0000187	C00065	B(i)
KEGG:C00073	methionine	1	DONE	unique_author_identifier;identity_not_spectrally_reconfirmed	M148T271_NEG	L-Methionine	HMDB0000696	C00073	B(i)
KEGG:C00077	ornithine	1	DONE	unique_author_identifier;identity_not_spectrally_reconfirmed	M133T489_POS	Ornithine	HMDB0000214	C00077	B(i)
KEGG:C00079	phenylalanine	1	DONE	unique_author_identifier;identity_not_spectrally_reconfirmed	M166T249_POS	L-Phenylalanine	HMDB0000159	C00079	B(i)
KEGG:C00082	tyrosine	1	DONE	unique_author_identifier;identity_not_spectrally_reconfirmed	M182T222_POS	L-Tyrosine	HMDB0000158	C00082	B(i)
KEGG:C00095	fructose	1	DONE	unique_author_identifier;identity_not_spectrally_reconfirmed	M359T295_NEG	D-Fructose	HMDB0000660	C00095	B(iii)
KEGG:C00097	cysteine	0	NOT_EVALUABLE	no_exact_author_identifier	NA	NA	NA	NA	NA
