study_id	gene	accession	model	actual_intervention	measurement	replicate_scope	target_gene_itself_perturbed	status	reason	source_url	source_depth
S018	CKB	GSE183694	Mouse PyMT	HIF1 knockout plus oxygen condition	expression array	12 samples;3 per condition	NO	NOT_EVALUABLE	Other gene perturbation; not CKB-targeted	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE183694	repository_design_or_original_method_read;no_new_matrix_analysis
S055	KMO	GSE145661	MDA-MB-231	siKMO vs control	expression array	2 samples total;independent replicated design not available	YES	NEEDS_REVIEW	No replicated inferential comparison from 1 per condition	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE145661	repository_design_or_original_method_read;no_new_matrix_analysis
S084	PFKP	E-MTAB-14538	CAF and mixed SKBR3/MDA-MB-231 CD133 subsets	cell type comparison after coculture	single-cell RNA	3 sample libraries;not 3 independent target-perturbation replicates	NO	NOT_EVALUABLE	No PFKP perturbation contrast in deposited design	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-14538	repository_design_or_original_method_read;no_new_matrix_analysis
S091	PRODH2	PRJNA1196790	tumor cells;exact deposited conditions need checking	author study intervention;run assignment pending	RNA-seq raw reads	4 runs listed;biological repeat design unverified	UNRESOLVED	NEEDS_REVIEW	Raw-read accession only;no verified processed matrix this pass	https://pubmed.ncbi.nlm.nih.gov/40749014/	repository_design_or_original_method_read;no_new_matrix_analysis
S100	SLC6A8	PRJNA708216	MDA-MB-231	hypoxia vs normoxia24h	RNA-seq	replication unresolved	NO	NOT_EVALUABLE	Oxygen perturbation is not SLC6A8-targeted	https://doi.org/10.1186/s13046-021-01933-7	repository_design_or_original_method_read;no_new_matrix_analysis
S104	SOAT1	GSE276731	mouse HC11 inducibleFGFR1	FGFR1 activation by B/B homodimerizer2h	RNA-seq	18 deposited samples;condition details not fully audited	NO	NOT_EVALUABLE	No SOAT1-targeted contrast in stated design	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE276731	repository_design_or_original_method_read;no_new_matrix_analysis
S111	SQLE	GSE71395	six breast cancer cell lines	untreated cell line comparison	expression array	6 samples	NO	NOT_EVALUABLE	Not SQLE knockdown	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71395	repository_design_or_original_method_read;no_new_matrix_analysis
S113	UPP1	GSE292203	mouse embryonic fibroblasts	uracil0/10/30uM24h	RNA-seq	6 per condition per repository;independence not newly verified	NO	NOT_EVALUABLE	Metabolite intervention; useful context, not UPP1-specific intervention	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292203	repository_design_or_original_method_read;no_new_matrix_analysis
S113	UPP1	GSE292202	mouse mammary tissue/tumor	tumor vs mammary gland	RNA-seq	31 tumors8glands	NO	NOT_EVALUABLE	Observational tissue comparison	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292202	repository_design_or_original_method_read;no_new_matrix_analysis
S113	UPP1	GSE292205	mouse mammary derived cell lines	tumor/metastasis/site conditions	RNA-seq	45 samples;design not fully audited	NO	NOT_EVALUABLE	No UPP1-specific perturbation in stated design	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292205	repository_design_or_original_method_read;no_new_matrix_analysis
S093	PYCR1	GSE220931	MDA-MB-231	two shPYCR1 constructs vs control	RNA-seq processed matrix ambiguous units	9 samples;replicate independence unresolved	YES	NEEDS_REVIEW	Existing unit and construct-label blockers retained	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE220931	repository_design_or_original_method_read;no_new_matrix_analysis
S064	MAT2A	GSE32988	multiple sclerosis patient T cells	transplantation timepoints	expression array	48 samples	NO	NOT_EVALUABLE	Accession scope unrelated to BRCA target perturbation;do not count as applicable resource	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE32988	repository_design_or_original_method_read;no_new_matrix_analysis
