cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	relation_id	external_feature_id
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	HMDB:HMDB00721	glycylproline	PEPD	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NOT_EVALUABLE	not_in_18_metabolite_panel	Oslo2	HMDB:HMDB00721|PEPD	NA
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00009	phosphate	PPA1	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NOT_EVALUABLE	not_in_18_metabolite_panel	Oslo2	KEGG:C00009|PPA1	NA
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00009	phosphate	PPA2	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NOT_EVALUABLE	not_in_18_metabolite_panel	Oslo2	KEGG:C00009|PPA2	NA
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00013	pyrophosphate (PPi)	PPA1	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NOT_EVALUABLE	not_in_18_metabolite_panel	Oslo2	KEGG:C00013|PPA1	NA
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00013	pyrophosphate (PPi)	PPA2	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NOT_EVALUABLE	not_in_18_metabolite_panel	Oslo2	KEGG:C00013|PPA2	NA
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00021	S-adenosylhomocysteine (SAH)	AHCY	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NOT_EVALUABLE	not_in_18_metabolite_panel	Oslo2	KEGG:C00021|AHCY	NA
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00021	S-adenosylhomocysteine (SAH)	NNMT	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NOT_EVALUABLE	not_in_18_metabolite_panel	Oslo2	KEGG:C00021|NNMT	NA
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00025	glutamate	ASNS	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NEEDS_REVIEW	metabolite_present_but_MCOS_to_OSL2_crosswalk_missing	Oslo2	KEGG:C00025|ASNS	Glutamate
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00025	glutamate	BCAT1	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NEEDS_REVIEW	metabolite_present_but_MCOS_to_OSL2_crosswalk_missing	Oslo2	KEGG:C00025|BCAT1	Glutamate
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00025	glutamate	BCAT2	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NEEDS_REVIEW	metabolite_present_but_MCOS_to_OSL2_crosswalk_missing	Oslo2	KEGG:C00025|BCAT2	Glutamate
