cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	relation_id	external_feature	statistics_reused	previous_p	previous_q	previous_effect	seed
BRCA	FUSCC_TNBC	06_EXTERNAL	20260921T151000Z_mapping262_external_v1	mapping262_external_v1	author_patient_linked_spearman	HMDB:HMDB00721	glycylproline	PEPD	author_patient_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	FUSCC_PRIMARY262	126.0	NOT_EVALUABLE	no_exact_author_identifier	10.1038/s41422-022-00614-0	HMDB:HMDB00721|PEPD	NA	False	NA	NA	NA	NA
BRCA	FUSCC_TNBC	06_EXTERNAL	20260921T151000Z_mapping262_external_v1	mapping262_external_v1	author_patient_linked_spearman	HMDB:HMDB00736	isobutyrylcarnitine	CRAT	author_patient_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	FUSCC_PRIMARY262	126.0	NOT_EVALUABLE	no_exact_author_identifier	10.1038/s41422-022-00614-0	HMDB:HMDB00736|CRAT	NA	False	NA	NA	NA	NA
BRCA	FUSCC_TNBC	06_EXTERNAL	20260921T151000Z_mapping262_external_v1	mapping262_external_v1	author_patient_linked_spearman	HMDB:HMDB00848	stearoylcarnitine	CPT2	author_patient_identifier	258.0	NA	Spearman_rho	-0.051727529331366	-0.1700401807707852	0.0670508341241925	0.4042	1.0	FUSCC_PRIMARY262	126.0	DONE	unadjusted;author_processed_metabolites;same_aliquot_unverified	10.1038/s41422-022-00614-0	HMDB:HMDB00848|CPT2	M428T136_POS	False	NA	NA	NA	1693249923.0
BRCA	FUSCC_TNBC	06_EXTERNAL	20260921T151000Z_mapping262_external_v1	mapping262_external_v1	author_patient_linked_spearman	HMDB:HMDB05065	oleoylcarnitine	CPT2	author_patient_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	FUSCC_PRIMARY262	126.0	NOT_EVALUABLE	no_exact_author_identifier	10.1038/s41422-022-00614-0	HMDB:HMDB05065|CPT2	NA	False	NA	NA	NA	NA
BRCA	FUSCC_TNBC	06_EXTERNAL	20260921T151000Z_mapping262_external_v1	mapping262_external_v1	author_patient_linked_spearman	HMDB:HMDB10384	1-stearoyl-GPC (18:0)	ENPP2	author_patient_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	FUSCC_PRIMARY262	126.0	NOT_EVALUABLE	multiple_features_unresolved	10.1038/s41422-022-00614-0	HMDB:HMDB10384|ENPP2	NA	False	NA	NA	NA	NA
BRCA	FUSCC_TNBC	06_EXTERNAL	20260921T151000Z_mapping262_external_v1	mapping262_external_v1	author_patient_linked_spearman	HMDB:HMDB10384	1-stearoyl-GPC (18:0)	LPCAT1	author_patient_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	FUSCC_PRIMARY262	126.0	NOT_EVALUABLE	multiple_features_unresolved	10.1038/s41422-022-00614-0	HMDB:HMDB10384|LPCAT1	NA	False	NA	NA	NA	NA
BRCA	FUSCC_TNBC	06_EXTERNAL	20260921T151000Z_mapping262_external_v1	mapping262_external_v1	author_patient_linked_spearman	HMDB:HMDB10384	1-stearoyl-GPC (18:0)	LPCAT2	author_patient_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	FUSCC_PRIMARY262	126.0	NOT_EVALUABLE	multiple_features_unresolved	10.1038/s41422-022-00614-0	HMDB:HMDB10384|LPCAT2	NA	False	NA	NA	NA	NA
BRCA	FUSCC_TNBC	06_EXTERNAL	20260921T151000Z_mapping262_external_v1	mapping262_external_v1	author_patient_linked_spearman	HMDB:HMDB10384	1-stearoyl-GPC (18:0)	LPCAT3	author_patient_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	FUSCC_PRIMARY262	126.0	NOT_EVALUABLE	multiple_features_unresolved	10.1038/s41422-022-00614-0	HMDB:HMDB10384|LPCAT3	NA	False	NA	NA	NA	NA
BRCA	FUSCC_TNBC	06_EXTERNAL	20260921T151000Z_mapping262_external_v1	mapping262_external_v1	author_patient_linked_spearman	HMDB:HMDB10384	1-stearoyl-GPC (18:0)	LYPLA2	author_patient_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	FUSCC_PRIMARY262	126.0	NOT_EVALUABLE	multiple_features_unresolved	10.1038/s41422-022-00614-0	HMDB:HMDB10384|LYPLA2	NA	False	NA	NA	NA	NA
BRCA	FUSCC_TNBC	06_EXTERNAL	20260921T151000Z_mapping262_external_v1	mapping262_external_v1	author_patient_linked_spearman	HMDB:HMDB61702	2-palmitoyl-GPC (16:0)	LPCAT4	author_patient_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	FUSCC_PRIMARY262	126.0	NEEDS_REVIEW	historical_gene_symbol_ambiguity_requires_stable_ID	10.1038/s41422-022-00614-0	HMDB:HMDB61702|LPCAT4	NA	False	NA	NA	NA	NA
BRCA	FUSCC_TNBC	06_EXTERNAL	20260921T151000Z_mapping262_external_v1	mapping262_external_v1	author_patient_linked_spearman	KEGG:C00009	phosphate	PPA1	author_patient_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	FUSCC_PRIMARY262	126.0	NOT_EVALUABLE	no_exact_author_identifier	10.1038/s41422-022-00614-0	KEGG:C00009|PPA1	NA	False	NA	NA	NA	NA
BRCA	FUSCC_TNBC	06_EXTERNAL	20260921T151000Z_mapping262_external_v1	mapping262_external_v1	author_patient_linked_spearman	KEGG:C00009	phosphate	PPA2	author_patient_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	FUSCC_PRIMARY262	126.0	NOT_EVALUABLE	no_exact_author_identifier	10.1038/s41422-022-00614-0	KEGG:C00009|PPA2	NA	False	NA	NA	NA	NA
BRCA	FUSCC_TNBC	06_EXTERNAL	20260921T151000Z_mapping262_external_v1	mapping262_external_v1	author_patient_linked_spearman	KEGG:C00013	pyrophosphate (PPi)	PPA1	author_patient_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	FUSCC_PRIMARY262	126.0	NOT_EVALUABLE	no_exact_author_identifier	10.1038/s41422-022-00614-0	KEGG:C00013|PPA1	NA	False	NA	NA	NA	NA
BRCA	FUSCC_TNBC	06_EXTERNAL	20260921T151000Z_mapping262_external_v1	mapping262_external_v1	author_patient_linked_spearman	KEGG:C00013	pyrophosphate (PPi)	PPA2	author_patient_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	FUSCC_PRIMARY262	126.0	NOT_EVALUABLE	no_exact_author_identifier	10.1038/s41422-022-00614-0	KEGG:C00013|PPA2	NA	False	NA	NA	NA	NA
BRCA	FUSCC_TNBC	06_EXTERNAL	20260921T151000Z_mapping262_external_v1	mapping262_external_v1	author_patient_linked_spearman	KEGG:C00021	S-adenosylhomocysteine (SAH)	AHCY	author_patient_identifier	258.0	NA	Spearman_rho	0.0806299913568887	-0.0376414502645576	0.1962422283415454	0.1994	0.916540350877193	FUSCC_PRIMARY262	126.0	DONE	unadjusted;author_processed_metabolites;same_aliquot_unverified	10.1038/s41422-022-00614-0	KEGG:C00021|AHCY	M385T401_POS	True	0.1994	0.6032950819672132	0.0806299913568887	NA
BRCA	FUSCC_TNBC	06_EXTERNAL	20260921T151000Z_mapping262_external_v1	mapping262_external_v1	author_patient_linked_spearman	KEGG:C00021	S-adenosylhomocysteine (SAH)	NNMT	author_patient_identifier	258.0	NA	Spearman_rho	-0.0941929943358185	-0.2112842811245607	0.0335879483215949	0.133	0.7519957446808511	FUSCC_PRIMARY262	126.0	DONE	unadjusted;author_processed_metabolites;same_aliquot_unverified	10.1038/s41422-022-00614-0	KEGG:C00021|NNMT	M385T401_POS	True	0.133	0.4994170212765957	-0.0941929943358185	NA
BRCA	FUSCC_TNBC	06_EXTERNAL	20260921T151000Z_mapping262_external_v1	mapping262_external_v1	author_patient_linked_spearman	KEGG:C00025	glutamate	ASNS	author_patient_identifier	258.0	NA	Spearman_rho	-0.2358091250499177	-0.3466603966203251	-0.1214539607397501	0.0003	0.0112285714285714	FUSCC_PRIMARY262	126.0	DONE	unadjusted;author_processed_metabolites;same_aliquot_unverified	10.1038/s41422-022-00614-0	KEGG:C00025|ASNS	M146T388_NEG	True	0.0003	0.0074571428571428	-0.2358091250499177	NA
BRCA	FUSCC_TNBC	06_EXTERNAL	20260921T151000Z_mapping262_external_v1	mapping262_external_v1	author_patient_linked_spearman	KEGG:C00025	glutamate	BCAT1	author_patient_identifier	258.0	NA	Spearman_rho	0.1213863138575834	0.0004490204112965	0.2406792991227169	0.0587	0.4660424242424243	FUSCC_PRIMARY262	126.0	DONE	unadjusted;author_processed_metabolites;same_aliquot_unverified	10.1038/s41422-022-00614-0	KEGG:C00025|BCAT1	M146T388_NEG	True	0.0587	0.3095090909090909	0.1213863138575834	NA
BRCA	FUSCC_TNBC	06_EXTERNAL	20260921T151000Z_mapping262_external_v1	mapping262_external_v1	author_patient_linked_spearman	KEGG:C00025	glutamate	BCAT2	author_patient_identifier	258.0	NA	Spearman_rho	-0.0771316839545959	-0.1954351162450419	0.041904323609044	0.2204	0.931367741935484	FUSCC_PRIMARY262	126.0	DONE	unadjusted;author_processed_metabolites;same_aliquot_unverified	10.1038/s41422-022-00614-0	KEGG:C00025|BCAT2	M146T388_NEG	True	0.2204	0.6087238095238096	-0.0771316839545959	NA
BRCA	FUSCC_TNBC	06_EXTERNAL	20260921T151000Z_mapping262_external_v1	mapping262_external_v1	author_patient_linked_spearman	KEGG:C00025	glutamate	FOLH1	author_patient_identifier	258.0	NA	Spearman_rho	-0.1883360020180217	-0.3012361793775123	-0.077554538245229	0.0029	0.0506533333333333	FUSCC_PRIMARY262	126.0	DONE	unadjusted;author_processed_metabolites;same_aliquot_unverified	10.1038/s41422-022-00614-0	KEGG:C00025|FOLH1	M146T388_NEG	True	0.0029	0.0336399999999999	-0.1883360020180217	NA
BRCA	FUSCC_TNBC	06_EXTERNAL	20260921T151000Z_mapping262_external_v1	mapping262_external_v1	author_patient_linked_spearman	KEGG:C00025	glutamate	GCLC	author_patient_identifier	258.0	NA	Spearman_rho	0.0477543743311547	-0.072794499669328	0.17201961564303	0.4501	1.0	FUSCC_PRIMARY262	126.0	DONE	unadjusted;author_processed_metabolites;same_aliquot_unverified	10.1038/s41422-022-00614-0	KEGG:C00025|GCLC	M146T388_NEG	True	0.4501	0.8606307692307693	0.0477543743311547	NA
BRCA	FUSCC_TNBC	06_EXTERNAL	20260921T151000Z_mapping262_external_v1	mapping262_external_v1	author_patient_linked_spearman	KEGG:C00025	glutamate	GLS	author_patient_identifier	258.0	NA	Spearman_rho	-0.1029439149971228	-0.2169987809270529	0.0276839294314912	0.098	0.6583589743589744	FUSCC_PRIMARY262	126.0	DONE	unadjusted;author_processed_metabolites;same_aliquot_unverified	10.1038/s41422-022-00614-0	KEGG:C00025|GLS	M146T388_NEG	True	0.098	0.4372307692307692	-0.1029439149971228	NA
