cohort	gene	n_feature_matches	status	reason
Wu2021	ABHD12	1	DONE	
Wu2021	ABHD6	1	DONE	
Wu2021	ACSL1	1	DONE	
Wu2021	ACSL3	1	DONE	
Wu2021	ACSL4	1	DONE	
Wu2021	ACSL5	1	DONE	
Wu2021	ACSL6	1	DONE	
Wu2021	ACSM1	1	DONE	
Wu2021	ALOX15	1	DONE	
Wu2021	ALOX5	1	DONE	
Wu2021	CYP4F2	1	DONE	
Wu2021	ENPP2	1	DONE	
Wu2021	LPCAT1	1	DONE	
Wu2021	LPCAT2	1	DONE	
Wu2021	LPCAT3	1	DONE	
Wu2021	LPCAT4	1	DONE	
Wu2021	LYPLA1	1	DONE	
Wu2021	LYPLA2	1	DONE	
Wu2021	MGLL	1	DONE	
Wu2021	NT5C2	1	DONE	
Wu2021	PTGS1	1	DONE	
Wu2021	PTGS2	1	DONE	
Wu2021	PUDP	1	DONE	
Wu2021	SDHA	1	DONE	
Wu2021	SDHB	1	DONE	
Wu2021	SDHC	1	DONE	
Wu2021	SDHD	1	DONE	
Wu2021	SLC13A3	1	DONE	
Wu2021	SLC22A2	1	DONE	
Wu2021	SLC22A4	1	DONE	
Wu2021	SLC25A10	1	DONE	
Wu2021	SLC25A20	1	DONE	
Wu2021	SLC29A2	1	DONE	
Wu2021	SLC47A1	1	DONE	
Wu2021	SLC47A2	1	DONE	
Wu2021	SLC5A10	1	DONE	
Wu2021	SUCLA2	1	DONE	
Wu2021	SUCLG1	1	DONE	
Wu2021	SUCLG2	1	DONE	
