gene	Wu_status	Pal_status	Wu_top	Pal_top	Wu_top_frequency	Pal_top_frequency	Wu_paired_source_labels	Pal_paired_source_labels	Wu_paired_positive_fraction	Pal_paired_positive_fraction	same_top_all_categories	same_top_and_both_bootstrap_ge080	n_shared_categories	Wu_top_shared	Pal_top_shared	same_top_shared_categories	interpretation	Wu最高类别	Pal最高类别
ABHD12	DONE	DONE	Myeloid	Myeloid	1.0	1.0	20	30	0.7	0.9	True	True	8	Myeloid	Myeloid	True	descriptive expression location;not exclusive source or function	髓系细胞	髓系细胞
ABHD6	DONE	DONE	Endothelial	Mast_cells	0.712	0.889	24	12	0.5	0.5	False	False	8	Endothelial	Myeloid	False	descriptive expression location;not exclusive source or function	内皮细胞	肥大细胞
ACSL1	DONE	DONE	Myeloid	Myeloid	1.0	1.0	20	30	0.9	0.9666666666666668	True	True	8	Myeloid	Myeloid	True	descriptive expression location;not exclusive source or function	髓系细胞	髓系细胞
ACSL3	DONE	DONE	Malignant_epithelial	Malignant_epithelial	0.722	1.0	8	30	0.625	0.8666666666666667	True	False	8	Malignant_epithelial	Malignant_epithelial	True	descriptive expression location;not exclusive source or function	恶性上皮	恶性上皮
ACSL4	DONE	DONE	Myeloid	Mast_cells	0.789	1.0	23	12	0.6956521739130435	0.8333333333333334	False	False	8	Myeloid	Myeloid	True	descriptive expression location;not exclusive source or function	髓系细胞	肥大细胞
ACSL5	DONE	DONE	Endothelial	Endothelial	1.0	1.0	24	23	0.875	0.6956521739130435	True	True	8	Endothelial	Endothelial	True	descriptive expression location;not exclusive source or function	内皮细胞	内皮细胞
ACSL6	DONE	DONE	T_NK_cells	T_NK_cells	0.998	0.996	14	24	0.7857142857142857	0.7083333333333334	True	True	8	T_NK_cells	T_NK_cells	True	descriptive expression location;not exclusive source or function	T/NK细胞	T/NK细胞
ACSM1	DONE	DONE	Nonmalignant_epithelial	Malignant_epithelial	0.999	0.991	8	12	0.75	0.9166666666666666	False	False	8	Malignant_epithelial	Malignant_epithelial	True	descriptive expression location;not exclusive source or function	非恶性上皮	恶性上皮
ALOX15	DONE	NOT_EVALUABLE	Myeloid	Mast_cells	0.379	NA	20	0	0.55	NA	False	False	8	NA	NA	False	descriptive expression location;not exclusive source or function	髓系细胞	肥大细胞
ALOX5	DONE	DONE	Myeloid	Mast_cells	1.0	1.0	20	12	0.95	0.9166666666666666	False	False	8	Myeloid	Myeloid	True	descriptive expression location;not exclusive source or function	髓系细胞	肥大细胞
