gene	n_shared_celltypes	interpretation	ER+_status	ER+_reason	ER+_top	ER+_second	ER+_effect	ER+_gap	ER+_n	ER+_detection	ER+_top_cn	ER+_shared_top	ER+_shared_status	HER2+_status	HER2+_reason	HER2+_top	HER2+_second	HER2+_effect	HER2+_gap	HER2+_n	HER2+_detection	HER2+_top_cn	HER2+_shared_top	HER2+_shared_status	TNBC_status	TNBC_reason	TNBC_top	TNBC_second	TNBC_effect	TNBC_gap	TNBC_n	TNBC_detection	TNBC_top_cn	TNBC_shared_top	TNBC_shared_status	same_top_all3	same_top_shared3	status	pattern	equal_subtype_top	omit_ER+_top	omit_HER2+_top	omit_TNBC_top	omit_one_equal_subtype_top_changes
AASS	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Fibroblasts	Nonmalignant_epithelial	0.0699294979108231	0.012830401337293906	9	0.0675999318670656	成纤维细胞	Fibroblasts	DONE	DONE		Fibroblasts	Perivascular	0.1113180067245667	0.0330976655964621	5	0.1423986285734295	成纤维细胞	Fibroblasts	DONE	DONE		Nonmalignant_epithelial	Fibroblasts	0.0682809101012656	0.0015920425659083914	4	0.0916432963914042	非恶性上皮	Fibroblasts	DONE	False	True	DONE	SAME_TOP	Fibroblasts	Fibroblasts	Fibroblasts	Fibroblasts	False
ABHD12	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Myeloid	Malignant_epithelial	0.4202161053194692	0.09370797294357736	11	0.3291262555723445	髓系细胞	Myeloid	DONE	DONE		Myeloid	Malignant_epithelial	0.5127965792924132	0.268574673797026	5	0.4981955199998976	髓系细胞	Myeloid	DONE	DONE		Myeloid	Malignant_epithelial	0.4140318117702651	0.12296530248000781	10	0.3381124540516195	髓系细胞	Myeloid	DONE	True	True	DONE	SAME_TOP	Myeloid	Myeloid	Myeloid	Myeloid	False
ABHD6	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Endothelial	Myeloid	0.0384756219733609	0.007412129446138699	11	0.0455090783735905	内皮细胞	Endothelial	DONE	DONE		Myeloid	Endothelial	0.0482891995210712	0.023613857741204797	5	0.0989967143934312	髓系细胞	Myeloid	DONE	DONE		Endothelial	Myeloid	0.0477306962653774	0.012802388660973898	9	0.0511068519083146	内皮细胞	Endothelial	DONE	False	False	DONE	DIFFERENT_TOP_DESCRIPTIVE	Myeloid	Myeloid	Endothelial	Myeloid	True
ACLY	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Malignant_epithelial	Endothelial	0.2028088012114049	0.0480071253038325	9	0.2539400874920072	恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Endothelial	0.3263407205467552	0.17854262935265872	3	0.5096919820308705	恶性上皮	Malignant_epithelial	DONE	DONE		Endothelial	Malignant_epithelial	0.1458646282683899	0.018220466842758687	9	0.1417993245799425	内皮细胞	Endothelial	DONE	False	False	DONE	DIFFERENT_TOP_DESCRIPTIVE	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	False
ACSL1	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Myeloid	Fibroblasts	0.3517211266180596	0.2683557169872146	11	0.2861652675748623	髓系细胞	Myeloid	DONE	DONE		Malignant_epithelial	Myeloid	0.4565526163067654	0.13347499986714562	3	0.5104307303273851	恶性上皮	Malignant_epithelial	DONE	DONE		Myeloid	Fibroblasts	0.3213292170622692	0.2126089670380334	10	0.2629077400034882	髓系细胞	Myeloid	DONE	False	False	DONE	DIFFERENT_TOP_DESCRIPTIVE	Myeloid	Myeloid	Myeloid	Myeloid	False
ACSL3	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.4916647238984546	0.0607606503146616	9	0.4823428444699876	恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Myeloid	0.4679635247787878	0.13141917840449208	3	0.606888569962906	恶性上皮	Malignant_epithelial	DONE	DONE		Nonmalignant_epithelial	Malignant_epithelial	0.3913653840724782	0.0674451348331297	4	0.4236883550329624	非恶性上皮	Malignant_epithelial	DONE	False	True	DONE	SAME_TOP	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	False
ACSL4	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Myeloid	Fibroblasts	0.1503528109699316	0.029832525627840917	11	0.1526735662228064	髓系细胞	Myeloid	DONE	DONE		Myeloid	Endothelial	0.198604407416648	0.0286094817636815	5	0.288416121178091	髓系细胞	Myeloid	DONE	DONE		Fibroblasts	Myeloid	0.1905262023044068	0.02281272920579802	9	0.1862215528158157	成纤维细胞	Fibroblasts	DONE	False	False	DONE	DIFFERENT_TOP_DESCRIPTIVE	Myeloid	Myeloid	Myeloid	Myeloid	False
ACSL5	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Endothelial	Myeloid	0.1684448813405113	0.07408904908972651	11	0.1627757411193096	内皮细胞	Endothelial	DONE	DONE		Endothelial	Myeloid	0.1677369866207716	0.07887554902819481	4	0.1790477891257699	内皮细胞	Endothelial	DONE	DONE		Endothelial	Myeloid	0.1536808733386475	0.06404897750452519	9	0.154378552863172	内皮细胞	Endothelial	DONE	True	True	DONE	SAME_TOP	Endothelial	Endothelial	Endothelial	Endothelial	False
ACSL6	7	descriptive_only;not_subtype_specificity_or_causality	DONE		T_NK_cells	Perivascular	0.0183825107855105	0.0108743916438046	11	0.0116371922575957	T/NK细胞	T_NK_cells	DONE	DONE		T_NK_cells	Malignant_epithelial	0.0250581033265668	0.0222111837230703	5	0.0166870723707197	T/NK细胞	T_NK_cells	DONE	DONE		T_NK_cells	Plasma_cells	0.0256292682574627	0.013699202732118701	10	0.0158331570755409	T/NK细胞	T_NK_cells	DONE	True	True	DONE	SAME_TOP	T_NK_cells	T_NK_cells	T_NK_cells	T_NK_cells	False
ACSM1	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Nonmalignant_epithelial	Malignant_epithelial	0.0397883275838557	0.0094729588082757	4	0.0748001097906781	非恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Myeloid	0.004481611126639	0.0035781641744083003	3	0.0126816093131226	恶性上皮	Malignant_epithelial	DONE	DONE		Nonmalignant_epithelial	B_cells	0.0544580235851051	0.0507819756235157	4	0.0499103670165637	非恶性上皮	NA	NOT_EVALUABLE	False	False	DONE	LOW_DETECTION_OR_COVERAGE	NA	NA	NA	NA	NA
ADA	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Endothelial	T_NK_cells	0.121653516112504	0.04012105023610009	11	0.1260385680536374	内皮细胞	Endothelial	DONE	DONE		Endothelial	Perivascular	0.1412718283821204	0.035492276625411406	4	0.1577810603719883	内皮细胞	Endothelial	DONE	DONE		Perivascular	T_NK_cells	0.1670439885256212	0.005124286362314184	9	0.1462739700776554	血管周细胞	Perivascular	DONE	False	False	DONE	DIFFERENT_TOP_DESCRIPTIVE	Endothelial	Endothelial	Endothelial	Endothelial	False
ADA2	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Myeloid	Plasma_cells	0.4869731475218085	0.3018181687593013	11	0.36874557871448	髓系细胞	Myeloid	DONE	DONE		Myeloid	T_NK_cells	0.6016186082187043	0.5383186675729817	5	0.5398749609789281	髓系细胞	Myeloid	DONE	DONE		Myeloid	Plasma_cells	0.498939924618597	0.3279798758238095	10	0.390386193699137	髓系细胞	Myeloid	DONE	True	True	DONE	SAME_TOP	Myeloid	Myeloid	Myeloid	Myeloid	False
