feature_id	symbol	log_expression_variance
ENSG00000094975	SUCO	0.24098457
ENSG00000111275	ALDH2	0.2410329
ENSG00000125676	THOC2	0.24103539
ENSG00000022840	RNF10	0.24110237
ENSG00000230124	ACBD6	0.24177527
ENSG00000169136	ATF5	0.24182671
ENSG00000115415	STAT1	0.24191186
ENSG00000124171	PARD6B	0.24192533
ENSG00000162729	IGSF8	0.24195081
ENSG00000188725	SMIM15	0.24203119
ENSG00000109920	FNBP4	0.24208122
ENSG00000149196	HIKESHI	0.24219424
ENSG00000213523	SRA1	0.24225675
ENSG00000145354	CISD2	0.24231403
ENSG00000104131	EIF3J	0.2423751
ENSG00000141867	BRD4	0.24241455
ENSG00000186868	MAPT	0.24244362
ENSG00000039068	CDH1	0.24247116
ENSG00000165669	FAM204A	0.24249324
ENSG00000136026	CKAP4	0.24265894
ENSG00000074527	NTN4	0.24266306
ENSG00000054654	SYNE2	0.24266687
ENSG00000052802	MSMO1	0.24272054
ENSG00000165140	FBP1	0.24272773
ENSG00000102225	CDK16	0.24282715
ENSG00000108106	UBE2S	0.24287125
ENSG00000023445	BIRC3	0.24296936
ENSG00000029725	RABEP1	0.24301969
ENSG00000137710	RDX	0.24305385
ENSG00000070010	UFD1	0.24319322
ENSG00000066583	ISOC1	0.24322876
ENSG00000111707	SUDS3	0.24332872
ENSG00000105379	ETFB	0.24334979
ENSG00000134215	VAV3	0.24354753
ENSG00000197989	SNHG12	0.24363306
ENSG00000157557	ETS2	0.24373803
ENSG00000135930	EIF4E2	0.24394995
ENSG00000122033	MTIF3	0.2441322
ENSG00000114383	TUSC2	0.24423167
ENSG00000138674	SEC31A	0.24448901
ENSG00000111642	CHD4	0.24451599
ENSG00000126254	RBM42	0.24455506
ENSG00000171604	CXXC5	0.24460661
ENSG00000168675	LDLRAD4	0.24463451
ENSG00000166136	NDUFB8	0.24463478
ENSG00000141959	PFKL	0.24466106
ENSG00000137106	GRHPR	0.24469356
ENSG00000168461	RAB31	0.24476029
ENSG00000161249	DMKN	0.2448721
ENSG00000224032	EPB41L4A-AS1	0.24489447
ENSG00000101460	MAP1LC3A	0.24498741
ENSG00000172922	RNASEH2C	0.24498947
ENSG00000082996	RNF13	0.24510218
ENSG00000196704	AMZ2	0.2451262
ENSG00000141562	NARF	0.24522838
ENSG00000105281	SLC1A5	0.24576823
ENSG00000086548	CEACAM6	0.24581155
ENSG00000188603	CLN3	0.24588794
ENSG00000143553	SNAPIN	0.24596635
ENSG00000171130	ATP6V0E2	0.24600254
ENSG00000174574	AKIRIN1	0.24610016
ENSG00000166848	TERF2IP	0.2461451
ENSG00000073584	SMARCE1	0.246195
ENSG00000123992	DNPEP	0.2462456
ENSG00000106348	IMPDH1	0.24645776
ENSG00000255112	CHMP1B	0.24680227
ENSG00000197965	MPZL1	0.24685805
ENSG00000180398	MCFD2	0.24687217
ENSG00000121410	A1BG	0.24701533
ENSG00000150667	FSIP1	0.24717583
ENSG00000117054	ACADM	0.24730183
ENSG00000060762	MPC1	0.2473133
ENSG00000137038	DMAC1	0.24738045
ENSG00000222041	CYTOR	0.24744356
ENSG00000182481	KPNA2	0.24748014
ENSG00000114416	FXR1	0.24759454
ENSG00000152332	UHMK1	0.24772835
ENSG00000121579	NAA50	0.24784048
ENSG00000162604	TM2D1	0.24789096
ENSG00000106049	HIBADH	0.24794872
ENSG00000157500	APPL1	0.24795727
ENSG00000064042	LIMCH1	0.24805081
ENSG00000069399	BCL3	0.2480928
ENSG00000151893	CACUL1	0.24819481
ENSG00000058262	SEC61A1	0.24824347
ENSG00000107874	CUEDC2	0.24835572
ENSG00000106460	TMEM106B	0.24854937
ENSG00000127314	RAP1B	0.24867833
ENSG00000119185	ITGB1BP1	0.24870093
ENSG00000134258	VTCN1	0.24882904
ENSG00000025796	SEC63	0.24884449
ENSG00000046651	OFD1	0.24902558
ENSG00000164611	PTTG1	0.2490384
ENSG00000187257	RSBN1L	0.24909443
ENSG00000107937	GTPBP4	0.24926439
ENSG00000126602	TRAP1	0.24936202
ENSG00000175701	MTLN	0.24937095
ENSG00000118939	UCHL3	0.24942386
ENSG00000079332	SAR1A	0.24942544
ENSG00000132661	NXT1	0.24950662
ENSG00000156256	USP16	0.24960461
ENSG00000183971	NPW	0.2498934
ENSG00000183779	ZNF703	0.24991806
ENSG00000161671	EMC10	0.24993119
ENSG00000144560	VGLL4	0.2502359
ENSG00000100519	PSMC6	0.25033677
ENSG00000183207	RUVBL2	0.25037476
ENSG00000173465	ZNRD2	0.2503883
ENSG00000171428	NAT1	0.25040567
ENSG00000108179	PPIF	0.25048733
ENSG00000067704	IARS2	0.2504883
ENSG00000131748	STARD3	0.25050497
ENSG00000198561	CTNND1	0.25060827
ENSG00000181610	MRPS23	0.25063396
ENSG00000214194	SMIM30	0.250765
ENSG00000171148	TADA3	0.2510112
ENSG00000130222	GADD45G	0.25113273
ENSG00000128989	ARPP19	0.25124356
ENSG00000077312	SNRPA	0.25135073
ENSG00000175348	TMEM9B	0.25141716
ENSG00000147804	SLC39A4	0.25155267
ENSG00000060971	ACAA1	0.25155473
ENSG00000183828	NUDT14	0.25157666
ENSG00000130733	YIPF2	0.25163788
ENSG00000144848	ATG3	0.25166896
ENSG00000134186	PRPF38B	0.25183308
ENSG00000214087	ARL16	0.25200325
ENSG00000122873	CISD1	0.2522269
ENSG00000104325	DECR1	0.25236362
ENSG00000087884	AAMDC	0.25247893
ENSG00000158850	B4GALT3	0.25259238
ENSG00000108055	SMC3	0.25271726
ENSG00000130005	GAMT	0.2527249
ENSG00000175197	DDIT3	0.25279275
ENSG00000161677	JOSD2	0.25279343
ENSG00000115866	DARS1	0.25298446
ENSG00000112473	SLC39A7	0.25313216
ENSG00000175356	SCUBE2	0.25345007
ENSG00000159216	RUNX1	0.25350633
ENSG00000125753	VASP	0.25355557
ENSG00000132254	ARFIP2	0.25356436
ENSG00000114439	BBX	0.2535814
ENSG00000123159	GIPC1	0.25366035
ENSG00000134153	EMC7	0.25367692
ENSG00000064651	SLC12A2	0.25383967
ENSG00000152700	SAR1B	0.25398192
ENSG00000167772	ANGPTL4	0.25400284
ENSG00000179222	MAGED1	0.25402248
ENSG00000078618	NRDC	0.25408623
ENSG00000204619	PPP1R11	0.25424027
ENSG00000163956	LRPAP1	0.25429112
ENSG00000102103	PQBP1	0.254309
ENSG00000067182	TNFRSF1A	0.25432768
ENSG00000131876	SNRPA1	0.25460604
ENSG00000160710	ADAR	0.25465345
ENSG00000102401	ARMCX3	0.254757
ENSG00000114978	MOB1A	0.25489607
ENSG00000198015	MRPL42	0.25503063
ENSG00000066044	ELAVL1	0.25523275
ENSG00000008324	SS18L2	0.25524715
ENSG00000013441	CLK1	0.255289
ENSG00000196542	SPTSSB	0.25548324
ENSG00000117724	CENPF	0.2555118
ENSG00000211598	IGKV4-1	0.25558206
ENSG00000116670	MAD2L2	0.25576887
ENSG00000129103	SUMF2	0.25600925
ENSG00000134809	TIMM10	0.25606906
ENSG00000134330	IAH1	0.2561105
ENSG00000158042	MRPL17	0.25614434
ENSG00000164081	TEX264	0.2563002
ENSG00000101150	TPD52L2	0.256306
ENSG00000101654	RNMT	0.2566048
ENSG00000204568	MRPS18B	0.25663686
ENSG00000125863	MKKS	0.25669414
ENSG00000175203	DCTN2	0.25678158
ENSG00000113810	SMC4	0.2568139
ENSG00000130348	QRSL1	0.25683686
ENSG00000162783	IER5	0.25689927
ENSG00000251141	MRPS30-DT	0.25692502
ENSG00000100568	VTI1B	0.25697827
ENSG00000186577	SMIM29	0.2570317
ENSG00000105821	DNAJC2	0.25714773
ENSG00000092203	TOX4	0.25719106
ENSG00000069345	DNAJA2	0.25738406
ENSG00000173163	COMMD1	0.25738755
ENSG00000168938	PPIC	0.25740236
ENSG00000173846	PLK3	0.25759214
ENSG00000159231	CBR3	0.2578804
ENSG00000104886	PLEKHJ1	0.25790197
ENSG00000112699	GMDS	0.2579655
ENSG00000116747	RO60	0.25805354
ENSG00000214160	ALG3	0.25806734
ENSG00000167920	KRT10-AS1	0.25810742
ENSG00000111897	SERINC1	0.25831556
ENSG00000203697	CAPN8	0.25867563
ENSG00000204435	CSNK2B	0.25875482
ENSG00000165516	KLHDC2	0.258767
ENSG00000151247	EIF4E	0.25877368
ENSG00000138760	SCARB2	0.25882486
ENSG00000124466	LYPD3	0.25915095
