cohort	partition	gene	n_malignant	n_nonmalignant	n_paired
Wu2021	ALL	ABHD12	20	10	8
Wu2021	ALL	CEPT1	20	10	8
Wu2021	ALL	CHKA	20	10	8
Wu2021	ALL	CHKB	20	10	8
Wu2021	ALL	CHPT1	20	10	8
Wu2021	ALL	ENPP2	20	10	8
Wu2021	ALL	ETNK1	20	10	8
Wu2021	ALL	ETNK2	20	10	8
Wu2021	ALL	GDPD5	20	10	8
Wu2021	ALL	GPCPD1	20	10	8
Wu2021	ALL	LPCAT1	20	10	8
Wu2021	ALL	LPCAT2	20	10	8
Wu2021	ALL	LPCAT3	20	10	8
Wu2021	ALL	LPCAT4	20	10	8
Wu2021	ALL	LYPLA1	20	10	8
Wu2021	ALL	LYPLA2	20	10	8
Wu2021	ALL	PCYT1A	20	10	8
Wu2021	ALL	PCYT1B	20	10	8
Wu2021	ALL	PCYT2	20	10	8
Wu2021	ALL	SLC22A2	20	10	8
Wu2021	AUTHOR_NAIVE	ABHD12	16	9	7
Wu2021	AUTHOR_NAIVE	CEPT1	16	9	7
Wu2021	AUTHOR_NAIVE	CHKA	16	9	7
Wu2021	AUTHOR_NAIVE	CHKB	16	9	7
Wu2021	AUTHOR_NAIVE	CHPT1	16	9	7
Wu2021	AUTHOR_NAIVE	ENPP2	16	9	7
Wu2021	AUTHOR_NAIVE	ETNK1	16	9	7
Wu2021	AUTHOR_NAIVE	ETNK2	16	9	7
Wu2021	AUTHOR_NAIVE	GDPD5	16	9	7
Wu2021	AUTHOR_NAIVE	GPCPD1	16	9	7
Wu2021	AUTHOR_NAIVE	LPCAT1	16	9	7
Wu2021	AUTHOR_NAIVE	LPCAT2	16	9	7
Wu2021	AUTHOR_NAIVE	LPCAT3	16	9	7
Wu2021	AUTHOR_NAIVE	LPCAT4	16	9	7
Wu2021	AUTHOR_NAIVE	LYPLA1	16	9	7
Wu2021	AUTHOR_NAIVE	LYPLA2	16	9	7
Wu2021	AUTHOR_NAIVE	PCYT1A	16	9	7
Wu2021	AUTHOR_NAIVE	PCYT1B	16	9	7
Wu2021	AUTHOR_NAIVE	PCYT2	16	9	7
Wu2021	AUTHOR_NAIVE	SLC22A2	16	9	7
Pal2021_reprocessed	ALL	ABHD12	33	0	0
Pal2021_reprocessed	ALL	CEPT1	33	0	0
Pal2021_reprocessed	ALL	CHKA	33	0	0
Pal2021_reprocessed	ALL	CHKB	33	0	0
Pal2021_reprocessed	ALL	CHPT1	33	0	0
Pal2021_reprocessed	ALL	ENPP2	33	0	0
Pal2021_reprocessed	ALL	ETNK1	33	0	0
Pal2021_reprocessed	ALL	ETNK2	33	0	0
Pal2021_reprocessed	ALL	GDPD5	33	0	0
Pal2021_reprocessed	ALL	GPCPD1	33	0	0
Pal2021_reprocessed	ALL	LPCAT1	33	0	0
Pal2021_reprocessed	ALL	LPCAT2	33	0	0
Pal2021_reprocessed	ALL	LPCAT3	33	0	0
Pal2021_reprocessed	ALL	LPCAT4	33	0	0
Pal2021_reprocessed	ALL	LYPLA1	33	0	0
Pal2021_reprocessed	ALL	LYPLA2	33	0	0
Pal2021_reprocessed	ALL	PCYT1A	33	0	0
Pal2021_reprocessed	ALL	PCYT1B	33	0	0
Pal2021_reprocessed	ALL	PCYT2	33	0	0
Pal2021_reprocessed	ALL	SLC22A2	33	0	0
