module	GO	description	overlap	module_annotated_genes	term_universe_genes	universe_genes	p	genes	q_all_module_terms
pink	GO:0009206	purine ribonucleoside triphosphate biosynthetic process	15	199	86	5553	2.81508575906613e-07	NDUFC2;ATP5MJ;ATP5PO;NDUFA5;NDUFB1;NME1;NDUFA11;NDUFA13;SDHD;NDUFB8;NDUFS4;NDUFA9;COX11;NDUFA7;ATP5F1EP2	7.38808788139703e-05
pink	GO:0015986	proton motive force-driven ATP synthesis	13	199	64	5553	2.85483574117484e-07	NDUFC2;ATP5MJ;ATP5PO;NDUFA5;NDUFB1;NDUFA11;NDUFA13;SDHD;NDUFB8;NDUFS4;NDUFA9;NDUFA7;ATP5F1EP2	7.46157726722208e-05
pink	GO:0009145	purine nucleoside triphosphate biosynthetic process	15	199	87	5553	3.29542696961143e-07	NDUFC2;ATP5MJ;ATP5PO;NDUFA5;NDUFB1;NME1;NDUFA11;NDUFA13;SDHD;NDUFB8;NDUFS4;NDUFA9;COX11;NDUFA7;ATP5F1EP2	8.57783433171971e-05
pink	GO:0009201	ribonucleoside triphosphate biosynthetic process	15	199	88	5553	3.8486178478343e-07	NDUFC2;ATP5MJ;ATP5PO;NDUFA5;NDUFB1;NME1;NDUFA11;NDUFA13;SDHD;NDUFB8;NDUFS4;NDUFA9;COX11;NDUFA7;ATP5F1EP2	9.89608974703045e-05
pink	GO:0006754	ATP biosynthetic process	14	199	78	5553	4.94357249495012e-07	NDUFC2;ATP5MJ;ATP5PO;NDUFA5;NDUFB1;NDUFA11;NDUFA13;SDHD;NDUFB8;NDUFS4;NDUFA9;COX11;NDUFA7;ATP5F1EP2	0.000121226322895472
pink	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	12	199	57	5553	5.5180601885617e-07	NDUFC2;ATP5PO;NDUFA5;NDUFB1;NDUFA11;NDUFA13;SDHD;NDUFB8;NDUFS4;NDUFA9;NDUFA7;ATP5F1EP2	0.000131753022066139
pink	GO:0009142	nucleoside triphosphate biosynthetic process	15	199	95	5553	1.07232208487485e-06	NDUFC2;ATP5MJ;ATP5PO;NDUFA5;NDUFB1;NME1;NDUFA11;NDUFA13;SDHD;NDUFB8;NDUFS4;NDUFA9;COX11;NDUFA7;ATP5F1EP2	0.000234845931912316
pink	GO:0009260	ribonucleotide biosynthetic process	18	199	135	5553	1.16080086548538e-06	NDUFC2;MPC2;ATP5MJ;ATP5PO;NDUFA5;NDUFB1;NME1;NDUFA11;NDUFA13;SDHD;NDUFB8;NDUFS4;ACAT1;NDUFA9;RFK;COX11;NDUFA7;ATP5F1EP2	0.000253349775150197
pink	GO:0072522	purine-containing compound biosynthetic process	19	199	151	5553	1.42440788842865e-06	NDUFC2;MPC2;ATP5MJ;ATP5PO;NDUFA5;NDUFB1;NME1;NDUFA11;NDUFA13;SDHD;NDUFB8;NDUFS4;ACAT1;NDUFA9;COX11;QPRT;NDUFA7;ATP5F1EP2;MTAP	0.000302565196688564
pink	GO:0046390	ribose phosphate biosynthetic process	18	199	141	5553	2.21300357123477e-06	NDUFC2;MPC2;ATP5MJ;ATP5PO;NDUFA5;NDUFB1;NME1;NDUFA11;NDUFA13;SDHD;NDUFB8;NDUFS4;ACAT1;NDUFA9;RFK;COX11;NDUFA7;ATP5F1EP2	0.000444785705114756
pink	GO:0009152	purine ribonucleotide biosynthetic process	17	199	128	5553	2.46765061684899e-06	NDUFC2;MPC2;ATP5MJ;ATP5PO;NDUFA5;NDUFB1;NME1;NDUFA11;NDUFA13;SDHD;NDUFB8;NDUFS4;ACAT1;NDUFA9;COX11;NDUFA7;ATP5F1EP2	0.000485218037081465
pink	GO:0006164	purine nucleotide biosynthetic process	18	199	148	5553	4.4834659079471e-06	NDUFC2;MPC2;ATP5MJ;ATP5PO;NDUFA5;NDUFB1;NME1;NDUFA11;NDUFA13;SDHD;NDUFB8;NDUFS4;ACAT1;NDUFA9;COX11;QPRT;NDUFA7;ATP5F1EP2	0.00082537358476967
pink	GO:0009165	nucleotide biosynthetic process	19	199	166	5553	5.98224636777281e-06	NDUFC2;MPC2;ATP5MJ;ATP5PO;NDUFA5;NDUFB1;NME1;NDUFA11;NDUFA13;SDHD;NDUFB8;NDUFS4;ACAT1;NDUFA9;RFK;COX11;QPRT;NDUFA7;ATP5F1EP2	0.00105247764905813
pink	GO:0046034	ATP metabolic process	14	199	96	5553	6.53439327693647e-06	NDUFC2;ATP5MJ;ATP5PO;NDUFA5;NDUFB1;NDUFA11;NDUFA13;SDHD;NDUFB8;NDUFS4;NDUFA9;COX11;NDUFA7;ATP5F1EP2	0.00112558139149075
pink	GO:1901293	nucleoside phosphate biosynthetic process	19	199	167	5553	6.53954423510653e-06	NDUFC2;MPC2;ATP5MJ;ATP5PO;NDUFA5;NDUFB1;NME1;NDUFA11;NDUFA13;SDHD;NDUFB8;NDUFS4;ACAT1;NDUFA9;RFK;COX11;QPRT;NDUFA7;ATP5F1EP2	0.00112558139149075
pink	GO:0009205	purine ribonucleoside triphosphate metabolic process	15	199	110	5553	7.10046393774026e-06	NDUFC2;ATP5MJ;ATP5PO;NDUFA5;NDUFB1;NME1;NDUFA11;NDUFA13;SDHD;NDUFB8;NDUFS4;NDUFA9;COX11;NDUFA7;ATP5F1EP2	0.00120902055124332
pink	GO:0009199	ribonucleoside triphosphate metabolic process	15	199	112	5553	8.89726328129692e-06	NDUFC2;ATP5MJ;ATP5PO;NDUFA5;NDUFB1;NME1;NDUFA11;NDUFA13;SDHD;NDUFB8;NDUFS4;NDUFA9;COX11;NDUFA7;ATP5F1EP2	0.00144522502690979
pink	GO:0009144	purine nucleoside triphosphate metabolic process	15	199	114	5553	1.10879470865749e-05	NDUFC2;ATP5MJ;ATP5PO;NDUFA5;NDUFB1;NME1;NDUFA11;NDUFA13;SDHD;NDUFB8;NDUFS4;NDUFA9;COX11;NDUFA7;ATP5F1EP2	0.0017157533884341
pink	GO:0009141	nucleoside triphosphate metabolic process	15	199	121	5553	2.30125483022834e-05	NDUFC2;ATP5MJ;ATP5PO;NDUFA5;NDUFB1;NME1;NDUFA11;NDUFA13;SDHD;NDUFB8;NDUFS4;NDUFA9;COX11;NDUFA7;ATP5F1EP2	0.00321224828082335
pink	GO:0006119	oxidative phosphorylation	14	199	109	5553	2.90113958858875e-05	NDUFC2;UQCRB;ATP5PO;NDUFA5;NDUFB1;NDUFA11;NDUFA13;SDHD;NDUFB8;NDUFS4;NDUFA9;NDUFA7;ATP5F1EP2;SDHAF2	0.00393711917842839
pink	GO:0033108	mitochondrial respiratory chain complex assembly	12	199	82	5553	2.93698766175971e-05	NDUFC2;NDUFA5;NDUFB1;NDUFA11;NDUFA13;NDUFB8;NDUFS4;TMEM126B;COA8;COX19;NDUFA9;SDHAF2	0.00396821048762011
pink	GO:0009060	aerobic respiration	16	199	140	5553	3.42244159090685e-05	NDUFC2;UQCRB;ATP5PO;NDUFA5;NDUFB1;NDUFA11;NDUFA13;SDHD;NDUFB8;NDUFS4;BLOC1S1;NDUFA9;ARL2;NDUFA7;ATP5F1EP2;SDHAF2	0.00450033354703263
pink	GO:0010257	NADH dehydrogenase complex assembly	9	199	48	5553	4.05323052753829e-05	NDUFC2;NDUFA5;NDUFB1;NDUFA11;NDUFA13;NDUFB8;NDUFS4;TMEM126B;NDUFA9	0.00517965346609682
pink	GO:0032981	mitochondrial respiratory chain complex I assembly	9	199	48	5553	4.05323052753829e-05	NDUFC2;NDUFA5;NDUFB1;NDUFA11;NDUFA13;NDUFB8;NDUFS4;TMEM126B;NDUFA9	0.00517965346609682
pink	GO:0090407	organophosphate biosynthetic process	24	199	276	5553	4.1210995268452e-05	NDUFC2;MPC2;ATP5MJ;ATP5PO;NDUFA5;NDUFB1;NME1;NDUFA11;NDUFA13;CHPT1;SDHD;NDUFB8;NDUFS4;GGPS1;DPM1;ACAT1;CRLS1;NDUFA9;RFK;COX11;QPRT;NDUFA7;ATP5F1EP2;SOCS2	0.00525580869777093
pink	GO:0015980	energy derivation by oxidation of organic compounds	19	199	191	5553	4.49761244724e-05	NDUFC2;UQCRB;ATP5PO;NDUFA5;NDUFB1;NDUFA11;NDUFA13;PPP1CB;ACADM;SDHD;NDUFB8;NDUFS4;ETFB;BLOC1S1;NDUFA9;ARL2;NDUFA7;ATP5F1EP2;SDHAF2	0.00565716360603073
pink	GO:0045333	cellular respiration	17	199	161	5553	5.41628130681761e-05	NDUFC2;UQCRB;ATP5PO;NDUFA5;NDUFB1;NDUFA11;NDUFA13;SDHD;NDUFB8;NDUFS4;ETFB;BLOC1S1;NDUFA9;ARL2;NDUFA7;ATP5F1EP2;SDHAF2	0.00659001644365134
pink	GO:0019646	aerobic electron transport chain	10	199	67	5553	0.000116089855208542	NDUFC2;UQCRB;NDUFA5;NDUFB1;SDHD;NDUFB8;NDUFS4;NDUFA9;NDUFA7;SDHAF2	0.0122680513876954
pink	GO:0050000	chromosome localization	9	199	55	5553	0.000123636103599784	CHMP2A;CHMP5;ACTR2;MAPRE1;CHMP3;CHMP4A;BOD1;PMF1;TERF1	0.012872747888245
pink	GO:0009259	ribonucleotide metabolic process	18	199	193	5553	0.000165737016391823	NDUFC2;MPC2;ATP5MJ;ATP5PO;NDUFA5;NDUFB1;NME1;NDUFA11;NDUFA13;SDHD;NDUFB8;NDUFS4;ACAT1;NDUFA9;RFK;COX11;NDUFA7;ATP5F1EP2	0.0159974002812728
pink	GO:0022904	respiratory electron transport chain	11	199	87	5553	0.000244217572433854	NDUFC2;UQCRB;NDUFA5;NDUFB1;SDHD;NDUFB8;NDUFS4;ETFB;NDUFA9;NDUFA7;SDHAF2	0.0219388210189801
pink	GO:0019693	ribose phosphate metabolic process	18	199	200	5553	0.000259572459738272	NDUFC2;MPC2;ATP5MJ;ATP5PO;NDUFA5;NDUFB1;NME1;NDUFA11;NDUFA13;SDHD;NDUFB8;NDUFS4;ACAT1;NDUFA9;RFK;COX11;NDUFA7;ATP5F1EP2	0.0228916554167982
pink	GO:0006091	generation of precursor metabolites and energy	22	199	274	5553	0.00028157896185373	NDUFC2;UQCRB;ATP5PO;NDUFA5;NDUFB1;NDUFA11;NDUFA13;PPP1CB;ACADM;SDHD;NDUFB8;NDUFS4;ETFB;BLOC1S1;ACAT1;COA8;NDUFA9;ARL2;COX11;NDUFA7;ATP5F1EP2;SDHAF2	0.0242984280234431
pink	GO:0009150	purine ribonucleotide metabolic process	17	199	184	5553	0.000282954737714276	NDUFC2;MPC2;ATP5MJ;ATP5PO;NDUFA5;NDUFB1;NME1;NDUFA11;NDUFA13;SDHD;NDUFB8;NDUFS4;ACAT1;NDUFA9;COX11;NDUFA7;ATP5F1EP2	0.0243409685985672
pink	GO:0051469	vesicle fusion with vacuole	4	199	10	5553	0.000283604937066062	CHMP2A;CHMP5;CHMP3;CHMP4A	0.0243409685985672
pink	GO:0061763	multivesicular body-lysosome fusion	4	199	10	5553	0.000283604937066062	CHMP2A;CHMP5;CHMP3;CHMP4A	0.0243409685985672
pink	GO:0097576	vacuole fusion	4	199	10	5553	0.000283604937066062	CHMP2A;CHMP5;CHMP3;CHMP4A	0.0243409685985672
pink	GO:1901137	carbohydrate derivative biosynthetic process	22	199	276	5553	0.000312109523013481	NDUFC2;MPC2;ATP5MJ;ATP5PO;NDUFA5;NDUFB1;NME1;NDUFA11;NDUFA13;SDHD;NDUFB8;NDUFS4;DPM1;ACAT1;NDUFA9;RFK;COX11;NDUFA7;HEXA;ATP5F1EP2;CHST12;MTAP	0.0262205026794077
pink	GO:0046903	secretion	22	199	277	5553	0.000328439580418137	MPC2;CHMP2A;TPD52;NME1;RAB1A;IER3IP1;SDHD;ARF6;AIMP1;SNF8;VAMP2;CPE;RAP1A;CKLF;LLGL2;STXBP2;SYNGR1;TARDBP;SNX10;SOCS2;RAB27A;STXBP3	0.0273392590190258
pink	GO:0042773	ATP synthesis coupled electron transport	10	199	76	5553	0.000337439653157108	NDUFC2;UQCRB;NDUFA5;NDUFB1;SDHD;NDUFB8;NDUFS4;NDUFA9;NDUFA7;SDHAF2	0.0278692682071706
pink	GO:0042775	mitochondrial ATP synthesis coupled electron transport	10	199	76	5553	0.000337439653157108	NDUFC2;UQCRB;NDUFA5;NDUFB1;SDHD;NDUFB8;NDUFS4;NDUFA9;NDUFA7;SDHAF2	0.0278692682071706
pink	GO:0006120	mitochondrial electron transport, NADH to ubiquinone	7	199	39	5553	0.00039586930625554	NDUFC2;NDUFA5;NDUFB1;NDUFB8;NDUFS4;NDUFA9;NDUFA7	0.0314673984717169
pink	GO:0051303	establishment of chromosome localization	8	199	51	5553	0.000399448375424978	CHMP2A;CHMP5;MAPRE1;CHMP3;CHMP4A;BOD1;PMF1;TERF1	0.031712206524989
pink	GO:0097212	lysosomal membrane organization	4	199	11	5553	0.000433216808133248	CHMP2A;CHMP5;CHMP3;CHMP4A	0.0337910944079632
pink	GO:0036257	multivesicular body organization	6	199	29	5553	0.000467844046454075	CHMP2A;CHMP5;SNF8;CHMP3;CHMP4A;RAB27A	0.0356579132391938
pink	GO:1903530	regulation of secretion by cell	14	199	144	5553	0.000589178849280717	MPC2;CHMP2A;IER3IP1;SDHD;ARF6;AIMP1;SNF8;VAMP2;RAP1A;LLGL2;STXBP2;TARDBP;RAB27A;STXBP3	0.0426995178878518
pink	GO:0046761	viral budding from plasma membrane	4	199	12	5553	0.000631694826460539	CHMP2A;CHMP5;CHMP3;CHMP4A	0.0450788784473727
pink	GO:0072521	purine-containing compound metabolic process	19	199	234	5553	0.000647935083805176	NDUFC2;MPC2;ATP5MJ;ATP5PO;NDUFA5;NDUFB1;NME1;NDUFA11;NDUFA13;SDHD;NDUFB8;NDUFS4;ACAT1;NDUFA9;COX11;QPRT;NDUFA7;ATP5F1EP2;MTAP	0.0457240589362604
pink	GO:0055086	nucleobase-containing small molecule metabolic process	22	199	295	5553	0.000781522058797283	NDUFC2;MPC2;ATP5MJ;ATP5PO;NDUFA5;NDUFB1;NME1;NDUFA11;NDUFA13;SDHD;NDUFB8;NDUFS4;DPM1;ACAT1;NDUFA9;RFK;SMUG1;COX11;QPRT;NDUFA7;ATP5F1EP2;MTAP	0.0527481710928088
pink	GO:0007080	mitotic metaphase chromosome alignment	6	199	32	5553	0.000815970695118539	CHMP2A;CHMP5;MAPRE1;CHMP3;CHMP4A;BOD1	0.0545515060930196
pink	GO:0022900	electron transport chain	12	199	116	5553	0.000836808389068896	NDUFC2;UQCRB;NDUFA5;NDUFB1;SDHD;NDUFB8;NDUFS4;ETFB;NDUFA9;COX11;NDUFA7;SDHAF2	0.0552333941519342
pink	GO:0046753	non-lytic viral release	4	199	13	5553	0.000887019012462507	CHMP2A;CHMP5;CHMP3;CHMP4A	0.057427473516329
pink	GO:0009117	nucleotide metabolic process	20	199	262	5553	0.00102134910773173	NDUFC2;MPC2;ATP5MJ;ATP5PO;NDUFA5;NDUFB1;NME1;NDUFA11;NDUFA13;SDHD;NDUFB8;NDUFS4;ACAT1;NDUFA9;RFK;SMUG1;COX11;QPRT;NDUFA7;ATP5F1EP2	0.0641621409794836
pink	GO:0060627	regulation of vesicle-mediated transport	15	199	170	5553	0.00104708660459975	CHMP2A;LYPLA1;ARF6;SNF8;CHMP3;VAMP2;RAP1A;SCFD1;STXBP2;LYSET;MAP2K1;MAPK3;UBQLN2;RAB27A;STXBP3	0.0655843830683817
pink	GO:0051310	metaphase chromosome alignment	7	199	46	5553	0.00111406653614519	CHMP2A;CHMP5;MAPRE1;CHMP3;CHMP4A;BOD1;PMF1	0.0689181192750102
pink	GO:0048645	animal organ formation	4	199	14	5553	0.00120725729882256	HES1;FOLR1;MAP2K1;MAPK3	0.0732333577486328
pink	GO:0061952	midbody abscission	4	199	14	5553	0.00120725729882256	CHMP2A;CHMP5;CHMP3;CHMP4A	0.0732333577486328
pink	GO:0006753	nucleoside phosphate metabolic process	20	199	266	5553	0.00123192397840352	NDUFC2;MPC2;ATP5MJ;ATP5PO;NDUFA5;NDUFB1;NME1;NDUFA11;NDUFA13;SDHD;NDUFB8;NDUFS4;ACAT1;NDUFA9;RFK;SMUG1;COX11;QPRT;NDUFA7;ATP5F1EP2	0.074374482620118
