gene	eligible	detection	donors_detected	variance	network_selected
DDX11L17	False	0.0029520295202952037	10	0.0009451391	False
WASH9P	True	0.20206642066421523	20	0.10473612	True
ENSG00000228463	True	0.09918819188191817	20	0.030884247	False
ENSG00000237094	False	0.007306273062730615	19	0.0029248265	False
ENSG00000230021	False	0.005461254612546121	14	0.002610518	False
LINC01409	True	0.07099630996310043	20	0.027137833	False
LINC00115	False	0.043690036900369426	20	0.019779375	False
FAM41C	False	0.031070110701106903	20	0.012939751	False
LINC02593	False	0.003394833948339485	9	0.0018163833	False
SAMD11	False	0.020295202952029457	16	0.011876319	False
NOC2L	True	0.4380073800738416	20	0.2333356	True
KLHL17	False	0.0252398523985239	19	0.0086353095	False
PLEKHN1	True	0.0654612546125472	20	0.024875332	False
PERM1	False	0.030332103321033105	18	0.014304596	False
ENSG00000272512	False	0.01926199261992614	18	0.00562684	False
HES4	True	0.4073062730627673	20	0.3165744	True
ISG15	True	0.38738007380077194	20	0.6750487	True
AGRN	True	0.22391143911440273	20	0.11561296	True
ENSG00000273443	False	0.00014760147601476016	2	0.00010722897	False
RNF223	True	0.08036900369003722	18	0.054397013	False
C1orf159	True	0.11690036900368848	20	0.04535896	False
ENSG00000272141	False	0.027158671586715775	19	0.010968388	False
TTLL10	False	0.007970479704797034	14	0.00225659	False
TNFRSF18	True	0.12036900369003517	19	0.08118626	True
TNFRSF4	False	0.010405904059040566	19	0.009980222	False
SDF4	True	0.5697416974169806	20	0.3455254	True
B3GALT6	True	0.06066420664206757	20	0.022909904	False
C1QTNF12	False	0.007749077490774894	16	0.0028953014	False
ENSG00000260179	False	0.0002952029520295203	4	0.00010883077	False
UBE2J2	True	0.4036162361623978	20	0.19160718	True
SCNN1D	False	0.010701107011070085	19	0.005543703	False
ACAP3	True	0.11129151291512789	20	0.045424365	False
PUSL1	True	0.22583025830259487	20	0.097635314	True
INTS11	True	0.4050922509225456	20	0.19974157	True
CPTP	True	0.2601476014760313	20	0.124671444	True
TAS1R3	False	0.014907749077490732	14	0.0054557836	False
DVL1	True	0.11837638376383601	20	0.04659209	False
MXRA8	True	0.05402214022140308	20	0.045325432	False
AURKAIP1	True	0.7808118081179577	20	0.5134311	True
CCNL2	True	0.3335793357933845	20	0.16276492	True
MRPL20	True	0.7276014760146694	20	0.4779396	True
MRPL20-DT	False	0.008634686346863452	17	0.002284689	False
ANKRD65	False	0.04243542435424391	16	0.017905662	False
ANKRD65-AS1	False	0.001107011070110701	6	0.0007841659	False
LINC01770	False	0.024723247232472243	18	0.014799601	False
VWA1	True	0.1859040590405968	19	0.12049126	True
ATAD3C	False	0.03446494464944652	20	0.017460123	False
ATAD3B	True	0.16863468634686749	20	0.0769669	True
ATAD3A	True	0.19889298892989746	19	0.07986122	True
TMEM240	False	0.0036900369003690058	12	0.0006057983	False
SSU72	True	0.6712177121770657	20	0.4819491	True
SSU72-AS1	False	0.037933579335793534	18	0.013345179	False
FNDC10	False	0.039114391143911666	18	0.015833449	False
ENSG00000272106	True	0.07409594095941023	20	0.028259993	False
MIB2	True	0.149815498154983	20	0.050327487	False
MMP23B	False	0.007675276752767514	18	0.003198554	False
CDK11B	True	0.21394833948340505	20	0.07784971	True
ENSG00000272004	False	0.010036900369003668	17	0.0032390163	False
SLC35E2B	True	0.197859778597794	20	0.09136011	True
ENSG00000269737	False	0.004723247232472323	13	0.0013095613	False
CDK11A	True	0.16841328413284531	20	0.059610125	False
SLC35E2A	False	0.028044280442804333	17	0.010424178	False
NADK	True	0.20597785977860691	20	0.08014729	True
GNB1	True	0.3795571955719886	20	0.19007388	True
GNB1-DT	False	0.006789667896678957	15	0.0019029359	False
CALML6	False	0.001697416974169741	10	0.0003585256	False
TMEM52	True	0.059630996309964206	20	0.023260165	False
GABRD	False	0.014833948339483352	12	0.005830761	False
PRKCZ	True	0.1504059040590421	20	0.06394487	False
PRKCZ-AS1	False	0.001180811808118081	9	0.00034045486	False
FAAP20	True	0.6239114391143642	20	0.4014041	True
SKI	True	0.1346125461254606	20	0.047399048	False
MORN1	True	0.08162361623616261	20	0.033212744	False
RER1	True	0.6864206642065767	20	0.45513391	True
PEX10	True	0.26405904059042296	20	0.12169977	True
PLCH2	False	0.018228782287822824	17	0.014147778	False
PANK4	False	0.044354243542435876	19	0.014656678	False
