gene	module	kME	rank_in_module
SCGB2A2	brown	0.685049545651038	19
MALAT1	turquoise	0.634556329698613	139
MGP	grey	NA	NA
MUCL1	cyan	0.678289412309316	8
S100A6	grey	NA	NA
CD24	green	0.446300819014827	239
VIM	salmon	0.725365408400356	6
AGR2	turquoise	0.81438451817495	8
FOS	yellow	0.775547116357596	12
S100A9	greenyellow	0.43234923128882	135
SCGB1B2P	pink	0.309646802480532	212
KRT19	turquoise	0.427423735587592	469
S100A8	greenyellow	0.5494470521895	74
PIP	brown	0.487680099594899	209
AZGP1	brown	0.558041913351433	109
HSPB1	magenta	0.479881188789045	110
TMSB4X	grey	NA	NA
NEAT1	yellow	0.642424749831054	61
ZFP36	yellow	0.824672164524817	1
CALML5	cyan	0.460230348497463	40
IFI27	midnightblue	0.788068643468977	5
RPS20	pink	0.687874943391328	46
JUN	yellow	0.784311500826792	8
HSPA1A	yellow	0.559509258522905	125
XBP1	turquoise	0.679427581574139	72
RPL13A	purple	0.480460544899435	110
BTG2	turquoise	0.796724364602192	11
LDHB	salmon	0.662859540469055	17
S100A10	grey	NA	NA
CST3	turquoise	0.713774806988202	56
HLA-B	midnightblue	0.831834277724458	1
SCGB1D2	brown	0.671803396509587	28
LGALS1	grey	NA	NA
CLDN4	yellow	0.631773531976286	66
AGR3	turquoise	0.873428421597825	3
SAT1	brown	0.336366336256977	430
RPS17	purple	0.527711019996632	94
KRT7	green	0.438898881975646	248
ELF3	yellow	0.751647955095341	17
JUNB	yellow	0.700573324016679	33
S100A14	yellow	0.323665946955763	300
MT2A	tan	0.369820136792191	119
B2M	midnightblue	0.823805149248606	2
RPS2	purple	0.521350611529018	95
DUSP1	yellow	0.603086298744565	83
COX6C	magenta	0.724657000188009	13
GAPDH	purple	0.483980926930683	108
RPL27A	purple	0.659993664765129	64
GSTP1	green	0.673817542839342	33
YBX1	green	0.857941452362107	1
HLA-A	grey	NA	NA
IFITM3	turquoise	0.459452582733458	404
HSPA1B	yellow	0.546699962165722	135
SLC39A6	turquoise	0.824646995953119	7
RHOB	yellow	0.778607348556428	11
CD74	midnightblue	0.736626334477509	9
DNAJB1	yellow	0.677517280063179	45
RPL26	purple	0.597545714271008	78
MDK	blue	0.513197936830008	239
ATF3	yellow	0.703220095425952	31
TM4SF1	grey	NA	NA
IER2	yellow	0.72179308133692	28
MIF	tan	0.671230769069374	18
DBI	grey	NA	NA
ADIRF	turquoise	0.583634681685326	212
HLA-C	midnightblue	0.770321289866006	7
TACSTD2	grey	NA	NA
CLDN3	brown	0.420239203452755	329
KLF6	yellow	0.810373973159734	6
RPL7	pink	0.653588241615576	57
ANKRD30A	turquoise	0.710793589349922	57
IER3	turquoise	0.626129072184049	151
S100A11	grey	NA	NA
ZFP36L1	yellow	0.82259368150189	3
SLPI	pink	0.499613645444074	124
KRT18	turquoise	0.460068463973742	401
MGST1	grey	NA	NA
ANXA2	green	0.492983395585809	188
S100P	cyan	0.602521881715087	14
STMN1	green	0.743944395788571	10
FXYD3	pink	0.507014450474886	120
S100A16	grey	NA	NA
TUBB	green	0.808421043138335	3
GLUL	magenta	0.700996947314289	17
TUBA1B	green	0.688274835902621	29
TMSB10	green	0.490817895464788	190
H2AJ	turquoise	0.667338264662123	92
CRABP2	turquoise	0.396708842196229	540
HSP90AA1	yellow	0.457313744413984	222
BST2	yellow	0.374460582620692	288
CD9	salmon	-0.186810813752265	129
S100A7	lightcyan	0.220224989133612	30
LGALS3	grey	NA	NA
LMNA	yellow	0.756690125768573	14
RPS29	purple	0.538473131945564	91
PKM	greenyellow	0.534988229840588	77
SPINT2	black	0.597092559244553	47
RPL23	purple	0.544916420006564	88
FDCSP	salmon	0.578224388582859	46
ENO1	green	0.778845906099984	7
MARCKSL1	green	0.443550931844994	244
MIEN1	cyan	0.597204797308142	17
CCND1	turquoise	0.475730409701624	370
FOSB	yellow	0.823145918950337	2
FTL	grey	NA	NA
WFDC2	brown	0.461096256757392	250
TFF3	turquoise	0.656497242953873	107
TSPAN13	turquoise	0.723016808104405	51
ACTB	tan	0.742409984106804	9
RPL4	purple	0.744070809634352	46
CLU	magenta	0.582401445470532	57
CSTB	green	0.484126074218123	194
S100A4	cyan	0.130104510908057	55
FABP5	salmon	0.613149650081876	27
FTH1	grey	NA	NA
RPS10	pink	0.619616068989239	69
RPL38	purple	0.550669813854905	85
TIMP1	turquoise	0.472191876691951	381
KRT8	brown	0.324836317574833	437
NFKBIA	yellow	0.594466984223674	93
RPS11	purple	0.68002026826318	62
RPS16	purple	0.815084610513664	23
UBC	yellow	0.366744099027178	289
SH3BGRL	turquoise	0.670836240923696	84
HSPA8	tan	0.523103517965519	58
TPI1	green	0.779335147982219	6
RPL22L1	purple	0.328566072923559	157
RPL21	pink	0.530343722166099	106
RPL23A	purple	0.758935527099554	43
RPSA	purple	0.845115786862919	17
RPS12	purple	0.755103172851089	44
GADD45B	yellow	0.625570164328399	71
RPL37A	purple	0.796161014488266	31
RPL31	purple	0.65421848525053	67
PPDPF	tan	0.661241527893514	20
KRT17	lightcyan	0.376088787304643	25
EEF2	purple	0.780475070984833	37
HINT1	grey	NA	NA
NUPR1	grey	NA	NA
GPX1	grey	NA	NA
IFI6	midnightblue	0.572050014937864	25
PRSS23	turquoise	0.514669285149506	291
S100A13	yellow	0.478287146035575	204
MT1X	salmon	0.560285868773002	51
RPS6	purple	0.863681463680437	11
MAGED2	turquoise	0.762299299235972	25
TAGLN2	tan	0.408688955495167	99
GATA3	turquoise	0.8381491313542	6
IFITM1	turquoise	0.499764145790425	310
TSTD1	magenta	0.400106522561309	154
