gene	module	kME	rank_in_module	Pal_kME
SCGB2A2	brown	0.685049545651038	19	0.178180546542075
MALAT1	turquoise	0.634556329698613	139	0.560519048571546
MGP	grey	NA	NA	NA
MUCL1	cyan	0.678289412309316	8	0.598737217903901
S100A6	grey	NA	NA	NA
CD24	green	0.446300819014827	239	0.32811014809456
VIM	salmon	0.725365408400356	6	0.809237182023625
AGR2	turquoise	0.81438451817495	8	0.574812116630186
FOS	yellow	0.775547116357596	12	0.798397686306565
S100A9	greenyellow	0.43234923128882	135	0.278105636298869
SCGB1B2P	pink	0.309646802480532	212	0.0448308505566701
KRT19	turquoise	0.427423735587592	469	0.18358200731243
S100A8	greenyellow	0.5494470521895	74	0.224767964954085
PIP	brown	0.487680099594899	209	0.254509001465427
AZGP1	brown	0.558041913351433	109	0.33061622877835
HSPB1	magenta	0.479881188789045	110	0.658131848444017
TMSB4X	grey	NA	NA	NA
NEAT1	yellow	0.642424749831054	61	0.508736630911082
ZFP36	yellow	0.824672164524817	1	0.677780948183188
CALML5	cyan	0.460230348497463	40	0.347351045781395
IFI27	midnightblue	0.788068643468977	5	0.512779973297975
RPS20	pink	0.687874943391328	46	-0.0545896939568923
JUN	yellow	0.784311500826792	8	0.818252085529405
HSPA1A	yellow	0.559509258522905	125	0.309577128327429
XBP1	turquoise	0.679427581574139	72	0.852053490866844
RPL13A	purple	0.480460544899435	110	0.817437893989893
BTG2	turquoise	0.796724364602192	11	0.478761816913234
LDHB	salmon	0.662859540469055	17	0.710045046272567
S100A10	grey	NA	NA	NA
CST3	turquoise	0.713774806988202	56	0.355909488062861
HLA-B	midnightblue	0.831834277724458	1	0.786540430872512
SCGB1D2	brown	0.671803396509587	28	0.11788914042348
LGALS1	grey	NA	NA	NA
CLDN4	yellow	0.631773531976286	66	0.617122377902652
AGR3	turquoise	0.873428421597825	3	0.70511623734803
SAT1	brown	0.336366336256977	430	0.0116733955061458
RPS17	purple	0.527711019996632	94	0.537186995052504
KRT7	green	0.438898881975646	248	0.379883975214084
ELF3	yellow	0.751647955095341	17	0.603890169570378
JUNB	yellow	0.700573324016679	33	0.641244029956107
S100A14	yellow	0.323665946955763	300	0.0202659106196497
MT2A	tan	0.369820136792191	119	0.0637824918031081
B2M	midnightblue	0.823805149248606	2	0.780003532122611
RPS2	purple	0.521350611529018	95	0.716606289027614
DUSP1	yellow	0.603086298744565	83	0.717604775581032
COX6C	magenta	0.724657000188009	13	0.679936952194592
GAPDH	purple	0.483980926930683	108	0.100912488481097
RPL27A	purple	0.659993664765129	64	0.673272305485782
GSTP1	green	0.673817542839342	33	0.531027451678601
YBX1	green	0.857941452362107	1	0.625348278898723
HLA-A	grey	NA	NA	NA
IFITM3	turquoise	0.459452582733458	404	0.203804840699254
HSPA1B	yellow	0.546699962165722	135	0.319635265429528
SLC39A6	turquoise	0.824646995953119	7	0.689331039722117
RHOB	yellow	0.778607348556428	11	0.477029981442498
CD74	midnightblue	0.736626334477509	9	0.711050292079663
DNAJB1	yellow	0.677517280063179	45	0.55155719001766
RPL26	purple	0.597545714271008	78	0.715822890947653
MDK	blue	0.513197936830008	239	0.386639210257816
ATF3	yellow	0.703220095425952	31	0.784169716146816
TM4SF1	grey	NA	NA	NA
IER2	yellow	0.72179308133692	28	0.705190025950425
MIF	tan	0.671230769069374	18	-0.2100288465336
DBI	grey	NA	NA	NA
ADIRF	turquoise	0.583634681685326	212	0.545569508420054
HLA-C	midnightblue	0.770321289866006	7	0.76860568607344
TACSTD2	grey	NA	NA	NA
CLDN3	brown	0.420239203452755	329	0.187314771101367
KLF6	yellow	0.810373973159734	6	0.735185329159053
RPL7	pink	0.653588241615576	57	0.0812097386844295
ANKRD30A	turquoise	0.710793589349922	57	0.658193900535813
IER3	turquoise	0.626129072184049	151	0.459331914671681
S100A11	grey	NA	NA	NA
ZFP36L1	yellow	0.82259368150189	3	0.548257291347724
SLPI	pink	0.499613645444074	124	0.206659963898271
KRT18	turquoise	0.460068463973742	401	0.470908011042379
MGST1	grey	NA	NA	NA
ANXA2	green	0.492983395585809	188	0.501322812816338
S100P	cyan	0.602521881715087	14	0.110866798992769
STMN1	green	0.743944395788571	10	0.689615001285595
FXYD3	pink	0.507014450474886	120	0.144092701024262
S100A16	grey	NA	NA	NA
TUBB	green	0.808421043138335	3	0.75400733324355
GLUL	magenta	0.700996947314289	17	0.486214621601122
TUBA1B	green	0.688274835902621	29	0.621436068697766
TMSB10	green	0.490817895464788	190	0.290641983092063
H2AJ	turquoise	0.667338264662123	92	0.585611395722154
CRABP2	turquoise	0.396708842196229	540	0.120435624858677
HSP90AA1	yellow	0.457313744413984	222	0.206879877526577
BST2	yellow	0.374460582620692	288	-0.118367308982417
CD9	salmon	-0.186810813752265	129	-0.0355211581518188
S100A7	lightcyan	0.220224989133612	30	0.0249609305818843
LGALS3	grey	NA	NA	NA
LMNA	yellow	0.756690125768573	14	0.645049790888699
RPS29	purple	0.538473131945564	91	0.449544098639017
PKM	greenyellow	0.534988229840588	77	0.390672405294424
SPINT2	black	0.597092559244553	47	0.682628061450351
RPL23	purple	0.544916420006564	88	0.395312693352005
FDCSP	salmon	0.578224388582859	46	0.444882765767342
ENO1	green	0.778845906099984	7	0.725726546033046
MARCKSL1	green	0.443550931844994	244	0.386922442084895
MIEN1	cyan	0.597204797308142	17	0.522683972875984
CCND1	turquoise	0.475730409701624	370	0.349674659577589
FOSB	yellow	0.823145918950337	2	0.790046897488069
FTL	grey	NA	NA	NA
WFDC2	brown	0.461096256757392	250	-0.000429972636180448
TFF3	turquoise	0.656497242953873	107	0.621333208702796
TSPAN13	turquoise	0.723016808104405	51	0.615732216209282
ACTB	tan	0.742409984106804	9	0.561544464221339
RPL4	purple	0.744070809634352	46	0.683673004038419
CLU	magenta	0.582401445470532	57	0.00250310711712136
CSTB	green	0.484126074218123	194	0.434078049142995
S100A4	cyan	0.130104510908057	55	-0.0323190644059097
FABP5	salmon	0.613149650081876	27	0.539331660460666
FTH1	grey	NA	NA	NA
RPS10	pink	0.619616068989239	69	-0.159117922655678
RPL38	purple	0.550669813854905	85	0.353349365282693
TIMP1	turquoise	0.472191876691951	381	0.422734096687193
KRT8	brown	0.324836317574833	437	0.219682482833282
NFKBIA	yellow	0.594466984223674	93	0.514498001635111
RPS11	purple	0.68002026826318	62	0.571296402422758
RPS16	purple	0.815084610513664	23	0.727703308199009
UBC	yellow	0.366744099027178	289	0.487426530997666
SH3BGRL	turquoise	0.670836240923696	84	0.445385399517586
HSPA8	tan	0.523103517965519	58	0.466477192019076
TPI1	green	0.779335147982219	6	0.6117054829401
RPL22L1	purple	0.328566072923559	157	0.177970751067379
RPL21	pink	0.530343722166099	106	-0.268054343556507
RPL23A	purple	0.758935527099554	43	0.485228724124881
RPSA	purple	0.845115786862919	17	0.638658603199804
RPS12	purple	0.755103172851089	44	0.713810792688162
GADD45B	yellow	0.625570164328399	71	0.625906784843117
RPL37A	purple	0.796161014488266	31	0.629952577892993
RPL31	purple	0.65421848525053	67	0.55998273997916
PPDPF	tan	0.661241527893514	20	-0.360354890424941
KRT17	lightcyan	0.376088787304643	25	0.762410728146597
EEF2	purple	0.780475070984833	37	0.587972820565797
HINT1	grey	NA	NA	NA
NUPR1	grey	NA	NA	NA
GPX1	grey	NA	NA	NA
IFI6	midnightblue	0.572050014937864	25	0.484962964874703
PRSS23	turquoise	0.514669285149506	291	0.522707145428639
S100A13	yellow	0.478287146035575	204	-0.102466664312707
MT1X	salmon	0.560285868773002	51	0.540105162439635
RPS6	purple	0.863681463680437	11	0.83651993486452
MAGED2	turquoise	0.762299299235972	25	0.590287495789231
TAGLN2	tan	0.408688955495167	99	0.490311475888208
GATA3	turquoise	0.8381491313542	6	0.785219881434858
IFITM1	turquoise	0.499764145790425	310	0.195736617904225
TSTD1	magenta	0.400106522561309	154	0.587853158217628
ZFP36L2	yellow	0.596899455260613	87	0.494476179214248
HMGA1	green	0.752754492272379	8	0.553319624188102
GABARAP	tan	0.818876905418903	3	0.0483607945502009
CYB5A	magenta	0.663643105459897	28	0.495111001573431
DDIT4	blue	0.469907718482478	302	0.470669008122034
IGFBP5	yellow	0.381229831633852	284	0.102356871720208
LY6E	grey	NA	NA	NA
SELENOP	cyan	0.676748171789036	9	0.398034392522613
H2AZ1	greenyellow	0.614839272478164	43	0.687803238147123
RPLP2	purple	0.877915089109885	7	0.728287534420984
PPP1R15A	yellow	0.815535168929105	4	0.775097169117895
RPL18A	purple	0.808508506581502	28	0.70727610335692
RARRES1	salmon	0.749499369449738	4	0.632572610307047
CRIP2	brown	0.446202342923404	282	0.271017953253789
PFDN2	salmon	0.576416997053858	47	0.262878311993834
TXN	red	0.728731569155807	23	0.82259001334464
CALR	grey	NA	NA	NA
PERP	grey	NA	NA	NA
UQCRQ	magenta	0.735640836882132	11	0.689650053188085
