module	moduleSize	medianRank.pres	medianRankDensity.pres	medianRankConnectivity.pres	propVarExplained.pres	meanSignAwareKME.pres	meanSignAwareCorDat.pres	meanAdj.pres	meanMAR.pres	bicor.kIM	bicor.kME	bicor.kMEall	bicor.bicor	bicor.MAR
black	227	15	13.5	18	0.188637936999939	0.353861388625001	0.144606906546823	0.00686149506111987	0.0366386316458471	0.079237150292008	0.057886913434644	0.137187146397232	0.123801755856392	0.109283136896286
blue	603	10	8.5	14	0.265889322484823	0.442663145068557	0.197203009689808	0.0123157338288519	0.0499183319459271	0.217867414667798	0.194578040063587	0.57178985927371	0.143075224563291	0.210197022045495
brown	454	8	8.5	8	0.260459354503266	0.456552404414904	0.209661405430019	0.0118683935545781	0.0457360539898947	0.386365638449686	0.339463281875556	0.640048107794788	0.21215331329468	0.40304124812086
cyan	56	11	11	10	0.202320017890192	0.382372397938917	0.181216033708982	0.0105689848995436	0.0648085056363342	0.529871701073871	0.325073155023443	0.386530799011406	0.195971651755174	0.638737036312567
gold	1000	16	18	11	0.144870750088404	0.106378009468419	0.0671219481454257	0.00538169423148483	0.0389786886669034	0.264633644323087	0.320537346515829	0.357824061985398	0.277049696078788	0.220520189498163
green	292	6	6	9	0.310949987288689	0.509734223043771	0.259423893866233	0.0173049260799939	0.0572574344067849	0.374792239020663	0.341394962564355	0.650181216609039	0.225354111420899	0.364342749736312
greenyellow	154	3	4	2	0.386859848825617	0.576650875450267	0.328180922237496	0.0320377787268574	0.090131520443608	0.598527501006429	0.491092579508848	0.703374355943506	0.41111835870816	0.574489041934617
grey	1000	17	17	11	0.147122273699058	0.211819706395128	0.0575421720472375	0.00527353040599728	0.0336582310773155	0.302367106047399	0.351366407110524	0.404969612977975	0.174976979100897	0.198580256876432
grey60	3	1	1	1	0.610228275507309	0.762655781844623	0.441697778875809	0.0634390084072071	0.117176325594714	0.825400965462663	0.0439796358030013	0.669751443295174	0.703527586927084	0.945438878064482
lightcyan	32	4	2	9	0.399112203304701	0.565541706765148	0.371037297966529	0.0594407617352428	0.194384580169668	0.33354330915073	0.326891381976091	0.551384320517279	0.338537119066311	0.266746242028563
magenta	172	15	13.5	17	0.188492736368841	0.349288061280426	0.149206844076327	0.00844870268977246	0.0463886277850426	0.18035029731379	0.0408220116063786	0.523818272483384	0.133833184875527	0.115523339589834
midnightblue	44	3	3	5	0.398935479187622	0.598682397495626	0.350535689562201	0.0394342839128638	0.126118887381215	0.434621671416212	0.408016844801718	0.366450013145407	0.405325211265829	0.391226636523628
pink	212	18	17	19	0.146626571965768	0.250918381638459	0.0936843892610942	0.00508457528739788	0.0369618095325203	0.011988603670447	0.127145856577702	0.171018198825004	0.10964493231676	0.0036044553647038
purple	170	11	13.5	5	0.206295088235566	0.304956775661851	0.116408026536	0.00872031249008097	0.0533223630711936	0.482530725203963	0.478080465247617	0.147103260767284	0.312246075739029	0.430650968450726
red	246	12	13.5	12	0.189880193996369	0.364384412807046	0.139005316955345	0.00832285222887247	0.0509119195248218	0.279102023429206	0.248047392469349	0.444333329213054	0.186488055193897	0.189990428148581
salmon	132	5	5	4	0.35484827013655	0.539975304631385	0.298475777413266	0.0267779381337323	0.0753052994094171	0.380966663430856	0.436236425848872	0.629276015163253	0.389461838052384	0.289820379982315
tan	145	17	18	15	0.154133732919902	0.00338510535323505	0.0753856600960986	0.00489704908079753	0.035322080254184	0.119253885589561	0.238392845262972	0.120220513250681	0.143816742246634	0.144164969270087
turquoise	742	9	10	4	0.223061125536353	0.419763123619565	0.202055251414053	0.0110156880503003	0.0475788406850914	0.505284999924967	0.457354778597037	0.736665694779906	0.254858866563994	0.451246455907972
yellow	301	7	7	15	0.269816536535362	0.468949544540724	0.219737241286722	0.014152877835905	0.0533312246059343	0.196301628508401	0.139239195120423	0.449858351809677	0.172064458272544	0.187697672200488
