cohort	gene	mean	sd	weight
Wu2021	LPCAT1	0.11703731929192474	0.057278467999109524	0.041666666666666664
Wu2021	LPCAT2	0.06813813665909561	0.11478048020936332	0.041666666666666664
Wu2021	LPCAT3	0.3084071706732001	0.12658592486788242	0.041666666666666664
Wu2021	MBOAT2	0.34743827057992605	0.20996653361106282	0.041666666666666664
Wu2021	PLA2G10	0.066886963735788	0.09855298646103951	0.041666666666666664
Wu2021	PLA2G12A	0.40382036203524263	0.1615293445004584	0.041666666666666664
Wu2021	PLA2G1B	0.0030223371348897096	0.004636895882410732	0.041666666666666664
Wu2021	PLA2G2A	0.07423666222958555	0.09675424356137459	0.041666666666666664
Wu2021	PLA2G2D	0.001271877694223385	0.0022533996089468987	0.041666666666666664
Wu2021	PLA2G2F	0.00117545903538653	0.002770430538961378	0.041666666666666664
Wu2021	PLA2G3	0.00557419800376011	0.01287802121687355	0.041666666666666664
Wu2021	PLA2G4A	0.025525036760746016	0.05441357803169591	0.041666666666666664
Wu2021	PLA2G4C	0.043156942776748655	0.03691195240184616	0.041666666666666664
Wu2021	PLA2G4D	0.001072675047257505	0.0018167046952638764	0.041666666666666664
Wu2021	PLA2G4E	0.001804005454441995	0.0043199325894153805	0.041666666666666664
Wu2021	PLA2G4F	0.009386641280942045	0.009767498134232108	0.041666666666666664
Wu2021	PLA2G5	0.0020393830817791803	0.003893843992206331	0.041666666666666664
Wu2021	PLA2G6	0.039080346485161635	0.021585426063031113	0.041666666666666664
Wu2021	PLA2R1	0.05133975836790609	0.04089198159573347	0.041666666666666664
Wu2021	PLAAT3	0.7404040407482854	0.5726259414393116	0.041666666666666664
Wu2021	PLB1	0.005928962934798646	0.010809340281278803	0.041666666666666664
Wu2021	PLBD1	0.18772203404962778	0.15517051568184706	0.041666666666666664
Wu2021	PNPLA8	0.3466741047906029	0.10846218615856769	0.041666666666666664
Wu2021	TMEM86B	0.012094582993528299	0.013394172818414424	0.041666666666666664
Pal2021_reprocessed	LPCAT1	0.15607362772096484	0.15366607685995212	0.041666666666666664
