gene_set	cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	test_id	score_gene_n	permutation_extreme	permutation_n	permutation_mc_se	bootstrap_valid	bootstrap_n	seed	nominal_P_lt005
Reactome_PC_remodelling_24	BRCA	Wu2021	06_EXTERNAL	20260925T130907Z_lypla1_PCscore_v1	lypla1_PCscore_v1	LYPLA1	NA	NA	LYPLA1	publisher_donor_label	20	20	Spearman_rho	0.2451127819548872	-0.2764527948486787	0.6952236542835482	0.29509	0.3372457142857143	PCscore_BH8	8	DONE	same_fixed_transcript_program;not_metabolic_activity_or_causality	frozen_Reactome_R-HSA-1482788	Wu2021|LYPLA1	24	29508	99999	0.0014422617373417	4000	4000	1367094880	False
Reactome_PC_remodelling_24	BRCA	Wu2021	06_EXTERNAL	20260925T130907Z_lypla1_PCscore_v1	lypla1_PCscore_v1	LYPLA2	NA	NA	LYPLA2	publisher_donor_label	20	20	Spearman_rho	0.2030075187969924	-0.3368918489175558	0.6747361692930947	0.39113	0.39113	PCscore_BH8	8	DONE	same_fixed_transcript_program;not_metabolic_activity_or_causality	frozen_Reactome_R-HSA-1482788	Wu2021|LYPLA2	24	39112	99999	0.0015432022650968	4000	4000	1931909484	False
Reactome_PC_remodelling_24	BRCA	Pal2021_reprocessed	06_EXTERNAL	20260925T130907Z_lypla1_PCscore_v1	lypla1_PCscore_v1	LYPLA1	NA	NA	LYPLA1	publisher_donor_label	33	33	Spearman_rho	0.3850267379679144	0.0226599206783282	0.6623833768037704	0.02779	0.13808	PCscore_BH8	8	DONE	same_fixed_transcript_program;not_metabolic_activity_or_causality	frozen_Reactome_R-HSA-1482788	Pal2021_reprocessed|LYPLA1	24	2778	99999	0.0005197856856436	4000	4000	706778505	True
Reactome_PC_remodelling_24	BRCA	Pal2021_reprocessed	06_EXTERNAL	20260925T130907Z_lypla1_PCscore_v1	lypla1_PCscore_v1	LYPLA2	NA	NA	LYPLA2	publisher_donor_label	33	33	Spearman_rho	0.2466577540106951	-0.1566984949157581	0.5771270347373721	0.16782	0.22376	PCscore_BH8	8	DONE	same_fixed_transcript_program;not_metabolic_activity_or_causality	frozen_Reactome_R-HSA-1482788	Pal2021_reprocessed|LYPLA2	24	16781	99999	0.0011817632910189	4000	4000	88801750	False
Reactome_PC_remodelling_24	BRCA	CAMP	03_PATIENT	20260925T130907Z_lypla1_PCscore_v1	lypla1_PCscore_v1	processed	KEGG:C04102	1-palmitoyl-GPC (16:0)	NA	audited_author_tumor_case	60	60	Spearman_rho	-0.2744858360600958	-0.4989423069925727	-0.0079557261808774	0.03452	0.13808	PCscore_BH8	8	DONE	same_fixed_transcript_program;not_metabolic_activity_or_causality	frozen_Reactome_R-HSA-1482788	CAMP|processed	24	3451	99999	0.0005773072803975	4000	4000	2897906432	True
Reactome_PC_remodelling_24	BRCA	CAMP	03_PATIENT	20260925T130907Z_lypla1_PCscore_v1	lypla1_PCscore_v1	author_available	KEGG:C04102	1-palmitoyl-GPC (16:0)	NA	audited_author_tumor_case	55	55	Spearman_rho	-0.2387445887445887	-0.4768907372486392	0.029868237222898	0.07993	0.15986	PCscore_BH8	8	DONE	same_fixed_transcript_program;not_metabolic_activity_or_causality	frozen_Reactome_R-HSA-1482788	CAMP|author_available	24	7992	99999	0.0008575616310213	4000	4000	1965153508	False
Reactome_PC_remodelling_24	BRCA	CAMP	04_ROBUSTNESS	20260925T130907Z_lypla1_PCscore_v1	lypla1_PCscore_v1	processed_ER_PC12	KEGG:C04102	1-palmitoyl-GPC (16:0)	NA	audited_author_tumor_case	60	60	partial_rank_correlation	-0.2497334042352145	-0.4811790336872206	0.0176285023026737	0.06184	0.15986	PCscore_BH8	8	DONE	same_fixed_transcript_program;not_metabolic_activity_or_causality	frozen_Reactome_R-HSA-1482788	CAMP|processed_ER_PC12	24	6183	99999	0.0007616811301325	4000	4000	2316595489	False
Reactome_PC_remodelling_24	BRCA	CAMP	04_ROBUSTNESS	20260925T130907Z_lypla1_PCscore_v1	lypla1_PCscore_v1	author_available_ER_PC12	KEGG:C04102	1-palmitoyl-GPC (16:0)	NA	audited_author_tumor_case	55	55	partial_rank_correlation	-0.2009821572042686	-0.4400975763034056	0.079201701567397	0.15197	0.22376	PCscore_BH8	8	DONE	same_fixed_transcript_program;not_metabolic_activity_or_causality	frozen_Reactome_R-HSA-1482788	CAMP|author_available_ER_PC12	24	15196	99999	0.0011352317785368	4000	4000	2013321531	False
KEGG_glycerophospholipid_92	BRCA	Wu2021	06_EXTERNAL	20260925T133935Z_lypla1_KEGGscore_v1	lypla1_KEGGscore_v1	LYPLA1	NA	NA	LYPLA1	publisher_donor_label	20	20	Spearman_rho	0.2	-0.2765360927829584	0.6323425605057174	0.39815	0.5308666666666667	KEGGscore_BH8	8	DONE	same_fixed_transcript_program;not_metabolic_activity_or_causality	frozen_KEGG_hsa00564	Wu2021|LYPLA1	92	39814	99999	0.0015479876533745	4000	4000	1981154330	False
KEGG_glycerophospholipid_92	BRCA	Wu2021	06_EXTERNAL	20260925T133935Z_lypla1_KEGGscore_v1	lypla1_KEGGscore_v1	LYPLA2	NA	NA	LYPLA2	publisher_donor_label	20	20	Spearman_rho	0.3052631578947368	-0.1102661596958174	0.6459033783144431	0.18898	0.45134	KEGGscore_BH8	8	DONE	same_fixed_transcript_program;not_metabolic_activity_or_causality	frozen_KEGG_hsa00564	Wu2021|LYPLA2	92	18897	99999	0.0012380087221017	4000	4000	1892608146	False
