cohort	contrast	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	library	p_resolution_note
Pal2021_reprocessed	high_vs_low_detected	prerank	Peptide Chain Elongation R-HSA-156902	-0.8480830114862199	-2.4309266745483384	0.0	0.0	0.0	62/83	8.38%	RPL18A;RPS7;RPS12;RPL35A;UBA52;EEF1A1;RPS16;RPS25;RPS27A;RPL5;RPS19;RPSA;RPS6;RPS24;RPS3;RPL39;RPL4;RPS11;RPL22;RPL7A;RPL38;RPS8;RPLP2;RPL37;RPL11;RPS23;RPL27;RPL23;RPS5;RPS29;RPL39L;RPL18;RPL32;RPLP0;RPS9;RPL30;RPL9;RPL28;RPL22L1;RPS10;RPL15;RPL6;RPL29;EEF2;RPLP1;RPS13;RPL10A;RPL37A;RPL36AL;RPS3A;RPL13A;RPS28;RPL3;FAU;RSL24D1;RPS2;RPS21;RPL27A;RPL35;RPL7;RPS17;RPL14	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Formation Of A Pool Of Free 40S Subunits R-HSA-72689	-0.8371814614641802	-2.4207508031759635	0.0	0.0	0.0	69/95	8.38%	RPL18A;RPS7;RPS12;RPL35A;UBA52;RPS16;RPS25;RPS27A;RPL5;RPS19;RPSA;EIF3L;RPS6;RPS24;RPS3;RPL39;RPL4;RPS11;RPL22;RPL7A;RPL38;RPS8;RPLP2;RPL37;RPL11;RPS23;EIF3H;RPL27;RPL23;EIF3D;RPS5;RPS29;RPL39L;RPL18;RPL32;EIF1AX;EIF3E;RPLP0;EIF3K;RPS9;RPL30;RPL9;RPL28;EIF3M;RPL22L1;RPS10;RPL15;RPL6;RPL29;RPLP1;RPS13;RPL10A;RPL37A;RPL36AL;RPS3A;RPL13A;RPS28;RPL3;FAU;RSL24D1;RPS2;RPS21;EIF3G;EIF3I;RPL27A;RPL35;RPL7;RPS17;RPL14	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Eukaryotic Translation Elongation R-HSA-156842	-0.8376748132011136	-2.4102686103978996	0.0	0.0	0.0	63/87	8.38%	RPL18A;RPS7;RPS12;RPL35A;UBA52;EEF1A1;EEF1B2;RPS16;RPS25;RPS27A;RPL5;RPS19;RPSA;RPS6;RPS24;RPS3;RPL39;RPL4;RPS11;RPL22;RPL7A;RPL38;RPS8;RPLP2;RPL37;RPL11;RPS23;RPL27;RPL23;RPS5;RPS29;RPL39L;RPL18;RPL32;RPLP0;RPS9;RPL30;RPL9;RPL28;RPL22L1;RPS10;RPL15;RPL6;RPL29;EEF2;RPLP1;RPS13;RPL10A;RPL37A;RPL36AL;RPS3A;RPL13A;RPS28;RPL3;FAU;RSL24D1;RPS2;RPS21;RPL27A;RPL35;RPL7;RPS17;RPL14	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827	-0.8268422427656028	-2.405047879051211	0.0	0.0	0.0	74/105	8.38%	RPL18A;RPS7;RPS12;RPL35A;UBA52;RPS16;RPS25;RPS27A;RPL5;RPS19;RPSA;EIF3L;RPS6;RPS24;RPS3;RPL39;RPL4;RPS11;RPL22;RPL7A;RPL38;RPS8;RPLP2;EIF4A2;RPL37;RPL11;RPS23;EIF3H;RPL27;RPL23;EIF3D;PABPC1;RPS5;RPS29;RPL39L;RPL18;RPL32;EIF1AX;EIF3E;RPLP0;EIF3K;RPS9;RPL30;RPL9;RPL28;EIF3M;RPL22L1;RPS10;RPL15;RPL6;RPL29;RPLP1;RPS13;RPL10A;RPL37A;RPL36AL;RPS3A;RPL13A;RPS28;EIF4G1;RPL3;FAU;RSL24D1;RPS2;RPS21;EIF4B;EIF3G;EIF3I;RPL27A;EIF2S3;RPL35;RPL7;RPS17;RPL14	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Selenocysteine Synthesis R-HSA-2408557	-0.8358729547113397	-2.4013054185850082	0.0	0.0	0.0	60/87	8.38%	RPL18A;RPS7;RPS12;RPL35A;UBA52;RPS16;RPS25;RPS27A;RPL5;RPS19;RPSA;RPS6;RPS24;RPS3;RPL39;RPL4;RPS11;RPL22;RPL7A;RPL38;RPS8;RPLP2;RPL37;RPL11;RPS23;RPL27;RPL23;RPS5;RPS29;RPL39L;RPL18;RPL32;RPLP0;RPS9;RPL30;RPL9;RPL28;RPL22L1;RPS10;RPL15;RPL6;RPL29;RPLP1;RPS13;RPL10A;RPL37A;RPL36AL;RPS3A;RPL13A;RPS28;RPL3;FAU;RSL24D1;RPS2;RPS21;RPL27A;RPL35;RPL7;RPS17;RPL14	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956	-0.8319767632567643	-2.3970605046343545	0.0	0.0	0.0	63/89	8.38%	RPL18A;RPS7;RPS12;RPL35A;UBA52;RPS16;RPS25;RPS27A;RPL5;RPS19;RPSA;RPS6;RPS24;RPS3;RPL39;RPL4;RPS11;RPL22;RPL7A;RPL38;RPS8;RPLP2;RPL37;RPL11;RPS23;RPL27;RPL23;PABPC1;RPS5;RPS29;RPL39L;RPL18;RPL32;RPLP0;RPS9;RPL30;RPL9;RPL28;RPL22L1;RPS10;RPL15;RPL6;RPL29;RPLP1;RPS13;RPL10A;RPL37A;RPL36AL;RPS3A;RPL13A;NCBP2;RPS28;EIF4G1;RPL3;FAU;RSL24D1;RPS2;RPS21;RPL27A;RPL35;RPL7;RPS17;RPL14	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Viral mRNA Translation R-HSA-192823	-0.8316026780800321	-2.387795165618874	0.0	0.0	0.0	61/86	8.38%	RPL18A;RPS7;RPS12;RPL35A;UBA52;RPS16;RPS25;RPS27A;RPL5;RPS19;RPSA;RPS6;RPS24;RPS3;RPL39;RPL4;RPS11;RPL22;RPL7A;RPL38;RPS8;RPLP2;RPL37;RPL11;RPS23;RPL27;RPL23;RPS5;RPS29;RPL39L;RPL18;RPL32;RPLP0;RPS9;RPL30;RPL9;RPL28;RPL22L1;RPS10;RPL15;RPL6;RPL29;RPLP1;RPS13;RPL10A;RPL37A;RPL36AL;RPS3A;RPL13A;RPS28;RPL3;FAU;RSL24D1;RPS2;RPS21;RPL27A;RPL35;GNL3;RPL7;RPS17;RPL14	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706	-0.8180020166398897	-2.3789175390839494	0.0	0.0	0.0	73/106	8.38%	RPL18A;RPS7;RPS12;RPL35A;UBA52;RPS16;RPS25;RPS27A;RPL5;RPS19;RPSA;EIF3L;RPS6;RPS24;RPS3;RPL39;RPL4;RPS11;RPL22;RPL7A;RPL38;RPS8;RPLP2;EIF4A2;RPL37;RPL11;RPS23;EIF3H;RPL27;RPL23;EIF3D;RPS5;RPS29;RPL39L;RPL18;RPL32;EIF1AX;EIF3E;RPLP0;EIF3K;RPS9;RPL30;RPL9;RPL28;EIF3M;RPL22L1;RPS10;RPL15;RPL6;RPL29;RPLP1;RPS13;RPL10A;RPL37A;RPL36AL;RPS3A;RPL13A;RPS28;EIF4G1;RPL3;FAU;RSL24D1;RPS2;RPS21;EIF4B;EIF3G;EIF3I;RPL27A;EIF2S3;RPL35;RPL7;RPS17;RPL14	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Eukaryotic Translation Termination R-HSA-72764	-0.828345052675091	-2.37770760731627	0.0	0.0	0.0	60/87	8.38%	RPL18A;RPS7;RPS12;RPL35A;UBA52;RPS16;RPS25;RPS27A;RPL5;RPS19;RPSA;RPS6;RPS24;RPS3;RPL39;RPL4;RPS11;RPL22;RPL7A;RPL38;RPS8;RPLP2;RPL37;RPL11;RPS23;RPL27;RPL23;RPS5;RPS29;RPL39L;RPL18;RPL32;RPLP0;RPS9;RPL30;RPL9;RPL28;RPL22L1;RPS10;RPL15;RPL6;RPL29;RPLP1;RPS13;RPL10A;RPL37A;RPL36AL;RPS3A;RPL13A;RPS28;RPL3;FAU;RSL24D1;RPS2;RPS21;RPL27A;RPL35;RPL7;RPS17;RPL14	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012	-0.8211238223524155	-2.3705708181657457	0.0	0.0	0.0	64/94	8.38%	RPL18A;RPS7;RPS12;RPL35A;UBA52;RPS16;RPS25;RPS27A;RPL5;RPS19;RPSA;RPS6;RPS24;RPS3;RPL39;RPL4;RPS11;RPL22;RPL7A;RPL38;RPS8;RPLP2;RPL37;RPL11;RPS23;RPL27;RPL23;RPS5;RPS29;RPL39L;RPL18;RPL32;RPLP0;RPS9;RPL30;RPL9;RPL28;RPL22L1;RPS10;RPL15;RPL6;ATF4;RPL29;RPLP1;RPS13;RPL10A;RPL37A;RPL36AL;CEBPG;RPS3A;CEBPB;RPL13A;RPS28;RPL3;FAU;RSL24D1;RPS2;RPS21;RPL27A;EIF2S3;RPL35;RPL7;RPS17;RPL14	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
