cohort	contrast	direction	library	term	universe_n	selected_n	term_n	overlap_n	p_value	genes	q_contrast	q_joint4
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475	13204	1491	21	2	0.7035729212	SDC1;SDC2	1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	ABC Transporter Disorders R-HSA-5619084	13204	1491	67	14	0.01608460826	ABCA12;APOA1;DERL1;ERLIN2;PSMC2;PSMC6;PSMD11;PSMD12;PSMD14;PSMD2;PSMD3;PSMD5;PSMD7;SEL1L	0.2575225994	0.2579292836
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	ABC-family Proteins Mediated Transport R-HSA-382556	13204	1491	85	18	0.005990453752	ABCA12;ABCC11;ABCC5;ABCD3;APOA1;DERL1;ERLIN2;PEX3;PSMC2;PSMC6;PSMD11;PSMD12;PSMD14;PSMD2;PSMD3;PSMD5;PSMD7;SEL1L	0.143770623	0.1510918868
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821	13204	1491	46	6	0.4200184834	CREB1;GNAI1;GNAI3;GNB1;GNB4;PRKAR2B	1	0.9867592468
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409	13204	1491	26	4	0.3372153219	ANAPC7;BUB3;CDC16;UBE2C	0.9402123612	0.9185166056
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143	13204	1491	84	14	0.08735588186	ANAPC7;AURKA;BUB3;CDC16;PSMC2;PSMC6;PSMD11;PSMD12;PSMD14;PSMD2;PSMD3;PSMD5;PSMD7;UBE2C	0.5465342352	0.5499369466
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	APC/C:Cdc20 Mediated Degradation Of Cyclin B R-HSA-174048	13204	1491	24	3	0.5193945977	ANAPC7;CDC16;UBE2C	1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154	13204	1491	65	12	0.05805028531	ANAPC7;CDC16;PSMC2;PSMC6;PSMD11;PSMD12;PSMD14;PSMD2;PSMD3;PSMD5;PSMD7;UBE2C	0.4647760014	0.4697189533
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409	13204	1491	72	13	0.05805890378	ANAPC7;BUB3;CDC16;PSMC2;PSMC6;PSMD11;PSMD12;PSMD14;PSMD2;PSMD3;PSMD5;PSMD7;UBE2C	0.4647760014	0.4697189533
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178	13204	1491	71	13	0.05279839571	ANAPC7;AURKA;CDC16;PSMC2;PSMC6;PSMD11;PSMD12;PSMD14;PSMD2;PSMD3;PSMD5;PSMD7;UBE2C	0.4468506483	0.4519186504
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	APC:Cdc20 Mediated Degradation Of Cell Cycle Proteins Before Cycle Checkpoint Satisfied R-HSA-179419	13204	1491	70	13	0.04787263829	ANAPC7;BUB3;CDC16;PSMC2;PSMC6;PSMD11;PSMD12;PSMD14;PSMD2;PSMD3;PSMD5;PSMD7;UBE2C	0.4189714398	0.4305859182
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	ATF4 Activates Genes In Response To Endoplasmic Reticulum Stress R-HSA-380994	13204	1491	26	3	0.5753735595	ATF6;EXOSC3;HERPUD1	1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	AUF1 (hnRNP D0) Binds And Destabilizes mRNA R-HSA-450408	13204	1491	52	10	0.06302341568	HSPA8;PSMC2;PSMC6;PSMD11;PSMD12;PSMD14;PSMD2;PSMD3;PSMD5;PSMD7	0.4823624036	0.4875572256
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	AURKA Activation By TPX2 R-HSA-8854518	13204	1491	71	9	0.4098178091	AURKA;DYNC1H1;HSP90AA1;MAPRE1;PPP2R1A;PRKAR2B;TUBB;TUBB4B;YWHAG	0.9975961388	0.984661344
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Aberrant Regulation Of Mitotic G1/S Transition In Cancer Due To RB1 Defects R-HSA-9659787	13204	1491	17	2	0.587486527	CDKN1B;TFDP1	1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Aberrant Regulation Of Mitotic Cell Cycle Due To RB1 Defects R-HSA-9687139	13204	1491	36	5	0.3844271559	ANAPC7;CDC16;CDKN1B;TFDP1;UBE2C	0.9837454801	0.9696127477
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Aberrant Regulation Of Mitotic Exit In Cancer Due To RB1 Defects R-HSA-9687136	13204	1491	20	3	0.3968971609	ANAPC7;CDC16;UBE2C	0.9857787792	0.9696127477
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Abortive Elongation Of HIV-1 Transcript In Absence Of Tat R-HSA-167242	13204	1491	23	1	0.9366013692	NELFCD	1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Activated NOTCH1 Transmits Signal To Nucleus R-HSA-2122948	13204	1491	25	1	0.9501336044	MIB1	1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Activated PKN1 Stimulates Transcription Of Androgen Receptor Regulated KLK2 And KLK3 R-HSA-5625886	13204	1491	21	4	0.2068290903	AREG;H2BC21;H3-3B;NCOA2	0.8124001613	0.7800342118
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814	13204	1491	73	13	0.06366103242	ANAPC7;BUB3;CDC16;PSMC2;PSMC6;PSMD11;PSMD12;PSMD14;PSMD2;PSMD3;PSMD5;PSMD7;UBE2C	0.4854153722	0.4888730935
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Activation Of ATR In Response To Replication Stress R-HSA-176187	13204	1491	33	3	0.7365533657	MCM4;ORC4;RRAD	1	1
Pal2021_reprocessed	high_vs_zero	up	Reactome_2022	Activation Of BAD And Translocation To Mitochondria R-HSA-111447	13204	1491	15	6	0.004164178704	BID;YWHAB;YWHAG;YWHAH;YWHAQ;YWHAZ	0.1181464656	0.12251375
