gene	unique_symbol	all_malignant_detection	eligible_base
ENSG00000286448	True	0	False
LINC00115	True	0.01336890174	True
FAM41C	True	0.02018019957	True
SAMD11	True	0.03401036301	True
NOC2L	True	0.2165931211	True
KLHL17	True	0.01220037208	True
PLEKHN1	True	0.02802933624	True
PERM1	True	0.01383785114	True
HES4	True	0.2741893326	True
ISG15	True	0.2778640508	True
AGRN	True	0.1227417396	True
RNF223	True	0.02573840311	True
C1orf159	True	0.03969925737	True
TTLL10	True	0.006396162303	False
TNFRSF18	True	0.06416919079	True
TNFRSF4	True	0.008010578268	False
SDF4	True	0.2199910823	True
B3GALT6	True	0.04637217669	True
UBE2J2	True	0.1768938637	True
SCNN1D	True	0.006250096096	False
ACAP3	True	0.06097110964	True
PUSL1	True	0.08233521426	True
CPTP	True	0.071803072	True
TAS1R3	True	0.003274958102	False
DVL1	True	0.05982564308	True
MXRA8	True	0.06560678977	True
AURKAIP1	True	0.5419440643	True
CCNL2	True	0.1369562878	True
MRPL20	True	0.504689494	True
ANKRD65	True	0.02004182106	True
VWA1	True	0.1122403481	True
ATAD3C	True	0.04222850905	True
ATAD3B	True	0.0513538031	True
ATAD3A	True	0.06500714956	True
TMEM240	True	0.002321683913	False
SSU72	True	0.3801103953	True
MIB2	True	0.05606636018	True
MMP23B	True	0.008817786251	False
CDK11B	True	0.107781485	True
SLC35E2B	True	0.05801134704	True
CDK11A	True	0.05902612279	True
NADK	True	0.09152969757	True
GNB1	True	0.2648872215	True
CALML6	True	0.0008302710681	False
TMEM52	True	0.02047233199	True
GABRD	True	0.005765771306	False
PRKCZ	True	0.06011777549	True
FAAP20	True	0.3630821507	True
SKI	True	0.05820353941	True
MORN1	True	0.03755439044	True
RER1	True	0.3890204339	True
PEX10	True	0.0788296253	True
PLCH2	True	0.009824874306	False
PANK4	True	0.01283845078	True
HES5	True	0.0006995802518	False
TNFRSF14	True	0.09079936653	True
PRXL2B	True	0.08271191131	True
MMEL1	True	0.07579298575	True
