cohort	contrast	gene	n_high	n_reference	mean_log_high	mean_log_reference	mean_log_difference	mean_CP10k_high	mean_CP10k_reference	descriptive_log2ratio	detection_high	detection_reference	welch_t	welch_df	p_value	q_contrast	q_joint4
Wu2021	high_vs_low_detected	WASH9P	7222	7222	0.1235566709	0.1173970943	0.006159576675	0.2211815306	0.1657189746	0.2734876818	0.1872057602	0.2478537801	1.298057878	13426.65426	0.1942897445	0.23397056	0.2226526547
Wu2021	high_vs_low_detected	ENSG00000228463	7222	7222	0.06075114423	0.05429148191	0.006459662325	0.09191761236	0.07095559969	0.1668654349	0.1268346718	0.1406812517	2.199788772	13680.33755	0.02783854784	0.03860116006	0.03533691944
Wu2021	high_vs_low_detected	LINC01409	7222	7222	0.03574933891	0.03874792458	-0.00299858567	0.05827839603	0.05091469676	0.06873104149	0.06494045971	0.09817225145	-1.187855791	13768.85872	0.2349107194	0.2780801962	0.2659540155
Wu2021	high_vs_low_detected	LINC00115	7222	7222	0.02019149682	0.02267086199	-0.002479365167	0.03660613038	0.03039040473	0.06718452054	0.03503184713	0.05635558017	-1.207888522	13654.66383	0.2271110648	0.2697244968	0.2576700538
Wu2021	high_vs_low_detected	FAM41C	7222	7222	0.01373650992	0.01767014633	-0.003933636408	0.02593204439	0.02240867146	0.04093967223	0.02561617281	0.05123234561	-2.329895418	13430.92146	0.01982641937	0.0280444047	0.02552440606
Wu2021	high_vs_low_detected	SAMD11	7222	7222	0.0126581244	0.01596725097	-0.003309126573	0.02145885348	0.02283097318	-0.016206742	0.01869288286	0.03184713376	-1.923517337	14381.48562	0.05443482854	0.07221928678	0.06697778265
Wu2021	high_vs_low_detected	NOC2L	7222	7222	0.3102451112	0.3769071243	-0.06666201314	0.5574533023	0.5809387568	-0.05063662299	0.4101356965	0.5891719745	-9.479070079	14080.91997	2.968592435e-21	1.570376769e-20	8.96828589e-21
Wu2021	high_vs_low_detected	KLHL17	7222	7222	0.01172048145	0.01495387115	-0.003233389701	0.01873210624	0.01973007735	-0.01207551115	0.02340072002	0.0396012185	-2.137201187	14268.9501	0.03259858201	0.0446444174	0.04103479262
Wu2021	high_vs_low_detected	PLEKHN1	7222	7222	0.03041656382	0.04113118555	-0.01071462173	0.05032673708	0.05519699008	-0.04599894846	0.05497092218	0.09886458045	-4.295327169	14317.64675	1.755857712e-05	3.481108071e-05	2.852568792e-05
Wu2021	high_vs_low_detected	PERM1	7222	7222	0.02292709404	0.02111811281	0.001808981228	0.03864125254	0.02935232037	0.1000506597	0.03600110773	0.04306286347	0.860856866	13713.01712	0.3893319318	0.4384878743	0.4250180131
Wu2021	high_vs_low_detected	ENSG00000272512	7222	7222	0.006000375599	0.01278688775	-0.006786512152	0.00889440033	0.01695724831	-0.1030515057	0.01190805871	0.03198559956	-5.592925872	13800.59903	2.275156322e-08	5.734370798e-08	4.306169198e-08
Wu2021	high_vs_low_detected	HES4	7222	7222	0.334412614	0.4810099054	-0.1465972915	0.6504745593	0.9014770684	-0.4162543159	0.3810578787	0.5594018277	-16.89957307	14414.61006	1.848781075e-63	5.277363704e-62	1.385126439e-62
Wu2021	high_vs_low_detected	ISG15	7222	7222	0.493510946	0.5012077862	-0.00769684019	1.746085205	1.697832771	0.03821030941	0.3968429798	0.4880919413	-0.5913078854	14406.04985	0.5543234248	0.5996760361	0.5883930841
Wu2021	high_vs_low_detected	AGRN	7222	7222	0.1418744115	0.1637993346	-0.02192492308	0.2572523583	0.2398058557	0.07223282112	0.2027139297	0.318194406	-4.125328623	13985.14595	3.723477259e-05	7.163523449e-05	5.931497672e-05
Wu2021	high_vs_low_detected	RNF223	7222	7222	0.08884629246	0.05572542046	0.033120872	0.1642622051	0.08805423498	0.4908213087	0.1193575187	0.09651066187	7.987161353	12911.44976	1.497298827e-15	5.915244593e-15	3.791317953e-15
Wu2021	high_vs_low_detected	C1orf159	7222	7222	0.04942888209	0.0669920484	-0.01756316631	0.08160204536	0.08998946826	-0.06513899584	0.09457214068	0.1579894766	-5.667623228	14339.5832	1.475791613e-08	3.773195347e-08	2.819941274e-08
Wu2021	high_vs_low_detected	ENSG00000272141	7222	7222	0.01287058483	0.01611225374	-0.003241668914	0.02098942199	0.02158736575	-0.007112405576	0.02436998061	0.04043201329	-2.031067623	14316.00172	0.04226657395	0.05694214174	0.05256482668
Wu2021	high_vs_low_detected	TNFRSF18	7222	7222	0.1255952777	0.1062381216	0.0193571561	0.2241917937	0.168382292	0.2725580874	0.1622819164	0.1647743007	3.842550434	13978.5762	0.000122300871	0.000224210563	0.0001881583143
Wu2021	high_vs_low_detected	SDF4	7222	7222	0.4912711813	0.6427228312	-0.1514516498	0.9445820688	1.154231216	-0.2638774882	0.5470783716	0.7533924121	-17.4989494	14276.02457	7.444779021e-68	2.463206659e-66	6.010817367e-67
Wu2021	high_vs_low_detected	B3GALT6	7222	7222	0.02668171743	0.03288820511	-0.006206487681	0.04550113929	0.04366810474	0.01829063997	0.04901689283	0.08446413736	-2.677575777	13983.69888	0.007424366924	0.01112661454	0.009962312987
Wu2021	high_vs_low_detected	UBE2J2	7222	7222	0.2403334141	0.3323766368	-0.09204322266	0.4079790073	0.5024072299	-0.2459702073	0.3526723899	0.5483245638	-14.45340047	14364.05302	5.09928121e-47	7.922661244e-46	2.822574917e-46
Wu2021	high_vs_low_detected	SCNN1D	7222	7222	0.008897946223	0.007288525171	0.001609421052	0.01508962764	0.01019107368	0.06275045825	0.01426197729	0.01467737469	1.239672682	13477.15571	0.2151180705	0.2566747702	0.2449392123
Wu2021	high_vs_low_detected	ACAP3	7222	7222	0.05255553497	0.0674382805	-0.01488274553	0.08766231372	0.09094530458	-0.02502048626	0.09734145666	0.1579894766	-4.663486276	14230.73453	3.137237687e-06	6.641254361e-06	5.325994781e-06
Wu2021	high_vs_low_detected	PUSL1	7222	7222	0.1184874846	0.1424720889	-0.02398460429	0.1937614107	0.1971810848	-0.01669740107	0.2031293271	0.3044862919	-5.308330236	14187.93456	1.123005778e-07	2.670922745e-07	2.052799106e-07
Wu2021	high_vs_low_detected	INTS11	7222	7222	0.2638232847	0.3210991086	-0.05727582386	0.4530353849	0.4879258704	-0.08826247054	0.3706729438	0.526170036	-8.738059494	14259.13909	2.6327288e-18	1.2113548e-17	7.290391196e-18
Wu2021	high_vs_low_detected	CPTP	7222	7222	0.1291547664	0.1902012732	-0.06104650685	0.2166307559	0.2759995639	-0.2479295902	0.214206591	0.3590418167	-12.05305836	14438.45476	2.700160961e-33	2.45834542e-32	1.1145089e-32
Wu2021	high_vs_low_detected	TAS1R3	7222	7222	0.007010684623	0.006180750101	0.0008299345217	0.01183951607	0.008010859502	0.05025365384	0.0130157851	0.01730822487	0.7464437069	12879.21243	0.4554130499	0.5034194949	0.491130887
Wu2021	high_vs_low_detected	DVL1	7222	7222	0.05258603662	0.07314600038	-0.02055996377	0.08711042457	0.09940749105	-0.09182966953	0.09637219607	0.1686513431	-6.306073836	14359.32299	2.945797041e-10	8.428638624e-10	6.06663087e-10
