cohort	contrast	gene	n_high	n_reference	mean_log_high	mean_log_reference	mean_log_difference	mean_CP10k_high	mean_CP10k_reference	descriptive_log2ratio	detection_high	detection_reference	welch_t	welch_df	p_value	q_contrast	q_joint4
Wu2021	high_vs_zero	WASH9P	7222	10045	0.1235566709	0.1059294209	0.01762725	0.2211815306	0.2200788346	0.00496165274	0.1872057602	0.1082130413	3.4541638	16095.65948	0.0005534232361	0.001041460118	0.0008134767767
Wu2021	high_vs_zero	ENSG00000228463	7222	10045	0.06075114423	0.02624186497	0.03450927926	0.09191761236	0.05286927224	0.32818867	0.1268346718	0.03036336486	12.02362089	14211.55243	3.866447869e-33	3.522387239e-32	1.589049974e-32
Wu2021	high_vs_zero	LINC01409	7222	10045	0.03574933891	0.02763840609	0.00811093282	0.05827839603	0.05532299065	0.02719295954	0.06494045971	0.02976605276	3.06503337	16022.71194	0.002180076237	0.003810487437	0.003060827699
Wu2021	high_vs_zero	LINC00115	7222	10045	0.02019149682	0.02443541994	-0.004243923127	0.03660613038	0.05056959049	-0.1404082003	0.03503184713	0.02578397213	-1.815115867	17016.12526	0.06952370205	0.09516040376	0.08451524976
Wu2021	high_vs_zero	FAM41C	7222	10045	0.01373650992	0.008350902883	0.005385607041	0.02593204439	0.01662637244	0.1107513762	0.02561617281	0.009656545545	3.247591641	13911.21769	0.001166619955	0.002112657459	0.00167352365
Wu2021	high_vs_zero	SAMD11	7222	10045	0.0126581244	0.0186984725	-0.006040348104	0.02145885348	0.03494617114	-0.1519163875	0.01869288286	0.02220009955	-3.23075664	17190.12012	0.001236952571	0.002233356757	0.001770801974
Wu2021	high_vs_zero	NOC2L	7222	10045	0.3102451112	0.2959012081	0.01434390308	0.5574533023	0.6314884743	-0.1539467068	0.4101356965	0.2774514684	1.895253673	16794.07448	0.05807595819	0.08072356976	0.07124544702
Wu2021	high_vs_zero	KLHL17	7222	10045	0.01172048145	0.009653473867	0.002067007587	0.01873210624	0.01830829478	0.005158878717	0.02340072002	0.0112493778	1.361140429	16100.2168	0.1734883651	0.2176153386	0.2003070906
Wu2021	high_vs_zero	PLEKHN1	7222	10045	0.03041656382	0.03620633743	-0.005789773608	0.05032673708	0.06907965296	-0.1696014269	0.05497092218	0.04181184669	-2.162948274	17041.95362	0.03055901821	0.0446485535	0.03860306063
Wu2021	high_vs_zero	PERM1	7222	10045	0.02292709404	0.02578409567	-0.002857001626	0.03864125254	0.04865497099	-0.1006111139	0.03600110773	0.02857142857	-1.225095761	16808.08431	0.2205563095	0.2700469935	0.2507251505
Wu2021	high_vs_zero	ENSG00000272512	7222	10045	0.006000375599	0.01210649768	-0.006106122078	0.00889440033	0.02006579424	-0.1408954292	0.01190805871	0.01682429069	-4.787333378	16985.48146	1.70435489e-06	4.147776411e-06	2.933798392e-06
Wu2021	high_vs_zero	HES4	7222	10045	0.334412614	0.3432471029	-0.008834488949	0.6504745593	0.8075334227	-0.2741476098	0.3810578787	0.2838227974	-1.036907319	16849.40522	0.2997939328	0.3548869794	0.3336826365
Wu2021	high_vs_zero	ISG15	7222	10045	0.493510946	0.2916526145	0.2018583315	1.746085205	1.208151268	0.4969397643	0.3968429798	0.1922349428	17.16030325	14300.59789	2.372399825e-65	5.447538903e-64	1.836402173e-64
Wu2021	high_vs_zero	AGRN	7222	10045	0.1418744115	0.1501604182	-0.008286006688	0.2572523583	0.3139773366	-0.212608254	0.2027139297	0.1453459433	-1.443770279	16732.06962	0.1488223274	0.1895001699	0.1734074311
Wu2021	high_vs_zero	RNF223	7222	10045	0.08884629246	0.05215275946	0.03669353301	0.1642622051	0.1101034813	0.3308700382	0.1193575187	0.05116973619	8.715829282	14096.32692	3.204812651e-18	1.629038497e-17	8.851615063e-18
Wu2021	high_vs_zero	C1orf159	7222	10045	0.04942888209	0.06310592167	-0.01367703958	0.08160204536	0.1200505264	-0.2770543715	0.09457214068	0.07177700348	-4.008802925	17205.07652	6.128463661e-05	0.0001283045009	9.625118556e-05
Wu2021	high_vs_zero	ENSG00000272141	7222	10045	0.01287058483	0.01203053297	0.0008400518557	0.02098942199	0.02438986249	-0.03998799438	0.02436998061	0.0131408661	0.5030238109	16808.49204	0.6149541225	0.6660096798	0.6466434236
Wu2021	high_vs_zero	TNFRSF18	7222	10045	0.1255952777	0.08672522361	0.03887005409	0.2241917937	0.1783621209	0.2198846677	0.1622819164	0.08213041314	7.799725971	15122.0765	6.607707893e-15	2.858692764e-14	1.635913734e-14
Wu2021	high_vs_zero	SDF4	7222	10045	0.4912711813	0.5373073814	-0.0460362001	0.9445820688	1.28834976	-0.4104452213	0.5470783716	0.425087108	-4.84037995	17149.66895	1.307191154e-06	3.218347508e-06	2.266298683e-06
Wu2021	high_vs_zero	B3GALT6	7222	10045	0.02668171743	0.03090659064	-0.004224873207	0.04550113929	0.05912667966	-0.1291452929	0.04901689283	0.0356396217	-1.665529587	16876.54659	0.09582570605	0.1271909764	0.1145033358
Wu2021	high_vs_zero	UBE2J2	7222	10045	0.2403334141	0.2727499693	-0.03241655514	0.4079790073	0.5715476565	-0.4027209068	0.3526723899	0.2611249378	-4.678940302	17176.91114	2.905601093e-06	6.942350355e-06	4.941364057e-06
Wu2021	high_vs_zero	SCNN1D	7222	10045	0.008897946223	0.008195109975	0.0007028362472	0.01508962764	0.0163335102	-0.01550891149	0.01426197729	0.008163265306	0.4938172122	16459.88845	0.6214418654	0.6719326055	0.6529214172
Wu2021	high_vs_zero	ACAP3	7222	10045	0.05255553497	0.05276921786	-0.000213682882	0.08766231372	0.1031042842	-0.114081714	0.09734145666	0.05983076157	-0.0636464834	16725.66045	0.9492524789	0.9592483986	0.9552394998
Wu2021	high_vs_zero	PUSL1	7222	10045	0.1184874846	0.1119539397	0.006533544945	0.1937614107	0.2257829218	-0.1492660851	0.2031293271	0.1202588352	1.354371235	16832.38079	0.1756361501	0.2200629205	0.2026225684
Wu2021	high_vs_zero	INTS11	7222	10045	0.2638232847	0.2662238261	-0.002400541357	0.4530353849	0.5498362941	-0.2327045308	0.3706729438	0.2591338975	-0.3424003276	16940.22126	0.73205389	0.7720400268	0.7578647509
Wu2021	high_vs_zero	CPTP	7222	10045	0.1291547664	0.1696356867	-0.04048092034	0.2166307559	0.3498164662	-0.506535076	0.214206591	0.1727227476	-7.337450422	17258.25653	2.273675912e-13	8.977535648e-13	5.305020858e-13
Wu2021	high_vs_zero	TAS1R3	7222	10045	0.007010684623	0.004912267749	0.002098416874	0.01183951607	0.01142450524	0.005363468344	0.0130157851	0.004280736685	1.702216005	16140.96477	0.08873413939	0.1184912494	0.1064349612
Wu2021	high_vs_zero	DVL1	7222	10045	0.05258603662	0.06091168306	-0.008325646446	0.08711042457	0.119043003	-0.227324192	0.09637219607	0.06699850672	-2.385364325	17081.36419	0.01707304954	0.02592297197	0.02211201051
Wu2021	high_vs_zero	MXRA8	7222	10045	0.03784945718	0.0322496205	0.005599836684	0.07456952393	0.079353786	-0.03900648208	0.052340072	0.02896963664	1.793855103	16212.92283	0.07285492629	0.0992812656	0.088348154
Wu2021	high_vs_zero	AURKAIP1	7222	10045	1.044777519	0.9867177414	0.05805977772	2.534380288	2.792960939	-0.135083222	0.7754084741	0.6367346939	4.979195596	17050.78369	6.447266198e-07	1.632903642e-06	1.135861177e-06
Wu2021	high_vs_zero	CCNL2	7222	10045	0.2190388883	0.2241904065	-0.005151518199	0.3838712158	0.4802265309	-0.2619931446	0.3241484353	0.2155301145	-0.7696278979	16986.4427	0.4415313533	0.4997047769	0.4774120633
