cohort	contrast	gene	status	welch_t
Wu2021	high_vs_low_detected	LYPLA2	PASS	-15.22345659
Wu2021	high_vs_low_detected	SLC6A6	PASS	-4.075310163
Wu2021	high_vs_low_detected	GPCPD1	PASS	0.2430756967
Wu2021	high_vs_low_detected	PCYT2	PASS	-16.07256398
Wu2021	high_vs_low_detected	ETNK1	PASS	1.799925696
Wu2021	high_vs_low_detected	ACTB	PASS	-4.679842018
Wu2021	high_vs_low_detected	GAPDH	PASS	-22.01331681
Wu2021	high_vs_low_detected	MKI67	PASS	-15.79932143
Wu2021	high_vs_low_detected	EPCAM	PASS	-18.76639
Wu2021	high_vs_zero	LYPLA2	PASS	-5.857496581
Wu2021	high_vs_zero	SLC6A6	PASS	5.302261111
Wu2021	high_vs_zero	GPCPD1	PASS	3.361445357
Wu2021	high_vs_zero	PCYT2	PASS	-3.68718312
Wu2021	high_vs_zero	ETNK1	PASS	13.14317847
Wu2021	high_vs_zero	ACTB	PASS	-15.85560783
Wu2021	high_vs_zero	GAPDH	PASS	-13.60860377
Wu2021	high_vs_zero	MKI67	PASS	-7.762584542
Wu2021	high_vs_zero	EPCAM	PASS	3.31961501
Pal2021_reprocessed	high_vs_low_detected	LYPLA2	PASS	-10.42344361
Pal2021_reprocessed	high_vs_low_detected	SLC6A6	PASS	-2.342207273
Pal2021_reprocessed	high_vs_low_detected	GPCPD1	PASS	-13.52519073
Pal2021_reprocessed	high_vs_low_detected	PCYT2	PASS	-2.613258759
Pal2021_reprocessed	high_vs_low_detected	ETNK1	PASS	-11.32029518
Pal2021_reprocessed	high_vs_low_detected	ACTB	PASS	12.53343937
Pal2021_reprocessed	high_vs_low_detected	GAPDH	PASS	-39.48966435
Pal2021_reprocessed	high_vs_low_detected	MKI67	PASS	-16.47729281
Pal2021_reprocessed	high_vs_low_detected	EPCAM	PASS	-35.0773827
Pal2021_reprocessed	high_vs_zero	LYPLA2	PASS	19.7924111
Pal2021_reprocessed	high_vs_zero	SLC6A6	PASS	5.507496814
Pal2021_reprocessed	high_vs_zero	GPCPD1	PASS	3.990912805
Pal2021_reprocessed	high_vs_zero	PCYT2	PASS	21.69167057
Pal2021_reprocessed	high_vs_zero	ETNK1	PASS	19.35044037
Pal2021_reprocessed	high_vs_zero	ACTB	PASS	49.92614774
Pal2021_reprocessed	high_vs_zero	GAPDH	PASS	13.82771963
Pal2021_reprocessed	high_vs_zero	MKI67	PASS	11.97581787
Pal2021_reprocessed	high_vs_zero	EPCAM	PASS	44.60071223
