cohort	contrast	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	library	p_resolution_note
Wu2021	high_vs_low_detected	prerank	Peroxisomal Lipid Metabolism R-HSA-390918	0.450358735	1.81084386	0	0.05508139994	0.138	12/25	13.65%	CROT;SLC27A2;CRAT;HSD17B4;ACOT4;ACOX2;ACBD4;ACOX1;ALDH3A2;SYCP2;SLC25A17;ACOX3	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Cholesterol Biosynthesis R-HSA-191273	-0.5462820885	-1.42847656	0.02826086957	0.09545234576	1	12/24	25.80%	DHCR7;FDPS;MVD;SQLE;IDI1;LBR;SREBF2;TM7SF2;HMGCS1;FDFT1;SC5D;MVK	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Synthesis Of Glycosylphosphatidylinositol (GPI) R-HSA-162710	0.3720514408	1.367346086	0.07843137255	0.2940751837	0.855	17/17	62.84%	PIGP;PIGG;PIGQ;PIGN;PIGL;PIGO;PIGH;PIGW;PIGZ;PIGB;PIGA;PIGX;PIGM;PIGV;PIGC;DPM2;PIGF	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Regulation Of Cholesterol Biosynthesis By SREBP (SREBF) R-HSA-1655829	-0.4128405964	-1.199663073	0.1705583756	0.3220756199	1	27/54	39.27%	DHCR7;FDPS;MVD;RAN;SQLE;IDI1;NFYC;SREBF2;TM7SF2;PPARA;PKMYT1;CARM1;HMGCS1;MBD4;FDFT1;SC5D;MVK;KPNB1;CREBBP;ELOVL6;SEC24C;CYP51A1;RXRA;TBL1XR1;SMARCD3;SEC23A;LIN9	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	NR1H3 And NR1H2 Regulate Gene Expression Linked To Cholesterol Transport And Efflux R-HSA-9029569	-0.4196235798	-1.166292735	0.2344753747	0.3772936009	1	18/32	40.79%	ARL4C;PLTP;KDM1A;APOE;NR1H2;TNRC6B;ABCA1;AGO3;AGO1;AGO2;KDM4A;NCOR2;NCOR1;RXRA;TBL1XR1;KDM1B;APOC1;NR1H3	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Regulation Of Lipid Metabolism By PPARalpha R-HSA-400206	-0.3583456733	-1.10327925	0.2828485456	0.4702629478	1	50/102	39.27%	MED8;PLIN2;THRAP3;ESRRA;MED10;TXNRD1;SIN3B;GLIPR1;NFYC;SREBF2;NR1H2;ACSL1;PPARA;PKMYT1;NPAS2;CARM1;ANGPTL4;ABCA1;MED15;HMGCS1;MBD4;MED4;FDFT1;MED28;TNFRSF21;PPARGC1B;G0S2;TRIB3;PPARG;MED17;CDK8;HMGCS2;GRHL1;SLC27A1;CREBBP;PPARGC1A;MED21;ALAS1;NCOR2;AHR;NCOR1;MED25;MED27;RXRA;MIA3;TBL1XR1;SMARCD3;CPT1A;MED12;LIN9	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Acyl Chain Remodelling Of PE R-HSA-1482839	0.2724250692	1.085049734	0.3026315789	0.5118108293	1	6/21	6.44%	PLAAT4;PLAAT2;PLA2G10;PLA2G4C;MBOAT1;PLA2G12A	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Role Of Phospholipids In Phagocytosis R-HSA-2029485	-0.3793845765	-0.9731621352	0.5495594714	0.7011376027	1	6/19	23.95%	PRKCSH;PIK3R1;ITPR2;PRKCE;PLD3;ITPR3	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Glycosphingolipid Metabolism R-HSA-1660662	0.2233823666	0.9362686913	0.5714285714	0.6764857521	1	3/35	0.93%	ASAH1;UGCG;ARSG	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Synthesis Of Bile Acids And Bile Salts Via 7Alpha-Hydroxycholesterol R-HSA-193368	0.2538117216	0.920102345	0.5647058824	0.6825824833	1	4/16	5.39%	SLC27A2;NCOA2;HSD17B4;ACOX2	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Sphingolipid De Novo Biosynthesis R-HSA-1660661	-0.250618469	-0.7149511655	0.889119171	0.9575496343	1	13/39	28.38%	SPHK1;PLPP3;DEGS1;ACER3;PLPP2;PRKD3;ORMDL1;CSNK1G2;SPTSSA;FA2H;SPTLC2;VAPB;SGMS1	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Acyl Chain Remodelling Of PC R-HSA-1482788	-0.2874059873	-0.712453427	0.8640350877	0.9574101571	1	8/18	40.32%	LPCAT2;LPCAT3;LPCAT4;PLA2R1;PLA2G3;PLAAT3;PLA2G4A;PLBD1	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
