gene	mean_log_difference_Wu	descriptive_log2ratio_Wu	p_value_Wu	q_contrast_Wu	welch_t_Wu	mean_log_difference_Pal	descriptive_log2ratio_Pal	p_value_Pal	q_contrast_Pal	welch_t_Pal	same_direction	min_abs_t
YBX1	-0.5784153801	-0.6565923464	8.296147483e-222	6.038765753e-218	-32.358095	-0.5640758871	-0.7082093035	0	0	-64.41180388	True	32.358095
CALD1	-0.3246159407	-1.12054424	2.353994176e-194	4.895635316e-191	-30.23819882	-0.2664956085	-0.5915109101	0	0	-46.29325961	True	30.23819882
RPL18A	-0.3945103179	-0.4247858292	4.745377227e-193	8.635400209e-190	-30.13854228	-0.4059264345	-0.5177588033	0	0	-66.7270325	True	30.13854228
TRIR	-0.3191542209	-0.4608577446	2.909112941e-188	4.705651799e-185	-29.71854905	-0.2966358416	-0.3775713538	0	0	-44.96948221	True	29.71854905
YBX3	-0.2905253647	-0.7363392825	4.171525814e-188	6.072907279e-185	-29.69395737	-0.2649989594	-0.3905207377	0	0	-40.83996923	True	29.69395737
SFRP1	-0.2568961048	-1.271972092	7.736041328e-174	8.044377833e-171	-28.5589658	-0.2360930645	-0.6706205244	2.47004327e-280	1.792002821e-278	-36.00857786	True	28.5589658
CALR	-0.3769751925	-0.5112789799	2.000062606e-173	1.941127428e-170	-28.46705453	-0.2536852167	-0.2189635512	5.737258128e-240	3.006141124e-238	-33.26232361	True	28.46705453
NDUFS5	-0.3286904347	-0.4140351288	3.277978821e-171	2.98255098e-168	-28.2854789	-0.2781880213	-0.1587004999	0	0	-42.15471375	True	28.2854789
RPL4	-0.4074834158	-0.4855988256	7.078646573e-169	5.423733517e-166	-28.08155282	-0.341302601	-0.2871568484	0	0	-44.75687416	True	28.08155282
PPIB	-0.4274167531	-0.5793272231	1.553950527e-223	2.262241178e-219	-32.49622079	-0.203551326	-0.125860991	1.921999876e-169	5.005539716e-168	-27.85413285	True	27.85413285
RPS19	-0.3167474348	-0.3966643872	2.512858876e-161	1.662827251e-158	-27.42436937	-0.3147194404	-0.471352397	0	0	-52.65652793	True	27.42436937
SERBP1	-0.3206020882	-0.4547955193	2.17230961e-157	1.317686804e-154	-27.06779443	-0.3052156927	-0.3494204101	0	0	-45.29736401	True	27.06779443
RPS3	-0.3448773246	-0.398116462	2.606968844e-156	1.518090097e-153	-26.99686876	-0.3019631672	-0.40541637	0	0	-46.53840264	True	26.99686876
DEK	-0.2856673787	-0.6066978861	2.271852403e-155	1.272062588e-152	-26.88276255	-0.3278418307	-0.3579809316	0	0	-43.24043956	True	26.88276255
IMPA2	-0.1702373289	-0.9339908911	1.072995821e-154	5.785434502e-152	-26.85024208	-0.1617911323	-0.516244943	3.924872641e-302	3.501622862e-300	-37.40590855	True	26.85024208
LMO4	-0.2337861807	-0.7911066886	4.560612242e-154	2.289427346e-151	-26.77287527	-0.4117134284	-0.8988910028	0	0	-62.26070399	True	26.77287527
SMCO4	-0.1755696589	-0.7665036854	1.267295462e-152	6.149762444e-150	-26.64314503	-0.1642541541	-0.5851634322	0	0	-41.04264064	True	26.64314503
UQCRH	-0.3434678396	-0.4034370908	2.129724902e-152	1.000146294e-149	-26.62435965	-0.5421082889	-0.6067257578	0	0	-68.00839106	True	26.62435965
NFIB	-0.2662776744	-0.7999655957	1.20279406e-150	5.471961225e-148	-26.46363139	-0.2343511671	-0.5498615079	0	0	-39.29939256	True	26.46363139
KDELR2	-0.3575681468	-0.4603031958	6.401360981e-148	2.823970096e-145	-26.20897434	-0.2248140414	-0.2328779439	2.269717837e-218	9.574873586e-217	-31.69833126	True	26.20897434
SMIM22	0.3336497869	0.7277356028	9.221795682e-147	3.948555928e-144	26.10599672	0.3643939003	0.8304234117	0	0	44.98284499	True	26.10599672
WASF2	-0.2950174506	-0.6913278321	5.562549828e-207	2.02449001e-203	-31.20957322	-0.1375793717	-0.1021850639	1.449444888e-148	3.018686166e-147	-26.04657086	True	26.04657086
ANXA5	-0.2722839469	-0.4522899264	4.930036317e-145	1.888722861e-142	-25.94140563	-0.227361212	-0.3889880861	0	0	-42.20684028	True	25.94140563
P4HB	-0.3462216386	-0.5152594313	2.098465039e-144	7.833193342e-142	-25.88235579	-0.28367605	-0.2461411167	0	0	-38.29431906	True	25.88235579
