cohort	contrast	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	library	p_resolution_note
Pal2021_reprocessed	high_vs_low_detected	prerank	Ribosome	-0.7582058367977498	-2.223122795060597	0.0	0.0	0.0	82/128	10.53%	RPL18A;RPS7;RPS12;RPL35A;UBA52;RPS16;RPS25;RPS27A;RPL5;RPL24;RPS19;RPSA;RPS6;RPS24;RPS3;RPL39;RPL4;RPS11;RPL22;RPL13;RPL7A;RPL38;RPS8;RPLP2;RPL37;RPL11;RPS23;RPL27;RPL23;RPS5;RPS29;RPL18;RPL32;MRPL34;RPLP0;RPS9;RPL30;RPL9;RPL28;RPL22L1;RPS10;RPL15;RPL6;RPL29;RPS18;MRPL3;MRPS6;MRPS15;RPLP1;RPS13;RPL10A;RPL37A;RPL36AL;RPS3A;RPL13A;MRPL14;RPL10;RPS28;MRPL11;MRPL9;RPL3;FAU;RSL24D1;MRPL4;MRPL18;MRPS21;RPS2;MRPS5;RPS21;MRPS12;MRPL36;RPL27A;RPL35;RPL7;RPS17;RPL14;MRPL33;MRPL19;MRPL32;RPL36;MRPS16;MRPL16	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Coronavirus disease	-0.6750476663699696	-2.0106107872941346	0.0	0.0	0.0	79/168	14.65%	RPL18A;RPS7;RPS12;RPL35A;UBA52;RPS16;RPS25;RPS27A;RPL5;RPL24;RPS19;RPSA;RPS6;RPS24;RPS3;RPL39;RPL4;RPS11;RPL22;RPL13;RPL7A;RPL38;RPS8;RPLP2;RPL37;RPL11;RPS23;RPL27;RPL23;RPS5;RPS29;RPL18;RPL32;RPLP0;RPS9;RPL30;RPL9;RPL28;RPL22L1;RPS10;RPL15;RPL6;RPL29;RPS18;RPLP1;RPS13;RPL10A;RPL37A;RPL36AL;RPS3A;RPL13A;RPL10;RPS28;RPL3;FAU;RSL24D1;RPS2;PIK3R1;RPS21;STAT3;RPL27A;RPL35;RPL7;RPS17;RPL14;IRAK1;IFNAR2;C1S;EGFR;RPL36;MX1;C3;TNFRSF1A;TMPRSS2;C1R;RPL12;MX2;STAT1;RPS26	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Proteasome	-0.6901086431841299	-1.8901638113038797	0.0	0.0009920947923787488	0.003	25/43	16.98%	PSMB2;PSMB1;PSMB5;PSMB4;PSMA5;PSMA3;PSMD2;PSMC4;PSMB3;PSMA4;PSMD14;SEM1;PSME2;PSMD6;PSMA2;PSMD8;PSMD7;PSMD12;PSMD11;PSMC6;PSMB7;PSMB9;PSME4;PSMD4;PSMC2	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Spliceosome	-0.5888432437906388	-1.736366092156169	0.0	0.004712450263799057	0.018	62/129	14.30%	SF3B5;MAGOH;SNRPD1;SF3B6;HNRNPA1;HNRNPA3;SNRPF;RBM17;LSM7;LSM4;SNRPG;SRSF9;TXNL4A;RBM8A;SNU13;SRSF3;SNRPE;SF3A3;MAGOHB;SNRPA1;LSM5;LSM3;SRSF2;LSM2;SRSF7;NCBP2;PRPF38A;SNRPD3;LSM6;TRA2B;PHF5A;CWC15;CDC5L;HNRNPC;HNRNPK;SRSF4;PRPF31;SRSF10;PLRG1;SRSF8;SNRPA;LSM8;HNRNPM;ALYREF;CHERP;PPIH;SF3B2;PRPF40A;SNRPB;SRSF1;PCBP1;EIF4A3;HNRNPU;BCAS2;PRPF38B;RBMX;SNRPD2;BUD31;SNRNP40;SF3B1;PPIE;PRPF18	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Parkinson disease	-0.5758926162458725	-1.7288793697524691	0.0	0.004166798127990745	0.02	96/204	18.74%	UQCRH;UBA52;RPS27A;ATP5F1C;ATP5MC3;PSMB2;NDUFB5;TUBA1B;NDUFS5;ATP5PO;PSMB1;VDAC2;TUBB;SLC25A5;SLC25A6;KIF5B;COX4I1;TUBA1C;COX5A;TUBA4A;PSMB5;ATP5F1A;NDUFB7;CALML3;ATF4;UQCRHL;ATP5F1B;PSMB4;TXN;COX7A2L;NDUFA4L2;ATP5PD;UQCRFS1;NDUFB3;PSMA5;CALM2;CALML5;TUBB6;CYCS;ATP5MC1;SDHD;PSMA3;NDUFA9;PSMD2;ATP5PB;UBE2L3;PSMC4;NDUFA6;PSMB3;COX6B1;PSMA4;ATP5PF;PSMD14;NDUFA8;SDHB;NDUFS4;UBE2J1;COX7A2;UQCRB;NDUFB9;SEM1;COX5B;TUBA1A;PSMD6;NFE2L2;PSMA2;PSMD8;PSMD7;NDUFS6;PSMD12;NDUFB11;TXN2;NDUFB6;ERN1;GNAI3;UBE2G2;BAX;PSMD11;PSMC6;NDUFB4;NDUFS3;EIF2S1;PSMB7;SDHC;COX7B;ITPR2;PSMD4;PSMC2;UCHL1;GNAS;NDUFAB1;NDUFA4;NDUFA1;NDUFA12;TUBB4B;NDUFV1	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Huntington disease	-0.5702102800148938	-1.7130814654006372	0.0	0.005291172226019994	0.031	105/244	18.99%	UQCRH;ATP5F1C;ATP5MC3;PSMB2;NDUFB5;TUBA1B;NDUFS5;ATP5PO;CLTA;PSMB1;HDAC2;VDAC2;POLR2F;TUBB;AP2M1;SLC25A5;SOD1;SLC25A6;KIF5B;COX4I1;TUBA1C;COX5A;TUBA4A;PSMB5;POLR2H;ATP5F1A;NDUFB7;CREB3L2;GPX7;UQCRHL;ATP5F1B;PSMB4;COX7A2L;NDUFA4L2;ATP5PD;UQCRFS1;NDUFB3;PSMA5;TUBB6;CYCS;ATP5MC1;SDHD;PSMA3;NDUFA9;PSMD2;ATP5PB;PSMC4;NDUFA6;PSMB3;COX6B1;SOD2;TFAM;PSMA4;POLR2I;ATP5PF;PSMD14;NDUFA8;SDHB;NRBF2;NDUFS4;COX7A2;UQCRB;HDAC1;NDUFB9;ATG101;SEM1;COX5B;DCTN6;DCTN3;TUBA1A;GPX3;PSMD6;POLR2J;TBPL1;PSMA2;PSMD8;PSMD7;NDUFS6;PSMD12;NDUFB11;CREB5;NDUFB6;ERN1;GPX8;BAX;AP2S1;PSMD11;POLR2B;PSMC6;NDUFB4;NDUFS3;PSMB7;SDHC;COX7B;POLR2K;PSMD4;PSMC2;IFT57;NDUFAB1;NDUFA4;NDUFA1;NDUFA12;TUBB4B;NDUFV1;DCTN2	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Protein export	-0.6651034152365687	-1.6992080088376438	0.0	0.004960473961893744	0.034	21/23	31.81%	SEC61B;SEC61G;SEC63;SEC11C;SRPRA;SRP72;SPCS2;SRP19;SRP9;SEC11A;SRPRB;SPCS1;IMMP1L;OXA1L;SEC61A1;HSPA5;SRP68;SRP54;IMMP2L;SPCS3;SEC62	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Prion disease	-0.5437420310398745	-1.6295814466984255	0.0	0.017981718111864824	0.128	101/211	24.07%	UQCRH;ATP5F1C;ATP5MC3;PSMB2;NDUFB5;TUBA1B;NDUFS5;ATP5PO;PSMB1;VDAC2;TUBB;SLC25A5;SOD1;SLC25A6;KIF5B;COX4I1;TUBA1C;COX5A;TUBA4A;PSMB5;ATP5F1A;NDUFB7;CREB3L2;ATF4;UQCRHL;ATP5F1B;PSMB4;COX7A2L;NDUFA4L2;ATP5PD;UQCRFS1;NDUFB3;PSMA5;TUBB6;CYCS;ATP5MC1;SDHD;PSMA3;NDUFA9;PSMD2;ATP5PB;PSMC4;NDUFA6;PSMB3;COX6B1;PSMA4;PIK3R1;ATP5PF;PSMD14;NDUFA8;SDHB;NDUFS4;COX7A2;UQCRB;CSNK2B;NDUFB9;SEM1;COX5B;TUBA1A;PSMD6;PSMA2;PSMD8;PSMD7;NDUFS6;PSMD12;NDUFB11;CREB5;NDUFB6;BAX;PSMD11;PSMC6;PRNP;NDUFB4;NDUFS3;EIF2S1;PSMB7;SDHC;COX7B;ITPR2;PSMD4;PSMC2;NDUFAB1;NDUFA4;NDUFA1;NDUFA12;TUBB4B;NDUFV1;LAMC1;PSMA1;NOTCH1;NDUFB2;CAV2;NDUFS2;RYR1;ATP5F1D;CREB3;SDHA;ITPR3;PRKACA;NDUFV2;UQCRC2	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Cardiac muscle contraction	-0.5932710387874384	-1.6178573461991987	0.00101010101010101	0.019511197583448728	0.154	14/42	8.91%	UQCRH;COX4I1;COX5A;TPM4;UQCRHL;ATP1A1;COX7A2L;ATP1B3;UQCRFS1;TPM2;COX6B1;COX7A2;UQCRB;COX5B	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Pyruvate metabolism	-0.6013358761264724	-1.6161896324696845	0.002028397565922921	0.01785770626281748	0.157	21/33	26.08%	LDHB;MDH1;AKR1A1;GRHPR;ACAT2;ACAT1;MDH2;LDHA;ALDH7A1;PKM;PDHA1;GLO1;ME1;FH;ME2;ADH5;ACSS2;ACYP1;ALDH9A1;PDHB;ACYP2	KEGG_2021_Human	zero means below permutation resolution, not exact zero
