cohort	contrast	direction	pathway	universe_n	selected_n	term_n	overlap_n	p_value	genes	q_contrast	q_joint4
Pal2021_reprocessed	high_vs_zero	up	ABC transporters	13204	1491	26	4	0.3372153219	ABCA12;ABCC11;ABCC5;ABCD3	0.7385400207	0.7677743938
Pal2021_reprocessed	high_vs_zero	up	AGE-RAGE signaling pathway in diabetic complications	13204	1491	82	11	0.3191340625	CASP3;CDKN1B;DIAPH1;HRAS;MAPK1;MAPK13;MAPK3;NRAS;PLCB1;STAT1;TGFBR1	0.7220576028	0.7552070566
Pal2021_reprocessed	high_vs_zero	up	AMPK signaling pathway	13204	1491	95	18	0.01871541315	ADIPOR1;CAB39;CREB1;CREB3L1;EIF4EBP1;FBP1;FOXO3;G6PC3;HMGCR;PDPK1;PPP2CA;PPP2R1A;PPP2R2C;PPP2R5A;PPP2R5E;RAB14;RHEB;RPS6KB1	0.1658473535	0.2000910531
Pal2021_reprocessed	high_vs_zero	up	Acute myeloid leukemia	13204	1491	55	8	0.2781101531	EIF4EBP1;GRB2;HRAS;JUP;MAPK1;MAPK3;NRAS;RPS6KB1	0.6658105169	0.7109995267
Pal2021_reprocessed	high_vs_zero	up	Adherens junction	13204	1491	65	14	0.01239972922	ACTG1;CDH1;CSNK2A1;CTNNA1;CTNND1;ERBB2;LMO7;MAPK1;MAPK3;NECTIN2;NLK;TGFBR1;WASL;YES1	0.1347593213	0.1580939571
Pal2021_reprocessed	high_vs_zero	up	Adipocytokine signaling pathway	13204	1491	48	5	0.6439313012	ACSL3;ADIPOR1;G6PC3;PTPN11;RXRA	0.97934328	0.9570279429
Pal2021_reprocessed	high_vs_zero	up	Adrenergic signaling in cardiomyocytes	13204	1491	91	22	0.0003946280419	ATP2A2;ATP2A3;ATP2B1;CACNA1D;CACNB4;CALM1;CREB1;CREB3L1;GNAI1;GNAI3;GNAQ;MAPK1;MAPK13;MAPK3;PLCB1;PPP1CC;PPP2CA;PPP2R1A;PPP2R2C;PPP2R5A;PPP2R5E;TPM3	0.02066415928	0.017951707
Pal2021_reprocessed	high_vs_zero	up	African trypanosomiasis	13204	1491	18	3	0.3323473937	APOA1;GNAQ;PLCB1	0.7385400207	0.7677743938
Pal2021_reprocessed	high_vs_zero	up	Alanine, aspartate and glutamate metabolism	13204	1491	26	5	0.1629204044	ADSS2;ALDH4A1;ASS1;GLUL;RIMKLA	0.5227408819	0.5683839672
Pal2021_reprocessed	high_vs_zero	up	Alcoholism	13204	1491	105	22	0.002922026868	CALM1;CREB1;CREB3L1;GNAI1;GNAI3;GNB1;GNB4;GRB2;H2BC21;H3-3B;H3C10;HAT1;HDAC2;HRAS;MACROH2A1;MAOB;MAPK1;MAPK3;NRAS;PKIA;PPP1CC;TH	0.06341479095	0.06917451361
Pal2021_reprocessed	high_vs_zero	up	Aldosterone synthesis and secretion	13204	1491	62	9	0.262493724	ATP2B1;CACNA1D;CALM1;CAMK1D;CREB1;CREB3L1;GNAQ;ITPR1;PLCB1	0.6602462229	0.6975778233
Pal2021_reprocessed	high_vs_zero	up	Aldosterone-regulated sodium reabsorption	13204	1491	22	4	0.2318581558	MAPK1;MAPK3;PDPK1;SCNN1B	0.6211641755	0.6578370591
Pal2021_reprocessed	high_vs_zero	up	Allograft rejection	13204	1491	18	0	1		1	1
