cohort	contrast	direction	pathway	universe_n	selected_n	term_n	overlap_n	p_value	genes	q_contrast	q_joint4
Wu2021	high_vs_zero	up	ABC transporters	14558	1305	26	1	0.9131902121	ABCA5	1	1
Wu2021	high_vs_zero	up	AGE-RAGE signaling pathway in diabetic complications	14558	1305	89	7	0.6961307703	AGTR1;CCND1;CDKN1B;CXCL8;EGR1;ICAM1;SERPINE1	0.9644788105	0.9770072244
Wu2021	high_vs_zero	up	AMPK signaling pathway	14558	1305	101	12	0.1923379474	CCND1;FBP1;G6PC3;IGF1R;INSR;IRS1;IRS2;PPP2CA;PRKAA2;RAB2A;RAB8A;RHEB	0.6549249189	0.6008053771
Wu2021	high_vs_zero	up	Acute myeloid leukemia	14558	1305	57	5	0.5878580112	CCND1;GRB2;MYC;RARA;ZBTB16	0.9403870407	0.9240695062
Wu2021	high_vs_zero	up	Adherens junction	14558	1305	69	10	0.08679122878	ACTG1;AFDN;BAIAP2;CSNK2B;ERBB2;IGF1R;INSR;LMO7;RAC3;WASL	0.5279799751	0.4320936712
Wu2021	high_vs_zero	up	Adipocytokine signaling pathway	14558	1305	54	7	0.2066088294	ACSL3;G6PC3;IRS1;IRS2;PRKAA2;SLC2A1;SOCS3	0.673952652	0.6201194742
Wu2021	high_vs_zero	up	Adrenergic signaling in cardiomyocytes	14558	1305	98	8	0.6613837798	ADCY1;AGTR1;ATP1A4;ATP2B1;CALML5;GNAQ;PPP1CC;PPP2CA	0.9644788105	0.9624401598
Wu2021	high_vs_zero	up	African trypanosomiasis	14558	1305	21	2	0.5733039032	GNAQ;ICAM1	0.9403870407	0.9185532151
Wu2021	high_vs_zero	up	Alanine, aspartate and glutamate metabolism	14558	1305	30	3	0.5118531321	ASRGL1;GLUD1;GLUL	0.9403870407	0.888628401
Wu2021	high_vs_zero	up	Alcoholism	14558	1305	122	14	0.2029080902	CALML5;FOSB;GRB2;H2AJ;H2BC21;H2BC5;H3-3B;H3-5;HDAC5;MAOA;MAOB;PPP1CC;PPP1R1B;SLC29A1	0.673952652	0.6162110178
