pathway	direction	p_value_Wu	q_contrast_Wu	overlap_n_Wu	genes_Wu	p_value_Pal	q_contrast_Pal	overlap_n_Pal	genes_Pal
ABC transporters	up	0.7121820978	0.9777120583	2	ABCA3;ABCD3	0.4202062508	0.7858402613	3	ABCA2;ABCA3;ABCC5
AGE-RAGE signaling pathway in diabetic complications	up	0.8486880692	1	6	AGTR1;BCL2;CDKN1B;EGR1;PRKCD;THBD	0.3194608433	0.7273100622	9	AGTR1;CDC42;COL1A1;COL3A1;HRAS;JUN;MAPK3;PLCB1;TGFB1
AMPK signaling pathway	up	0.6078004463	0.9498753766	9	CREB3L4;FBP1;G6PC3;IGF1R;INSR;IRS1;PPP2CA;RPS6KB1;SREBF1	0.3529254712	0.7446339612	10	CREB3L1;CREB3L4;EIF4EBP1;FASN;FBP1;G6PC3;IRS1;PPP2R2C;SREBF1;TSC2
Acute myeloid leukemia	up	0.6242819992	0.9532298678	5	BRAF;GRB2;IKBKB;RARA;RPS6KB1	0.3766830882	0.7612963467	6	EIF4EBP1;HRAS;IKBKB;MAPK3;PIM2;RARA
Adherens junction	up	0.3134987682	0.7316759429	8	AFDN;CTNNA1;CTNNB1;IGF1R;INSR;RAC3;RHOA;WASL	0.5391218551	0.8303053169	6	CDC42;FGFR1;MAPK3;NECTIN2;PTPN1;RAC2
Adipocytokine signaling pathway	up	0.7544116127	0.9971376994	4	G6PC3;IKBKB;IRS1;SOCS3	0.6397985517	0.9054642893	4	G6PC3;IKBKB;IRS1;RXRA
Adrenergic signaling in cardiomyocytes	up	0.705181989	0.9777120583	8	ADCY1;AGTR1;ATP1A4;ATP2A3;BCL2;CACNG4;CREB3L4;PPP2CA	0.06423321355	0.3448731246	13	ADCY1;ADCY9;AGTR1;ATP2A3;CACNA1D;CACNG4;CAMK2B;CREB3L1;CREB3L4;GNAI1;MAPK3;PLCB1;PPP2R2C
African trypanosomiasis	up	1	1	0	NA	0.4922150746	0.8270326387	2	APOA1;PLCB1
Alanine, aspartate and glutamate metabolism	up	0.539706221	0.9181432061	3	ABAT;GLUD1;GLUL	0.4202062508	0.7858402613	3	ABAT;ASL;GLUL
Alcoholism	up	0.1025791205	0.447977073	16	BRAF;CREB3L4;GRB2;H2AC15;H2AC20;H2AC6;H2AJ;H2BC18;H2BC21;H2BC5;H3-3B;H3-5;MAOB;PPP1R1B;SHC2;SLC29A1	0.01253938746	0.1578569347	17	CREB3L1;CREB3L4;FOSB;GNAI1;H2AC19;H2AJ;H2BC12;H2BC18;H2BC5;H3C10;H4C11;HDAC11;HRAS;MAOB;MAPK3;PKIA;TH
Aldosterone synthesis and secretion	up	0.8676268928	1	4	ADCY1;AGTR1;ATP1A4;CREB3L4	0.1929310371	0.5835887511	8	ADCY1;ADCY9;AGTR1;CACNA1D;CAMK2B;CREB3L1;CREB3L4;PLCB1
Aldosterone-regulated sodium reabsorption	up	0.3644119864	0.760059286	3	ATP1A4;INSR;IRS1	0.1309809072	0.4805414174	4	IRS1;MAPK3;SCNN1A;SCNN1B
Allograft rejection	up	1	1	0	NA	1	1	0	NA
Alzheimer disease	up	0.3135383173	0.7316759429	31	ATF6;ATP2A3;ATP5MC2;BECN1;BRAF;COX6A1;COX6C;COX7C;CSNK1A1;CTNNB1;IKBKB;INSR;IRS1;MAPT;NCSTN;NDUFA2;NDUFA5;NDUFB2;NDUFB8;NDUFV2;PIK3R4;PSENEN;PSMA1;PSMC5;TUBA3D;TUBA3E;UQCR11;UQCRQ;VDAC1;WIPI1;XBP1	0.8186318616	0.9844090862	22	ADRM1;ATP2A3;ATP5F1E;CACNA1D;COX6A1;COX6C;COX7A1;HRAS;IKBKB;IRS1;MAPK3;MAPT;NDUFA13;NDUFA2;NDUFB10;PLCB1;PSEN2;RB1CC1;UQCR11;UQCRQ;WNT7B;XBP1
Amino sugar and nucleotide sugar metabolism	up	0.7781679441	1	3	AMDHD2;CYB5R1;UGDH	0.7433356447	0.9621602952	3	AMDHD2;CYB5R1;UGDH
Aminoacyl-tRNA biosynthesis	up	1	1	0	NA	0.9844929085	1	1	CARS1
Amoebiasis	up	0.7938913751	1	5	ADCY1;HSPB1;LAMB2;PTK2;RAB5C	0.09522277053	0.4083031235	9	ADCY1;COL1A1;COL3A1;HSPB1;LAMA5;PLCB1;RAB5C;SERPINB6;TGFB1
Amphetamine addiction	up	0.6154110955	0.9507938619	4	ARC;CREB3L4;MAOB;PPP1R1B	0.001448208224	0.04634266316	11	ARC;CACNA1D;CAMK2B;CREB3L1;CREB3L4;FOS;FOSB;GRIA2;JUN;MAOB;TH
