cohort	contrast	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	library	p_resolution_note
Wu2021	high_vs_low_detected	prerank	Fatty acid elongation	-0.5233079192243256	-1.4004978622131128	0.0481283422459893	0.11541073827532283	0.985	9/25	10.63%	ACAA2;HADHA;HACD1;ELOVL1;ECHS1;HSD17B12;HACD2;MECR;TECR	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Steroid biosynthesis	-0.5154253619008634	-1.3094468934032382	0.11173184357541899	0.18484823487701882	1.0	14/18	41.25%	DHCR7;SQLE;LBR;TM7SF2;EBP;LSS;FDFT1;SC5D;SOAT1;CYP2R1;CYP51A1;CYP24A1;NSDHL;MSMO1	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Cholesterol metabolism	-0.43140496550099733	-1.193174573135326	0.22746331236897274	0.34551987672045514	1.0	15/31	27.76%	TSPO;NPC2;PLTP;VDAC2;APOE;LRP1;LRPAP1;LDLRAP1;ANGPTL4;ABCA1;SCARB1;LDLR;LIPG;VAPB;SOAT1	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Glycerolipid metabolism	-0.3964353307801319	-1.1423205662886122	0.2442827442827443	0.42348473561552863	1.0	20/46	33.35%	LPIN1;AKR1A1;AKR1B1;PLPP3;DGAT2;PLPP2;PNPLA3;DGKZ;AGPAT2;AGPAT5;ALDH7A1;LIPG;DGKH;AGPAT4;AGPAT1;AGPAT3;PLPP1;AKR1B10;GPAT3;LCLAT1	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Sphingolipid metabolism	0.25717481601655434	1.114135358866381	0.32	0.5197359179660065	0.795	6/38	2.86%	ASAH1;UGCG;CERS6;CERS2;DEGS2;CERS4	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Fatty acid biosynthesis	-0.44565869674832737	-1.0915420014535673	0.3697857948139797	0.520870320602175	1.0	5/15	25.35%	MECR;ACSL5;ACSL1;ACSL4;ACSF3	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Biosynthesis of unsaturated fatty acids	-0.39920566629489507	-1.0583317932346925	0.39737991266375544	0.606824252933681	1.0	6/25	10.63%	HACD1;ELOVL1;FADS1;HSD17B12;HACD2;TECR	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Choline metabolism in cancer	-0.3368640569140645	-1.0264756924212137	0.43762575452716296	0.6570401146371966	1.0	27/81	32.11%	WASF2;EGFR;PLPP3;RPS6KB2;PIK3R1;EIF4EBP1;RAC1;PLPP2;DGKZ;HIF1A;AKT1;PDGFA;MAP2K2;PDPK1;PDGFC;MTOR;MAP2K1;PLD1;AKT3;DGKH;PDGFRB;PRKCA;CHKA;SOS1;RHEB;PLPP1;NRAS	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Fatty acid degradation	-0.3633046794017059	-1.0061743681450455	0.49375	0.6923805681230091	1.0	11/34	22.48%	ACAA2;HADHA;ACAT1;ECHS1;ACAT2;ACSL5;ACSL1;ECI1;ADH5;ALDH7A1;ACSL4	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Ether lipid metabolism	-0.3213953480681854	-0.8842671833380875	0.6915113871635611	0.8546365230291707	1.0	17/33	40.21%	PLPP3;LPCAT2;PLA2G7;UGT8;PLPP2;PAFAH1B3;LPCAT4;PAFAH1B1;PLD3;PLD1;PLPP1;AGPS;PLA2G3;ENPP2;PEDS1;PLAAT3;PLA2G4A	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	PPAR signaling pathway	-0.29080496941972733	-0.8524629627714457	0.7563971340839304	0.8903207593836312	1.0	24/54	37.68%	PLIN2;FABP7;ME1;PLTP;FABP5;ACSL5;DBI;ACSL1;PPARA;PDPK1;ANGPTL4;HMGCS1;ACSL4;PPARG;MMP1;SLC27A5;HMGCS2;ILK;SLC27A1;FABP3;RXRA;LPL;CPT1A;FADS2	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Glycerophospholipid metabolism	-0.2785489255006472	-0.84228779251607	0.8094758064516129	0.8891715684903971	1.0	32/70	40.88%	LPIN1;PLPP3;PCYT2;LYPLA2;LPCAT2;LPCAT3;PTDSS1;PLPP2;DGKZ;LPCAT4;CDIPT;AGPAT2;AGPAT5;PLD3;MBOAT7;PLD1;DGKH;AGPAT4;AGPAT1;PLA2G15;AGPAT3;CHKA;PLPP1;GPAT3;LCLAT1;CRLS1;PLA2G3;GNPAT;PLAAT3;PLA2G4A;LPIN2;CHKB	KEGG_2021_Human	zero means below permutation resolution, not exact zero
