cancer	study_id	genes	source_url	pmid	doi	canonical_title	status	publication_types	linked_notices	statistical_unit	n_patient	new_patient_tests
BRCA	S001	ACLY	https://pubmed.ncbi.nlm.nih.gov/26928812/	26928812	10.1158/0008-5472.can-15-1646	Cyclin E Associates with the Lipogenic Enzyme ATP-Citrate Lyase to Enable Malignant Growth of Breast Cancer Cells.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, Non-U.S. Gov't;research-article;Journal Article;Research Support, N.I.H., Extramural	[]	publication_record	NA	0
BRCA	S002	ADA	https://www.serbiosoc.org.rs/arch/index.php/abs/article/view/2642	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S003	ADA2	https://pubmed.ncbi.nlm.nih.gov/33916440/	33916440	10.3390/ijms22073764	Macrophage-Derived Adenosine Deaminase 2 Correlates with M2 Macrophage Phenotype in Triple Negative Breast Cancer.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	research-article;Journal Article	[]	publication_record	NA	0
BRCA	S004	AHCY	https://www.nature.com/articles/s41598-018-32356-8	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S005	AOX1	https://pubmed.ncbi.nlm.nih.gov/30293322/	30293322	10.3760/cma.j.issn.0254-6450.2018.09.023	[Association between AOX1, IRF4 methylation in peripheral blood leukocyte DNA and the risks of breast cancer: a case-control study].	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Journal Article	[]	publication_record	NA	0
BRCA	S006	ASNS	https://pubmed.ncbi.nlm.nih.gov/29414946/	29414946	10.1038/nature25465	Asparagine bioavailability governs metastasis in a model of breast cancer.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, Non-U.S. Gov't;research-article;Validation Study;Journal Article;Research Support, N.I.H., Extramural	"[{""source"": ""MED"", ""id"": ""29453237"", ""reference"": ""Cancer Discov. 2018 Apr;8(4):381. doi: 10.1158/2159-8290.CD-RW2018-026."", ""type"": ""Comment in"", ""orderIn"": 1}, {""source"": ""MED"", ""id"": ""29620732"", ""reference"": ""Nature. 2018 Apr 4;556(7699):135. doi: 10.1038/nature26162."", ""type"": ""Erratum in"", ""orderIn"": 2}, {""source"": ""MED"", ""id"": ""29719230"", ""reference"": ""Cell Metab. 2018 May 01;27(5):947-949. doi: 10.1016/j.cmet.2018.04.012."", ""type"": ""Comment in"", ""orderIn"": 3}]"	publication_record	NA	0
BRCA	S007	ASNS	https://pubmed.ncbi.nlm.nih.gov/40531994/	40531994	10.1126/sciadv.adt3075	FAM50A drives breast cancer brain metastasis through interaction with C9ORF78 to enhance ʟ-asparagine production.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	research-article;Journal Article	[]	publication_record	NA	0
BRCA	S008	ASS1	https://www.nature.com/articles/s41419-024-06672-z	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S009	ASS1	https://pubmed.ncbi.nlm.nih.gov/24692592/	24692592	10.1126/scisignal.2004761	Arginine starvation impairs mitochondrial respiratory function in ASS1-deficient breast cancer cells.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, Non-U.S. Gov't;research-article;Journal Article;Research Support, N.I.H., Extramural	[]	publication_record	NA	0
BRCA	S010	ASS1	https://www.nature.com/articles/s41467-021-22235-8	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S011	BBOX1	https://pubmed.ncbi.nlm.nih.gov/32690540/	32690540	10.1158/2159-8290.cd-20-0288	Identification of BBOX1 as a Therapeutic Target in Triple-Negative Breast Cancer.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, Non-U.S. Gov't;research-article;Journal Article;Research Support, N.I.H., Extramural	[]	publication_record	NA	0
BRCA	S012	BCAT1	https://pubmed.ncbi.nlm.nih.gov/28319069/	28319069	10.1038/onc.2017.32	The branched-chain amino acid transaminase 1 sustains growth of antiestrogen-resistant and ERα-negative breast cancer.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Journal Article	[]	publication_record	NA	0
BRCA	S013	BCAT1	https://pubmed.ncbi.nlm.nih.gov/32523652/	32523652	10.18632/oncotarget.27607	BCATc modulates crosstalk between the PI3K/Akt and the Ras/ERK pathway regulating proliferation in triple negative breast cancer.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	research-article;Journal Article	[]	publication_record	NA	0
BRCA	S014	CDO1	https://aacrjournals.org/clincancerres/article/19/12/3201/77652/Frequent-Inactivation-of-Cysteine-Dioxygenase-Type	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S015	CEPT1	https://www.sciencedirect.com/science/article/abs/pii/S1001841722006179	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S016	CHKA	https://link.springer.com/article/10.1186/s13058-015-0532-0	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S017	CHPT1	https://pubmed.ncbi.nlm.nih.gov/27457520/	27457520	10.1158/0008-5472.can-15-2910	Estrogen Receptor α Promotes Breast Cancer by Reprogramming Choline Metabolism.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Journal Article	"[{""source"": ""MED"", ""id"": ""31615812"", ""reference"": ""Cancer Res. 2019 Oct 15;79(20):5458. doi: 10.1158/0008-5472.CAN-19-2632"", ""type"": ""Erratum in"", ""orderIn"": 1}]"	publication_record	NA	0
BRCA	S018	CKB	https://pubmed.ncbi.nlm.nih.gov/35008190/	35008190	10.3390/cancers14010027	HIF-Dependent CKB Expression Promotes Breast Cancer Metastasis, Whereas Cyclocreatine Therapy Impairs Cellular Invasion and Improves Chemotherapy Efficacy.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	research-article;Journal Article	"[{""source"": ""PPR"", ""id"": ""PPR393092"", ""type"": ""Preprint in"", ""note"": ""CrossRef Pre-print loader"", ""orderIn"": 10002}]"	publication_record	NA	0
BRCA	S019	CMAS	https://pubs.acs.org/doi/10.1021/acschembio.6b00433	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S020	CMAS	https://www.nature.com/articles/s41467-026-73401-9	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S021	CMPK1	https://pubmed.ncbi.nlm.nih.gov/27558661/	27558661	10.1038/srep32027	Prognostic significance of nuclear expression of UMP-CMP kinase in triple negative breast cancer patients.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, Non-U.S. Gov't;research-article;Multicenter Study;Journal Article	[]	publication_record	NA	0
BRCA	S022	CPT1A	https://pubmed.ncbi.nlm.nih.gov/34514415/	34514415	10.1093/narcan/zcab035	CPT1A and fatty acid β-oxidation are essential for tumor cell growth and survival in hormone receptor-positive breast cancer.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	research-article;Journal Article	[]	publication_record	NA	0
BRCA	S023	CPT1A	https://pubmed.ncbi.nlm.nih.gov/26799588/	26799588	10.18632/oncotarget.6964	Carnitine palmitoyl transferase-1A (CPT1A): a new tumor specific target in human breast cancer.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	research-article;Journal Article	[]	publication_record	NA	0
BRCA	S024	CPT1A; CPT2	https://pubmed.ncbi.nlm.nih.gov/31803610/	31803610	10.3389/fonc.2019.01201	CPT1A/2-Mediated FAO Enhancement-A Metabolic Target in Radioresistant Breast Cancer.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	research-article;Journal Article	[]	publication_record	NA	0
BRCA	S025	CPT1B	https://pubmed.ncbi.nlm.nih.gov/29249690/	29249690	10.1016/j.cmet.2017.11.001	JAK/STAT3-Regulated Fatty Acid β-Oxidation Is Critical for Breast Cancer Stem Cell Self-Renewal and Chemoresistance.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, Non-U.S. Gov't;research-article;Journal Article;Research Support, N.I.H., Extramural	"[{""source"": ""MED"", ""id"": ""29874570"", ""reference"": ""Cell Metab. 2018 Jun 05;27(6):1357. doi: 10.1016/j.cmet.2018.04.018"", ""type"": ""Erratum in"", ""orderIn"": 1}, {""source"": ""MED"", ""id"": ""33063947"", ""reference"": ""Thorac Cancer. 2020 Dec;11(12):3422-3424. doi: 10.1111/1759-7714.13691"", ""type"": ""Comment in"", ""orderIn"": 2}]"	publication_record	NA	0
BRCA	S026	CPT2	https://pubmed.ncbi.nlm.nih.gov/33207079/	33207079	10.1002/1878-0261.12856	HRD1 inhibits fatty acid oxidation and tumorigenesis by ubiquitinating CPT2 in triple-negative breast cancer.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, Non-U.S. Gov't;research-article;Journal Article	[]	publication_record	NA	0
BRCA	S027	CS; FH	https://pubmed.ncbi.nlm.nih.gov/36866961/	36866961	10.1111/febs.16768	MAEL facilitates metabolic reprogramming and breast cancer progression by promoting the degradation of citrate synthase and fumarate hydratase via chaperone-mediated autophagy.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, Non-U.S. Gov't;Journal Article	[]	publication_record	NA	0
BRCA	S028	CTNS	https://pubmed.ncbi.nlm.nih.gov/37751742/	37751742	10.1016/j.molcel.2023.08.032	Lysosomal cyst(e)ine storage potentiates tolerance to oxidative stress in cancer cells.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Journal Article	[]	publication_record	NA	0
BRCA	S029	CRAT	https://academic.oup.com/endo/article/167/1/bqaf168/8320418	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S030	DPYD	https://pubmed.ncbi.nlm.nih.gov/24040364/	24040364	10.1371/journal.pone.0074928	53BP1 sensitizes breast cancer cells to 5-fluorouracil.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, Non-U.S. Gov't;research-article;Journal Article	[]	publication_record	NA	0
BRCA	S031	ETNK1	https://pubmed.ncbi.nlm.nih.gov/38694857/	38694857	10.18502/ijph.v53i1.14697	MiR-103a-3p Promotes Tumorigenesis of Breast Cancer by Targeting ETNK1.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	research-article;Journal Article	[]	publication_record	NA	0
BRCA	S032	ETNK1	https://pubmed.ncbi.nlm.nih.gov/42003071/	42003071	10.1002/ddr.70289	Cyclophosphamide Induces Autophagy-Dependent Ferroptosis Through Promoting ETNK1 Expression in Breast Cancer Cells.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Journal Article	[]	publication_record	NA	0
BRCA	S033	FDFT1	https://pubmed.ncbi.nlm.nih.gov/39461203/	39461203	10.1016/j.phymed.2024.156155	Artemisitene induces apoptosis of breast cancer cells by targeting FDFT1 and inhibits the growth of breast cancer patient-derived organoids.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Journal Article	[]	publication_record	NA	0
BRCA	S034	FDFT1	https://pmc.ncbi.nlm.nih.gov/articles/PMC12116638/	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S035	FDFT1	https://pubmed.ncbi.nlm.nih.gov/40619388/	40619388	10.1186/s13058-025-02078-7	THEM6 modulates carboplatin sensitivity by regulating ferroptosis through FDFT1 in triple-negative breast cancer.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	research-article;Journal Article	[]	publication_record	NA	0
BRCA	S036	FH	https://link.springer.com/article/10.1186/s40170-025-00397-z	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S037	FOLH1	https://pubmed.ncbi.nlm.nih.gov/38664014/	38664014	10.2967/jnumed.123.266659	Frequent Amplification and Overexpression of PSMA in Basallike Breast Cancer from Analysis of The Cancer Genome Atlas.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Journal Article	[]	publication_record	NA	0
BRCA	S038	GCLC	https://pubs.acs.org/doi/10.1021/tx200090n	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S039	GDPD5; GPCPD1	https://pubmed.ncbi.nlm.nih.gov/27356959/	27356959	10.1002/nbm.3573	Targeting choline phospholipid metabolism: GDPD5 and GDPD6 silencing decrease breast cancer cell proliferation, migration, and invasion.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	research-article;Journal Article;Research Support, N.I.H., Extramural	[]	publication_record	NA	0
