key	field	review_value	pinned_value	status
KEGG:C00670|GPCPD1|ER_PC12	rho	-0.4596628214545334	-0.4596628214545334	DONE
KEGG:C00670|GPCPD1|ER_PC12	ci_lower	-0.6417283413378999	-0.6417283413378999	DONE
KEGG:C00670|GPCPD1|ER_PC12	ci_upper	-0.2058168379033464	-0.2058168379033464	DONE
KEGG:C00670|GPCPD1|ER_PC12	p	0.0004	0.0004	DONE
KEGG:C00670|GPCPD1|ER_PC12	q	0.0342	0.0342	DONE
KEGG:C00670|GPCPD1|ER_PC12	n_specimens	61	61.0	DONE
KEGG:C00670|GPCPD1|ER_PC12	ER_same_subset_rho	-0.5152108107796246	-0.5152108107796246	DONE
KEGG:C00670|GPCPD1|ER_PC12	ER_same_subset_q	0.0171	0.0171	DONE
KEGG:C00670|GPCPD1|ER_PC12	gene	GPCPD1	GPCPD1	DONE
KEGG:C00670|GPCPD1|ER_MonoEndoFib	rho	-0.5249905197102464	-0.5249905197102464	DONE
KEGG:C00670|GPCPD1|ER_MonoEndoFib	ci_lower	-0.6986736999127124	-0.6986736999127124	DONE
KEGG:C00670|GPCPD1|ER_MonoEndoFib	ci_upper	-0.3118868608089296	-0.3118868608089296	DONE
KEGG:C00670|GPCPD1|ER_MonoEndoFib	p	0.0001	0.0001	DONE
KEGG:C00670|GPCPD1|ER_MonoEndoFib	q	0.0171	0.0171	DONE
KEGG:C00670|GPCPD1|ER_MonoEndoFib	n_specimens	61	61.0	DONE
KEGG:C00670|GPCPD1|ER_MonoEndoFib	ER_same_subset_rho	-0.5152108107796246	-0.5152108107796246	DONE
KEGG:C00670|GPCPD1|ER_MonoEndoFib	ER_same_subset_q	0.0171	0.0171	DONE
KEGG:C00670|GPCPD1|ER_MonoEndoFib	gene	GPCPD1	GPCPD1	DONE
KEGG:C00668|GPI|ER_PC12	rho	0.4491522767428949	0.4491522767428949	DONE
KEGG:C00668|GPI|ER_PC12	ci_lower	0.2151413936911405	0.2151413936911405	DONE
KEGG:C00668|GPI|ER_PC12	ci_upper	0.6566293721945479	0.6566293721945479	DONE
KEGG:C00668|GPI|ER_PC12	p	0.0004	0.0004	DONE
KEGG:C00668|GPI|ER_PC12	q	0.0342	0.0342	DONE
KEGG:C00668|GPI|ER_PC12	n_specimens	60	60.0	DONE
KEGG:C00668|GPI|ER_PC12	ER_same_subset_rho	0.4581904380034955	0.4581904380034955	DONE
KEGG:C00668|GPI|ER_PC12	ER_same_subset_q	0.0285	0.0285	DONE
KEGG:C00668|GPI|ER_PC12	gene	GPI	GPI	DONE
KEGG:C00668|GPI|ER_MonoEndoFib	rho	0.4548728165334381	0.4548728165334381	DONE
KEGG:C00668|GPI|ER_MonoEndoFib	ci_lower	0.2027251732064032	0.2027251732064032	DONE
KEGG:C00668|GPI|ER_MonoEndoFib	ci_upper	0.6404989248557207	0.6404989248557207	DONE
KEGG:C00668|GPI|ER_MonoEndoFib	p	0.0006	0.0006	DONE
KEGG:C00668|GPI|ER_MonoEndoFib	q	0.0513	0.0513	DONE
KEGG:C00668|GPI|ER_MonoEndoFib	n_specimens	60	60.0	DONE
KEGG:C00668|GPI|ER_MonoEndoFib	ER_same_subset_rho	0.4581904380034955	0.4581904380034955	DONE
KEGG:C00668|GPI|ER_MonoEndoFib	ER_same_subset_q	0.0285	0.0285	DONE
KEGG:C00668|GPI|ER_MonoEndoFib	gene	GPI	GPI	DONE
KEGG:C00064|ASNS|ER_PC12	rho	-0.2272883829107433	-0.2272883829107433	DONE
KEGG:C00064|ASNS|ER_PC12	ci_lower	-0.469214300590576	-0.469214300590576	DONE
KEGG:C00064|ASNS|ER_PC12	ci_upper	0.0070187112649772	0.0070187112649772	DONE
KEGG:C00064|ASNS|ER_PC12	p	0.0912	0.0912	DONE
KEGG:C00064|ASNS|ER_PC12	q	0.5198400000000001	0.5198400000000001	DONE
KEGG:C00064|ASNS|ER_PC12	n_specimens	61	61.0	DONE
KEGG:C00064|ASNS|ER_PC12	ER_same_subset_rho	-0.3948321624319598	-0.3948321624319598	DONE
KEGG:C00064|ASNS|ER_PC12	ER_same_subset_q	0.0534375	0.0534375	DONE
KEGG:C00064|ASNS|ER_PC12	gene	ASNS	ASNS	DONE
KEGG:C00064|ASNS|ER_MonoEndoFib	rho	-0.3228805368862193	-0.3228805368862193	DONE
KEGG:C00064|ASNS|ER_MonoEndoFib	ci_lower	-0.5345296521155617	-0.5345296521155617	DONE
KEGG:C00064|ASNS|ER_MonoEndoFib	ci_upper	-0.0788639225833432	-0.0788639225833432	DONE
KEGG:C00064|ASNS|ER_MonoEndoFib	p	0.0108	0.0108	DONE
KEGG:C00064|ASNS|ER_MonoEndoFib	q	0.2931428571428571	0.2931428571428571	DONE
KEGG:C00064|ASNS|ER_MonoEndoFib	n_specimens	61	61.0	DONE
KEGG:C00064|ASNS|ER_MonoEndoFib	ER_same_subset_rho	-0.3948321624319598	-0.3948321624319598	DONE
KEGG:C00064|ASNS|ER_MonoEndoFib	ER_same_subset_q	0.0534375	0.0534375	DONE
KEGG:C00064|ASNS|ER_MonoEndoFib	gene	ASNS	ASNS	DONE
KEGG:C02918|NNMT|ER_PC12	rho	0.2977188642126262	0.2977188642126262	DONE
KEGG:C02918|NNMT|ER_PC12	ci_lower	0.0273321191772735	0.0273321191772735	DONE
KEGG:C02918|NNMT|ER_PC12	ci_upper	0.5068870639872084	0.5068870639872084	DONE
KEGG:C02918|NNMT|ER_PC12	p	0.022	0.022	DONE
KEGG:C02918|NNMT|ER_PC12	q	0.314925	0.314925	DONE
KEGG:C02918|NNMT|ER_PC12	n_specimens	61	61.0	DONE
KEGG:C02918|NNMT|ER_PC12	ER_same_subset_rho	0.3844277473038987	0.3844277473038987	DONE
KEGG:C02918|NNMT|ER_PC12	ER_same_subset_q	0.0534375	0.0534375	DONE
KEGG:C02918|NNMT|ER_PC12	gene	NNMT	NNMT	DONE
KEGG:C02918|NNMT|ER_MonoEndoFib	rho	0.2336794266276177	0.2336794266276177	DONE
KEGG:C02918|NNMT|ER_MonoEndoFib	ci_lower	-0.0729423441520104	-0.0729423441520104	DONE
KEGG:C02918|NNMT|ER_MonoEndoFib	ci_upper	0.4525855620270444	0.4525855620270444	DONE
KEGG:C02918|NNMT|ER_MonoEndoFib	p	0.0856	0.0856	DONE
KEGG:C02918|NNMT|ER_MonoEndoFib	q	0.5383551724137932	0.5383551724137932	DONE
KEGG:C02918|NNMT|ER_MonoEndoFib	n_specimens	61	61.0	DONE
KEGG:C02918|NNMT|ER_MonoEndoFib	ER_same_subset_rho	0.3844277473038987	0.3844277473038987	DONE
KEGG:C02918|NNMT|ER_MonoEndoFib	ER_same_subset_q	0.0534375	0.0534375	DONE
KEGG:C02918|NNMT|ER_MonoEndoFib	gene	NNMT	NNMT	DONE
KEGG:C00242|PNP|ER_PC12	rho	0.3975177521136612	0.3975177521136612	DONE
KEGG:C00242|PNP|ER_PC12	ci_lower	0.1220450787423209	0.1220450787423209	DONE
KEGG:C00242|PNP|ER_PC12	ci_upper	0.6113141818683182	0.6113141818683182	DONE
KEGG:C00242|PNP|ER_PC12	p	0.0028	0.0028	DONE
KEGG:C00242|PNP|ER_PC12	q	0.1368	0.1368	DONE
KEGG:C00242|PNP|ER_PC12	n_specimens	60	60.0	DONE
KEGG:C00242|PNP|ER_PC12	ER_same_subset_rho	0.4638239434100776	0.4638239434100776	DONE
KEGG:C00242|PNP|ER_PC12	ER_same_subset_q	0.0285	0.0285	DONE
KEGG:C00242|PNP|ER_PC12	gene	PNP	PNP	DONE
KEGG:C00242|PNP|ER_MonoEndoFib	rho	0.3066719394929129	0.3066719394929129	DONE
KEGG:C00242|PNP|ER_MonoEndoFib	ci_lower	0.0654400142477084	0.0654400142477084	DONE
KEGG:C00242|PNP|ER_MonoEndoFib	ci_upper	0.5218531424067894	0.5218531424067894	DONE
KEGG:C00242|PNP|ER_MonoEndoFib	p	0.0187	0.0187	DONE
KEGG:C00242|PNP|ER_MonoEndoFib	q	0.3553	0.3553	DONE
KEGG:C00242|PNP|ER_MonoEndoFib	n_specimens	60	60.0	DONE
KEGG:C00242|PNP|ER_MonoEndoFib	ER_same_subset_rho	0.4638239434100776	0.4638239434100776	DONE
KEGG:C00242|PNP|ER_MonoEndoFib	ER_same_subset_q	0.0285	0.0285	DONE
KEGG:C00242|PNP|ER_MonoEndoFib	gene	PNP	PNP	DONE
KEGG:C00275|PMM2|ER_PC12	rho	0.3064098723440674	0.3064098723440674	DONE
KEGG:C00275|PMM2|ER_PC12	ci_lower	-0.0114981401131545	-0.0114981401131545	DONE
KEGG:C00275|PMM2|ER_PC12	ci_upper	0.5572694497614515	0.5572694497614515	DONE
KEGG:C00275|PMM2|ER_PC12	p	0.031	0.031	DONE
KEGG:C00275|PMM2|ER_PC12	q	0.4077692307692308	0.4077692307692308	DONE
KEGG:C00275|PMM2|ER_PC12	n_specimens	51	51.0	DONE
KEGG:C00275|PMM2|ER_PC12	ER_same_subset_rho	0.2696828886037689	0.2696828886037689	DONE
KEGG:C00275|PMM2|ER_PC12	ER_same_subset_q	0.301921875	0.301921875	DONE
KEGG:C00275|PMM2|ER_PC12	gene	PMM2	PMM2	DONE
KEGG:C00275|PMM2|ER_MonoEndoFib	rho	0.2499544850843636	0.2499544850843636	DONE
KEGG:C00275|PMM2|ER_MonoEndoFib	ci_lower	-0.0609193801730607	-0.0609193801730607	DONE
KEGG:C00275|PMM2|ER_MonoEndoFib	ci_upper	0.5345160369770453	0.5345160369770453	DONE
KEGG:C00275|PMM2|ER_MonoEndoFib	p	0.0898	0.0898	DONE
KEGG:C00275|PMM2|ER_MonoEndoFib	q	0.5383551724137932	0.5383551724137932	DONE
KEGG:C00275|PMM2|ER_MonoEndoFib	n_specimens	51	51.0	DONE
KEGG:C00275|PMM2|ER_MonoEndoFib	ER_same_subset_rho	0.2696828886037689	0.2696828886037689	DONE
KEGG:C00275|PMM2|ER_MonoEndoFib	ER_same_subset_q	0.301921875	0.301921875	DONE
KEGG:C00275|PMM2|ER_MonoEndoFib	gene	PMM2	PMM2	DONE
KEGG:C00149|MDH2|ER_PC12	rho	0.0449900719995007	0.0449900719995007	DONE
KEGG:C00149|MDH2|ER_PC12	ci_lower	-0.2280214126203406	-0.2280214126203406	DONE
KEGG:C00149|MDH2|ER_PC12	ci_upper	0.3134950994327048	0.3134950994327048	DONE
KEGG:C00149|MDH2|ER_PC12	p	0.7347	0.7347	DONE
KEGG:C00149|MDH2|ER_PC12	q	0.8633157534246576	0.8633157534246576	DONE
KEGG:C00149|MDH2|ER_PC12	n_specimens	61	61.0	DONE
KEGG:C00149|MDH2|ER_PC12	ER_same_subset_rho	0.1884641169872589	0.1884641169872589	DONE
KEGG:C00149|MDH2|ER_PC12	ER_same_subset_q	0.43498125	0.43498125	DONE
KEGG:C00149|MDH2|ER_PC12	gene	MDH2	MDH2	DONE
KEGG:C00149|MDH2|ER_MonoEndoFib	rho	0.0559690224351996	0.0559690224351996	DONE
KEGG:C00149|MDH2|ER_MonoEndoFib	ci_lower	-0.2266949598706001	-0.2266949598706001	DONE
KEGG:C00149|MDH2|ER_MonoEndoFib	ci_upper	0.316168586301385	0.316168586301385	DONE
