gene	relation_id	metabolite_cn	n_specimens	ER_same_subset_rho	ER_same_subset_q	ER_PC12_rho	ER_PC12_ci_lower	ER_PC12_ci_upper	ER_PC12_p	ER_PC12_q	ER_MonoEndoFib_rho	ER_MonoEndoFib_ci_lower	ER_MonoEndoFib_ci_upper	ER_MonoEndoFib_p	ER_MonoEndoFib_q	source_url	scope
GPCPD1	KEGG:C00670|GPCPD1	GPC	61	-0.5152108107796246	0.0171	-0.4596628214545334	-0.6417283413378999	-0.2058168379033464	0.0004	0.0342	-0.5249905197102464	-0.6986736999127124	-0.3118868608089296	0.0001	0.0171	https://github.com/Asukasssss/-/blob/fb5924b/results/BRCA/04_ROBUSTNESS/20260919T151200Z_all117_robustness_v2/all117_next_actions_CN.tsv	selected_relations_transcription_not_full348;no_new_patient_tests
GPI	KEGG:C00668|GPI	葡萄糖-6-磷酸	60	0.4581904380034955	0.0285	0.4491522767428949	0.2151413936911405	0.6566293721945479	0.0004	0.0342	0.4548728165334381	0.2027251732064032	0.6404989248557207	0.0006	0.0513	https://github.com/Asukasssss/-/blob/fb5924b/results/BRCA/04_ROBUSTNESS/20260919T151200Z_all117_robustness_v2/all117_next_actions_CN.tsv	selected_relations_transcription_not_full348;no_new_patient_tests
ASNS	KEGG:C00064|ASNS	谷氨酰胺	61	-0.3948321624319598	0.0534375	-0.2272883829107433	-0.469214300590576	0.0070187112649772	0.0912	0.5198400000000001	-0.3228805368862193	-0.5345296521155617	-0.0788639225833432	0.0108	0.2931428571428571	https://github.com/Asukasssss/-/blob/fb5924b/results/BRCA/04_ROBUSTNESS/20260919T151200Z_all117_robustness_v2/all117_next_actions_CN.tsv	selected_relations_transcription_not_full348;no_new_patient_tests
NNMT	KEGG:C02918|NNMT	1-MNA	61	0.3844277473038987	0.0534375	0.2977188642126262	0.0273321191772735	0.5068870639872084	0.022	0.314925	0.2336794266276177	-0.0729423441520104	0.4525855620270444	0.0856	0.5383551724137932	https://github.com/Asukasssss/-/blob/fb5924b/results/BRCA/04_ROBUSTNESS/20260919T151200Z_all117_robustness_v2/all117_next_actions_CN.tsv	selected_relations_transcription_not_full348;no_new_patient_tests
PNP	KEGG:C00242|PNP	鸟嘌呤	60	0.4638239434100776	0.0285	0.3975177521136612	0.1220450787423209	0.6113141818683182	0.0028	0.1368	0.3066719394929129	0.0654400142477084	0.5218531424067894	0.0187	0.3553	https://github.com/Asukasssss/-/blob/fb5924b/results/BRCA/04_ROBUSTNESS/20260919T151200Z_all117_robustness_v2/all117_next_actions_CN.tsv	selected_relations_transcription_not_full348;no_new_patient_tests
PMM2	KEGG:C00275|PMM2	甘露糖-6-磷酸	51	0.2696828886037689	0.301921875	0.3064098723440674	-0.0114981401131545	0.5572694497614515	0.031	0.4077692307692308	0.2499544850843636	-0.0609193801730607	0.5345160369770453	0.0898	0.5383551724137932	https://github.com/Asukasssss/-/blob/fb5924b/results/BRCA/04_ROBUSTNESS/20260919T151200Z_all117_robustness_v2/all117_next_actions_CN.tsv	selected_relations_transcription_not_full348;no_new_patient_tests
MDH2	KEGG:C00149|MDH2	苹果酸	61	0.1884641169872589	0.43498125	0.0449900719995007	-0.2280214126203406	0.3134950994327048	0.7347	0.8633157534246576	0.0559690224351996	-0.2266949598706001	0.316168586301385	0.6862	0.9297	https://github.com/Asukasssss/-/blob/fb5924b/results/BRCA/04_ROBUSTNESS/20260919T151200Z_all117_robustness_v2/all117_next_actions_CN.tsv	selected_relations_transcription_not_full348;no_new_patient_tests
PYCR1	KEGG:C00148|PYCR1	脯氨酸	61	0.2933570167640607	0.19665	0.2638051076295854	-0.0273041829110624	0.5267682237505704	0.0473	0.4317750000000001	0.2622782207355422	0.0184057753633969	0.5247888434516933	0.0529	0.452295	https://github.com/Asukasssss/-/blob/fb5924b/results/BRCA/04_ROBUSTNESS/20260919T151200Z_all117_robustness_v2/all117_next_actions_CN.tsv	selected_relations_transcription_not_full348;no_new_patient_tests
NAMPT	KEGG:C00153|NAMPT	烟酰胺	58	-0.051975359060647	0.83469375	0.0425324927212303	-0.2357518664912536	0.2856602706039354	0.7631	0.8700882352941176	0.0153701960920515	-0.2679670806029393	0.286924498141729	0.9148	0.9501381818181818	https://github.com/Asukasssss/-/blob/fb5924b/results/BRCA/04_ROBUSTNESS/20260919T151200Z_all117_robustness_v2/all117_next_actions_CN.tsv	selected_relations_transcription_not_full348;no_new_patient_tests
BCAT1	KEGG:C00025|BCAT1	谷氨酸	61	0.2099062996636585	0.3379978723404255	0.3233231045890862	0.0892003445981647	0.5456033856978627	0.0118	0.252225	0.1454576120457453	-0.1053762208016978	0.403413321699425	0.2824	0.7429447058823531	https://github.com/Asukasssss/-/blob/fb5924b/results/BRCA/04_ROBUSTNESS/20260919T151200Z_all117_robustness_v2/all117_next_actions_CN.tsv	selected_relations_transcription_not_full348;no_new_patient_tests
