gene	Wu_top	Wu_bootstrap_top_frequency	Wu_runner	Wu_paired_n	Wu_paired_positive_fraction	Pal_top	Pal_bootstrap_top_frequency	Pal_runner	Pal_paired_n	Pal_paired_positive_fraction	two_source_stable_rule	source_url	scope
GPCPD1	Myeloid	0.998	T_NK_cells	26	0.8846153846153846	Myeloid	0.996	Endothelial	23	0.6956521739130435	True	https://github.com/Asukasssss/-/blob/fb5924b/results/BRCA/04_ROBUSTNESS/20260919T151200Z_all117_robustness_v2/all117_next_actions_CN.tsv	selected_gene_check_not_full117_rerun
GPI	Malignant_epithelial	0.999	Perivascular	18	0.6666666666666666	Malignant_epithelial	0.989	Perivascular	15	0.7333333333333333	True	https://github.com/Asukasssss/-/blob/fb5924b/results/BRCA/04_ROBUSTNESS/20260919T151200Z_all117_robustness_v2/all117_next_actions_CN.tsv	selected_gene_check_not_full117_rerun
ASNS	Malignant_epithelial	0.972	Plasma_cells	11	0.7272727272727273	Malignant_epithelial	0.926	Perivascular	15	0.8	True	https://github.com/Asukasssss/-/blob/fb5924b/results/BRCA/04_ROBUSTNESS/20260919T151200Z_all117_robustness_v2/all117_next_actions_CN.tsv	selected_gene_check_not_full117_rerun
NNMT	Fibroblasts	1.0	Endothelial	21	0.9047619047619048	Fibroblasts	1.0	Perivascular	15	1.0	True	https://github.com/Asukasssss/-/blob/fb5924b/results/BRCA/04_ROBUSTNESS/20260919T151200Z_all117_robustness_v2/all117_next_actions_CN.tsv	selected_gene_check_not_full117_rerun
PNP	Endothelial	1.0	Myeloid	24	0.9583333333333334	Endothelial	1.0	Myeloid	23	0.9130434782608696	True	https://github.com/Asukasssss/-/blob/fb5924b/results/BRCA/04_ROBUSTNESS/20260919T151200Z_all117_robustness_v2/all117_next_actions_CN.tsv	selected_gene_check_not_full117_rerun
PMM2	Malignant_epithelial	0.998	Nonmalignant_epithelial	8	0.875	Malignant_epithelial	0.72	Plasma_cells	17	0.7647058823529411	False	https://github.com/Asukasssss/-/blob/fb5924b/results/BRCA/04_ROBUSTNESS/20260919T151200Z_all117_robustness_v2/all117_next_actions_CN.tsv	selected_gene_check_not_full117_rerun
MDH2	Malignant_epithelial	1.0	Nonmalignant_epithelial	8	0.875	Malignant_epithelial	1.0	Perivascular	15	1.0	True	https://github.com/Asukasssss/-/blob/fb5924b/results/BRCA/04_ROBUSTNESS/20260919T151200Z_all117_robustness_v2/all117_next_actions_CN.tsv	selected_gene_check_not_full117_rerun
PYCR1	Malignant_epithelial	1.0	Fibroblasts	17	0.9411764705882352	Malignant_epithelial	1.0	Fibroblasts	30	0.8	True	https://github.com/Asukasssss/-/blob/fb5924b/results/BRCA/04_ROBUSTNESS/20260919T151200Z_all117_robustness_v2/all117_next_actions_CN.tsv	selected_gene_check_not_full117_rerun
NAMPT	Myeloid	1.0	Nonmalignant_epithelial	10	0.8	Myeloid	1.0	Endothelial	23	0.9130434782608696	True	https://github.com/Asukasssss/-/blob/fb5924b/results/BRCA/04_ROBUSTNESS/20260919T151200Z_all117_robustness_v2/all117_next_actions_CN.tsv	selected_gene_check_not_full117_rerun
BCAT1	Myeloid	1.0	Fibroblasts	23	0.8695652173913043	Myeloid	1.0	Fibroblasts	30	0.9	True	https://github.com/Asukasssss/-/blob/fb5924b/results/BRCA/04_ROBUSTNESS/20260919T151200Z_all117_robustness_v2/all117_next_actions_CN.tsv	selected_gene_check_not_full117_rerun
