cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	pairs_higher	pairs_lower	pairs_equal	higher_fraction	lower_fraction	n_both_author_available	n_pairs_with_at_least_one_author_missing	old_hedges_g	old_p	old_q	old_n_tumor	old_n_normal	old_design	median_paired_difference	w_positive	w_negative	paired_rank_biserial	seed	nonzero_pairs	normal_approximation_warning	same_mean_direction_as_old_g	pairs_in_old_direction	fraction_in_old_direction	n_available	effect_available	median_paired_difference_available	paired_rank_biserial_available	q_value_available	pairs_higher_available	pairs_lower_available	pairs_equal_available	normal_approximation_warning_available	available_direction_matches_primary	mean_direction_matches_signed_rank	old_significant	new_significant
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_processed	HMDB:HMDB11517	1-arachidonoyl-GPE (20:4n6)	NA	author_paired_case	45	45	mean_paired_difference_author_scale	-0.3142755081916821	-0.7337687007009729	0.1029257018168857	0.1390917664391409	0.2028953290259029	paired_processed	318.0	DONE	NA	CAMP_processed_original_author_pair_table	18	25	2	0.4	0.5555555555555556	35	10	-0.310516867127219	0.0216839281747237	0.0401277291509255	61	47	Unpaired; author supplied processed values; no new transformation	-0.2645744320141006	350.0	596.0	-0.2600422832980972	1760592682.0	43	False	True	25	0.5555555555555556	35	-0.6900544444887714	-0.5424975247735997	-0.6095238095238096	0.0078132896492472	11	24	0	False	True	True	True	False
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_processed	HMDB:HMDB61696	1-stearoyl-GPI (18:0)	NA	author_paired_case	45	45	mean_paired_difference_author_scale	0.5636581823399822	0.041467765573678	1.0954658223235558	0.0469967297025749	0.0790738626741737	paired_processed	318.0	DONE	NA	CAMP_processed_original_author_pair_table	28	15	2	0.6222222222222222	0.3333333333333333	25	20	0.509546112712579	0.0216498239687732	0.0401277291509255	61	47	Unpaired; author supplied processed values; no new transformation	0.3538198664391991	638.0	308.0	0.3488372093023256	4123971419.0	43	False	True	28	0.6222222222222222	25	0.2439279093959681	0.1534344529517	0.2123076923076923	0.4415325030477769	15	10	0	False	True	True	True	False
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_processed	HMDB:HMDB60038	10-heptadecenoate (17:1n7)	NA	author_paired_case	45	45	mean_paired_difference_author_scale	-0.1881474536209531	-0.3872828890476385	-0.0157218372594793	0.1114870243182858	0.1672305364774287	paired_processed	318.0	DONE	NA	CAMP_processed_original_author_pair_table	20	25	0	0.4444444444444444	0.5555555555555556	45	0	-0.396547772488175	0.0256925443831364	0.0454560400624721	61	47	Unpaired; author supplied processed values; no new transformation	-0.160293226567397	376.0	659.0	-0.2734299516908212	2173963105.0	45	False	True	25	0.5555555555555556	45	-0.1881474536209531	-0.160293226567397	-0.2734299516908212	0.1745014293677517	20	25	0	False	True	True	True	False
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_processed	KEGG:C00152	asparagine	NA	author_paired_case	45	45	mean_paired_difference_author_scale	-0.3519825097756776	-0.759284375841844	0.0055454670838354	0.1684871117668083	0.2413464033416443	paired_processed	318.0	DONE	NA	CAMP_processed_original_author_pair_table	23	22	0	0.5111111111111111	0.4888888888888889	45	0	-0.488238055912632	0.0222192751933802	0.0406511739333432	61	47	Unpaired; author supplied processed values; no new transformation	0.0519502635771012	395.0	640.0	-0.2367149758454106	2029526323.0	45	False	True	22	0.4888888888888889	45	-0.3519825097756776	0.0519502635771012	-0.2367149758454106	0.2402192484596079	23	22	0	False	True	True	True	False
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_processed	KEGG:C00158	citrate	NA	author_paired_case	45	45	mean_paired_difference_author_scale	0.7057357396096156	-0.2092124362630728	1.6144189652190524	0.1768890952742371	0.2511193406125331	paired_processed	318.0	DONE	NA	CAMP_processed_original_author_pair_table	23	19	3	0.5111111111111111	0.4222222222222222	26	19	0.443677331713106	0.0249833592489141	0.0446924537675019	61	47	Unpaired; author supplied processed values; no new transformation	0.2190652778386983	560.0	343.0	0.2403100775193798	2524685619.0	42	False	True	23	0.5111111111111111	26	-0.560941637721119	-0.4959636720495499	-0.3105413105413105	0.2403134375115672	10	16	0	False	False	True	True	False
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_processed	HMDB:HMDB28854	glycylvaline	NA	author_paired_case	45	45	mean_paired_difference_author_scale	0.2137998406157974	-0.1221313605732358	0.542359332599166	0.279625921636786	0.3614676547987721	paired_processed	318.0	DONE	NA	CAMP_processed_original_author_pair_table	20	9	16	0.4444444444444444	0.2	9	36	0.203494669736045	0.0124901768003958	0.0242279333116111	61	47	Unpaired; author supplied processed values; no new transformation	0.0	268.0	167.0	0.232183908045977	1445259501.0	29	False	True	20	0.4444444444444444	9	-0.8549107063433559	-1.1647312320187009	-0.7777777777777778	0.0868161876419863	2	7	0	True	False	True	True	False
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_processed	KEGG:C00407	isoleucine	NA	author_paired_case	45	45	mean_paired_difference_author_scale	-0.3302736182978377	-0.6200697014115616	-0.0427996375402591	0.0564434221544048	0.0920461961287217	paired_processed	318.0	DONE	NA	CAMP_processed_original_author_pair_table	18	27	0	0.4	0.6	45	0	-0.474879724504279	0.0025460500552812	0.0060054474283569	61	47	Unpaired; author supplied processed values; no new transformation	-0.1181900923123002	348.0	687.0	-0.3275362318840579	4059719068.0	45	False	True	27	0.6	45	-0.3302736182978377	-0.1181900923123002	-0.3275362318840579	0.1055565297433025	18	27	0	False	True	True	True	False
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_processed	KEGG:C00073	methionine	NA	author_paired_case	45	45	mean_paired_difference_author_scale	-0.2338340031558667	-0.4662292737648926	0.0033844505267953	0.1114870243182858	0.1672305364774287	paired_processed	318.0	DONE	NA	CAMP_processed_original_author_pair_table	22	23	0	0.4888888888888889	0.5111111111111111	45	0	-0.428906532899064	0.026949897325186	0.0464057055545984	61	47	Unpaired; author supplied processed values; no new transformation	-0.0475997863171997	376.0	659.0	-0.2734299516908212	3993139181.0	45	False	True	23	0.5111111111111111	45	-0.2338340031558667	-0.0475997863171997	-0.2734299516908212	0.1745014293677517	22	23	0	False	True	True	True	False
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_processed	KEGG:C02838	octanoylcarnitine (C8)	NA	author_paired_case	45	45	mean_paired_difference_author_scale	0.1485132547410378	-0.3008176013731746	0.5911012970362343	0.5401160736535193	0.6291461956843192	paired_processed	318.0	DONE	NA	CAMP_processed_original_author_pair_table	17	10	18	0.3777777777777777	0.2222222222222222	6	39	0.365630064049936	0.0265965415067195	0.0462923587306146	61	47	Unpaired; author supplied processed values; no new transformation	0.0	215.0	163.0	0.1375661375661375	3793660799.0	27	False	True	17	0.3777777777777777	6	NA	NA	NA	NA	3	3	0	False	False	True	True	False
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_processed	KEGG:C00077	ornithine	NA	author_paired_case	45	45	mean_paired_difference_author_scale	-0.2927762521334512	-0.6090297298732391	0.0130105662485283	0.0495261498946145	0.082891135086776	paired_processed	318.0	DONE	NA	CAMP_processed_original_author_pair_table	15	30	0	0.3333333333333333	0.6666666666666666	45	0	-0.430648438682791	0.0078511945745396	0.0158005290812611	61	47	Unpaired; author supplied processed values; no new transformation	-0.3760540584286005	343.0	692.0	-0.3371980676328502	428782214.0	45	False	True	30	0.6666666666666666	45	-0.2927762521334512	-0.3760540584286005	-0.3371980676328502	0.0963752106057365	15	30	0	False	True	True	True	False
