cancer	stage_id	run_id	analysis_version	relation_key	metabolite_key	metabolite_name	gene	mapping_status	status	origins	relationship_types	evidence_ids	source_urls	gene_in_original117	patient_analysis_this_round	functional_analysis_this_round	metabolite_paired_n	metabolite_paired_effect	metabolite_paired_p_value	metabolite_paired_q_value	metabolite_paired_pairs_higher	metabolite_paired_pairs_lower	metabolite_paired_pairs_equal	metabolite_paired_same_direction_fraction	metabolite_paired_majority_direction	metabolite_paired_q_value_available	metabolite_paired_n_available	CAMP_n	CAMP_effect	CAMP_ci_lower	CAMP_ci_upper	CAMP_p_value	CAMP_q_value	CAMP_status	CAMP_reason	CAMP_statistics_reused	CAMP_previous_q	CAMP_family_n_evaluable	CAMP_available_n	CAMP_available_effect	CAMP_available_ci_lower	CAMP_available_ci_upper	CAMP_available_p_value	CAMP_available_q_value	CAMP_available_status	CAMP_available_reason	CAMP_available_statistics_reused	CAMP_available_previous_q	CAMP_available_family_n_evaluable	FUSCC_n	FUSCC_effect	FUSCC_ci_lower	FUSCC_ci_upper	FUSCC_p_value	FUSCC_q_value	FUSCC_status	FUSCC_reason	FUSCC_statistics_reused	FUSCC_previous_q	FUSCC_family_n_evaluable	FUSCC_warning_excluded_n	FUSCC_warning_excluded_effect	FUSCC_warning_excluded_ci_lower	FUSCC_warning_excluded_ci_upper	FUSCC_warning_excluded_p_value	FUSCC_warning_excluded_q_value	FUSCC_warning_excluded_status	FUSCC_warning_excluded_reason	FUSCC_warning_excluded_statistics_reused	FUSCC_warning_excluded_previous_q	FUSCC_warning_excluded_family_n_evaluable	Tang_n	Tang_effect	Tang_ci_lower	Tang_ci_upper	Tang_p_value	Tang_q_value	Tang_status	Tang_reason	Tang_statistics_reused	Tang_previous_q	Tang_family_n_evaluable	FUSCC_direction_vs_CAMP	Tang_direction_vs_CAMP	new_relation_statistics_not_transferred_by_gene
BRCA	07_INTEGRATION	20260921T154000Z_mapping262_integration_v1	mapping262_integration_v1	HMDB:HMDB00721|PEPD	HMDB:HMDB00721	glycylproline	PEPD	DIRECT_ACCEPTED	DONE	LEGACY_V1_REUSED	酶	M190E0001	https://enzyme.expasy.org/EC/3.4.13.9 ; https://www.uniprot.org/uniprotkb/P12955/entry	True	NOT_RUN	NOT_RUN	45	0.8975291807094175	5.4618052961017055e-06	3.94739564581896e-05	36	7	2	0.8	UP	0.568542609986665	15	60.0	-0.1977765501623776	-0.4301656627147528	0.06884445861282	0.1307	0.3174142857142857	DONE	same_cohort_postselection;RNA_not_flux	True	0.2952455696202531	255.0	56.0	-0.1449760765550239	-0.4185199028599453	0.1346036746538011	0.2891	0.5850833333333334	DONE	same_cohort_postselection;RNA_not_flux	True	0.5373489130434783	255.0	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	no_exact_author_identifier	False	NA	126.0	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	no_exact_author_identifier	False	NA	126.0	20.0	0.1189760385398211	-0.3431959439390707	0.5425112421108564	0.6168	0.928809523809524	DONE	unadjusted;author_processed_metabolites;same_aliquot_unverified	True	0.9172203389830508	235.0	NOT_EVALUABLE	OPPOSITE_OR_ZERO	True
BRCA	07_INTEGRATION	20260921T154000Z_mapping262_integration_v1	mapping262_integration_v1	HMDB:HMDB00736|CRAT	HMDB:HMDB00736	isobutyrylcarnitine	CRAT	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0195	https://www.uniprot.org/uniprotkb/P43155/entry	True	NOT_RUN	NOT_RUN	45	-0.5813034948723179	0.0279739067210083	0.0502582052953708	14	26	5	0.5777777777777777	DOWN	0.0642812399492117	27	60.0	-0.1657076521225011	-0.4008022186473904	0.0930880106957706	0.2058	0.437325	DONE	same_cohort_postselection;RNA_not_flux	False	NA	255.0	47.0	-0.0964384828862164	-0.3716928973427336	0.1904194859855347	0.5113	0.7167868852459016	DONE	same_cohort_postselection;RNA_not_flux	False	NA	255.0	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	no_exact_author_identifier	False	NA	126.0	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	no_exact_author_identifier	False	NA	126.0	20.0	-0.2345864661654135	-0.5797471500015532	0.2528615525006826	0.3147	0.7486745283018869	DONE	unadjusted;author_processed_metabolites;same_aliquot_unverified	False	NA	235.0	NOT_EVALUABLE	SAME_SIGN	True
BRCA	07_INTEGRATION	20260921T154000Z_mapping262_integration_v1	mapping262_integration_v1	HMDB:HMDB00848|CPT2	HMDB:HMDB00848	stearoylcarnitine	CPT2	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0196	https://www.uniprot.org/uniprotkb/P23786/entry	True	NOT_RUN	NOT_RUN	45	1.727542920498054	1.5028967141936175e-05	8.534306341313757e-05	32	4	9	0.7111111111111111	UP	0.1302637342119616	8	60.0	0.2261533429146746	-0.0397749557394899	0.469540607530716	0.0811	0.2404709302325581	DONE	same_cohort_postselection;RNA_not_flux	False	NA	255.0	45.0	0.1914361001317522	-0.118795963790845	0.4635661730569353	0.2034	0.4934009433962264	DONE	same_cohort_postselection;RNA_not_flux	False	NA	255.0	258.0	-0.051727529331366	-0.1700401807707852	0.0670508341241925	0.4042	1.0	DONE	unadjusted;author_processed_metabolites;same_aliquot_unverified	False	NA	126.0	257.0	-0.0516907406569541	-0.1659297333991909	0.0762612162605524	0.4	1.0	DONE	unadjusted;author_processed_metabolites;same_aliquot_unverified	False	NA	126.0	20.0	0.0947368421052631	-0.3334216502649508	0.4786867337351861	0.6904	0.9306534090909092	DONE	unadjusted;author_processed_metabolites;same_aliquot_unverified	False	NA	235.0	OPPOSITE_OR_ZERO	SAME_SIGN	True
BRCA	07_INTEGRATION	20260921T154000Z_mapping262_integration_v1	mapping262_integration_v1	HMDB:HMDB05065|CPT2	HMDB:HMDB05065	oleoylcarnitine	CPT2	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0197	https://www.uniprot.org/uniprotkb/P23786/entry	True	NOT_RUN	NOT_RUN	45	1.3271133696452846	0.0001351770808685	0.0005179073700748	30	7	8	0.6666666666666666	UP	0.9382744147693564	9	60.0	0.0631775231878372	-0.2154580670591752	0.3205182516886982	0.6261	0.7954477611940298	DONE	same_cohort_postselection;RNA_not_flux	False	NA	255.0	46.0	-0.0242368177613321	-0.3265848729374538	0.2718398134621868	0.8698	0.9436080508474576	DONE	same_cohort_postselection;RNA_not_flux	False	NA	255.0	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	no_exact_author_identifier	False	NA	126.0	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	no_exact_author_identifier	False	NA	126.0	20.0	0.1278195488721804	-0.316096996649589	0.5912784869633144	0.5962	0.9157320261437908	DONE	unadjusted;author_processed_metabolites;same_aliquot_unverified	False	NA	235.0	NOT_EVALUABLE	SAME_SIGN	True
BRCA	07_INTEGRATION	20260921T154000Z_mapping262_integration_v1	mapping262_integration_v1	HMDB:HMDB10384|ENPP2	HMDB:HMDB10384	1-stearoyl-GPC (18:0)	ENPP2	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0285	https://www.uniprot.org/uniprotkb/Q13822/entry	False	NOT_RUN	NOT_RUN	45	2.32569861711274	4.197649250964616e-06	3.4226986200173026e-05	34	8	3	0.7555555555555555	UP	0.0680103414185865	16	60.0	-0.3996608936758444	-0.6170943702921613	-0.1395216640061981	0.0016	0.037090909090909	DONE	same_cohort_postselection;RNA_not_flux	False	NA	255.0	52.0	-0.3226329719115512	-0.5781632437382987	-0.0268408005315848	0.0202	0.150875	DONE	same_cohort_postselection;RNA_not_flux	False	NA	255.0	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	multiple_features_unresolved	False	NA	126.0	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	multiple_features_unresolved	False	NA	126.0	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	no_unique_author_name	False	NA	235.0	NOT_EVALUABLE	NOT_EVALUABLE	True
BRCA	07_INTEGRATION	20260921T154000Z_mapping262_integration_v1	mapping262_integration_v1	HMDB:HMDB10384|LPCAT1	HMDB:HMDB10384	1-stearoyl-GPC (18:0)	LPCAT1	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0286	https://www.uniprot.org/uniprotkb/Q8NF37/entry	False	NOT_RUN	NOT_RUN	45	2.32569861711274	4.197649250964616e-06	3.4226986200173026e-05	34	8	3	0.7555555555555555	UP	0.0680103414185865	16	60.0	0.3118395363058548	0.0382865143090904	0.5391330034670011	0.0177	0.1113292682926829	DONE	same_cohort_postselection;RNA_not_flux	False	NA	255.0	52.0	0.2996670366259711	0.0050833815750359	0.5469596185407015	0.0303	0.1882142857142857	DONE	same_cohort_postselection;RNA_not_flux	False	NA	255.0	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	multiple_features_unresolved	False	NA	126.0	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	multiple_features_unresolved	False	NA	126.0	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	no_unique_author_name	False	NA	235.0	NOT_EVALUABLE	NOT_EVALUABLE	True
BRCA	07_INTEGRATION	20260921T154000Z_mapping262_integration_v1	mapping262_integration_v1	HMDB:HMDB10384|LPCAT2	HMDB:HMDB10384	1-stearoyl-GPC (18:0)	LPCAT2	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0287	https://www.uniprot.org/uniprotkb/Q7L5N7/entry	False	NOT_RUN	NOT_RUN	45	2.32569861711274	4.197649250964616e-06	3.4226986200173026e-05	34	8	3	0.7555555555555555	UP	0.0680103414185865	16	60.0	-0.1329699360875991	-0.3625443352039352	0.1171624155169585	0.3092	0.574	DONE	same_cohort_postselection;RNA_not_flux	False	NA	255.0	52.0	-0.0295398275420472	-0.2862167240235692	0.2368939239164129	0.8343	0.9330986842105264	DONE	same_cohort_postselection;RNA_not_flux	False	NA	255.0	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	multiple_features_unresolved	False	NA	126.0	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	multiple_features_unresolved	False	NA	126.0	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	no_unique_author_name	False	NA	235.0	NOT_EVALUABLE	NOT_EVALUABLE	True
BRCA	07_INTEGRATION	20260921T154000Z_mapping262_integration_v1	mapping262_integration_v1	HMDB:HMDB10384|LPCAT3	HMDB:HMDB10384	1-stearoyl-GPC (18:0)	LPCAT3	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0288;M190E0289	https://www.uniprot.org/uniprotkb/Q6P1A2/entry	False	NOT_RUN	NOT_RUN	45	2.32569861711274	4.197649250964616e-06	3.4226986200173026e-05	34	8	3	0.7555555555555555	UP	0.0680103414185865	16	60.0	0.0137142632826749	-0.2682670733364095	0.2825599268010261	0.9153	0.9665764462809918	DONE	same_cohort_postselection;RNA_not_flux	False	NA	255.0	52.0	0.1065482796892341	-0.1890409778403262	0.3863920579263947	0.4508	0.6848571428571428	DONE	same_cohort_postselection;RNA_not_flux	False	NA	255.0	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	multiple_features_unresolved	False	NA	126.0	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	multiple_features_unresolved	False	NA	126.0	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	no_unique_author_name	False	NA	235.0	NOT_EVALUABLE	NOT_EVALUABLE	True
BRCA	07_INTEGRATION	20260921T154000Z_mapping262_integration_v1	mapping262_integration_v1	HMDB:HMDB10384|LYPLA2	HMDB:HMDB10384	1-stearoyl-GPC (18:0)	LYPLA2	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0290	https://www.uniprot.org/uniprotkb/O95372/entry	False	NOT_RUN	NOT_RUN	45	2.32569861711274	4.197649250964616e-06	3.4226986200173026e-05	34	8	3	0.7555555555555555	UP	0.0680103414185865	16	60.0	0.2191222147619285	-0.0456216140333323	0.450939056473732	0.0954	0.2615806451612903	DONE	same_cohort_postselection;RNA_not_flux	False	NA	255.0	52.0	0.1549560317595833	-0.1233974052608912	0.4121982983334991	0.275	0.56508	DONE	same_cohort_postselection;RNA_not_flux	False	NA	255.0	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	multiple_features_unresolved	False	NA	126.0	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	multiple_features_unresolved	False	NA	126.0	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	no_unique_author_name	False	NA	235.0	NOT_EVALUABLE	NOT_EVALUABLE	True
BRCA	07_INTEGRATION	20260921T154000Z_mapping262_integration_v1	mapping262_integration_v1	HMDB:HMDB61702|LPCAT4	HMDB:HMDB61702	2-palmitoyl-GPC (16:0)	LPCAT4	DIRECT_ACCEPTED	DONE	NEW_REVIEW	enzyme	M190E0299	https://www.uniprot.org/uniprotkb/Q643R3/entry	False	NOT_RUN	NOT_RUN	45	1.8961428567712533	6.815660769748695e-05	0.0002814779382831	30	6	9	0.6666666666666666	UP	NA	6	NA	NA	NA	NA	NA	NA	NEEDS_REVIEW	historical_LPCAT4_symbol_ambiguous_Q643R3_vs_Q6ZWT7;stable_probe_identity_required	False	NA	255.0	NA	NA	NA	NA	NA	NA	NEEDS_REVIEW	historical_LPCAT4_symbol_ambiguous_Q643R3_vs_Q6ZWT7;stable_probe_identity_required	False	NA	255.0	NA	NA	NA	NA	NA	NA	NEEDS_REVIEW	historical_gene_symbol_ambiguity_requires_stable_ID	False	NA	126.0	NA	NA	NA	NA	NA	NA	NEEDS_REVIEW	historical_gene_symbol_ambiguity_requires_stable_ID	False	NA	126.0	NA	NA	NA	NA	NA	NA	NEEDS_REVIEW	historical_gene_symbol_ambiguity_requires_stable_ID	False	NA	235.0	NOT_EVALUABLE	NOT_EVALUABLE	True
