output	output_field	source_path	source_field	transformation
statistics_long.tsv	cancer	results/BRCA/04_ROBUSTNESS/20260921T112611Z_metabolite318_paired_v1/paired_metabolite318.tsv	cancer	identity_string_copy
statistics_long.tsv	cohort	results/BRCA/04_ROBUSTNESS/20260921T112611Z_metabolite318_paired_v1/paired_metabolite318.tsv	cohort	identity_string_copy
statistics_long.tsv	stage_id	results/BRCA/04_ROBUSTNESS/20260921T112611Z_metabolite318_paired_v1/paired_metabolite318.tsv	stage_id	identity_string_copy
statistics_long.tsv	run_id	results/BRCA/04_ROBUSTNESS/20260921T112611Z_metabolite318_paired_v1/paired_metabolite318.tsv	run_id	identity_string_copy
statistics_long.tsv	analysis_version	results/BRCA/04_ROBUSTNESS/20260921T112611Z_metabolite318_paired_v1/paired_metabolite318.tsv	analysis_version	identity_string_copy
statistics_long.tsv	analysis_type	results/BRCA/04_ROBUSTNESS/20260921T112611Z_metabolite318_paired_v1/paired_metabolite318.tsv	analysis_type	identity_string_copy
statistics_long.tsv	metabolite_key	results/BRCA/04_ROBUSTNESS/20260921T112611Z_metabolite318_paired_v1/paired_metabolite318.tsv	metabolite_key	identity_string_copy
statistics_long.tsv	metabolite_name	results/BRCA/04_ROBUSTNESS/20260921T112611Z_metabolite318_paired_v1/paired_metabolite318.tsv	metabolite_name	identity_string_copy
statistics_long.tsv	gene	results/BRCA/04_ROBUSTNESS/20260921T112611Z_metabolite318_paired_v1/paired_metabolite318.tsv	gene	identity_string_copy
statistics_long.tsv	unit	results/BRCA/04_ROBUSTNESS/20260921T112611Z_metabolite318_paired_v1/paired_metabolite318.tsv	unit	identity_string_copy
statistics_long.tsv	n	results/BRCA/04_ROBUSTNESS/20260921T112611Z_metabolite318_paired_v1/paired_metabolite318.tsv	n	identity_string_copy
statistics_long.tsv	n_reference	results/BRCA/04_ROBUSTNESS/20260921T112611Z_metabolite318_paired_v1/paired_metabolite318.tsv	n_reference	identity_string_copy
statistics_long.tsv	effect_type	results/BRCA/04_ROBUSTNESS/20260921T112611Z_metabolite318_paired_v1/paired_metabolite318.tsv	effect_type	identity_string_copy
statistics_long.tsv	effect	results/BRCA/04_ROBUSTNESS/20260921T112611Z_metabolite318_paired_v1/paired_metabolite318.tsv	effect	identity_string_copy
statistics_long.tsv	ci_lower	results/BRCA/04_ROBUSTNESS/20260921T112611Z_metabolite318_paired_v1/paired_metabolite318.tsv	ci_lower	identity_string_copy
statistics_long.tsv	ci_upper	results/BRCA/04_ROBUSTNESS/20260921T112611Z_metabolite318_paired_v1/paired_metabolite318.tsv	ci_upper	identity_string_copy
statistics_long.tsv	p_value	results/BRCA/04_ROBUSTNESS/20260921T112611Z_metabolite318_paired_v1/paired_metabolite318.tsv	p_value	identity_string_copy
statistics_long.tsv	q_value	results/BRCA/04_ROBUSTNESS/20260921T112611Z_metabolite318_paired_v1/paired_metabolite318.tsv	q_value	identity_string_copy
statistics_long.tsv	test_family	results/BRCA/04_ROBUSTNESS/20260921T112611Z_metabolite318_paired_v1/paired_metabolite318.tsv	test_family	identity_string_copy
statistics_long.tsv	family_n_evaluable	results/BRCA/04_ROBUSTNESS/20260921T112611Z_metabolite318_paired_v1/paired_metabolite318.tsv	family_n_evaluable	identity_string_copy
statistics_long.tsv	status	results/BRCA/04_ROBUSTNESS/20260921T112611Z_metabolite318_paired_v1/paired_metabolite318.tsv	status	identity_string_copy
statistics_long.tsv	reason	results/BRCA/04_ROBUSTNESS/20260921T112611Z_metabolite318_paired_v1/paired_metabolite318.tsv	reason	identity_string_copy
statistics_long.tsv	source_id	results/BRCA/04_ROBUSTNESS/20260921T112611Z_metabolite318_paired_v1/paired_metabolite318.tsv	source_id	identity_string_copy
statistics_long.tsv	cancer	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/CAMP_relations262.tsv	cancer	identity_string_copy
statistics_long.tsv	cohort	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/CAMP_relations262.tsv	cohort	identity_string_copy
statistics_long.tsv	stage_id	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/CAMP_relations262.tsv	stage_id	identity_string_copy
statistics_long.tsv	run_id	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/CAMP_relations262.tsv	run_id	identity_string_copy
statistics_long.tsv	analysis_version	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/CAMP_relations262.tsv	analysis_version	identity_string_copy
statistics_long.tsv	analysis_type	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/CAMP_relations262.tsv	analysis_type	identity_string_copy
statistics_long.tsv	metabolite_key	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/CAMP_relations262.tsv	metabolite_key	identity_string_copy
statistics_long.tsv	metabolite_name	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/CAMP_relations262.tsv	metabolite_name	identity_string_copy
statistics_long.tsv	gene	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/CAMP_relations262.tsv	gene	identity_string_copy
statistics_long.tsv	unit	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/CAMP_relations262.tsv	unit	identity_string_copy
statistics_long.tsv	n	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/CAMP_relations262.tsv	n	identity_string_copy
statistics_long.tsv	n_reference	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/CAMP_relations262.tsv	n_reference	identity_string_copy
statistics_long.tsv	effect_type	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/CAMP_relations262.tsv	effect_type	identity_string_copy
statistics_long.tsv	effect	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/CAMP_relations262.tsv	effect	identity_string_copy
statistics_long.tsv	ci_lower	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/CAMP_relations262.tsv	ci_lower	identity_string_copy
statistics_long.tsv	ci_upper	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/CAMP_relations262.tsv	ci_upper	identity_string_copy
statistics_long.tsv	p_value	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/CAMP_relations262.tsv	p_value	identity_string_copy
statistics_long.tsv	q_value	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/CAMP_relations262.tsv	q_value	identity_string_copy
statistics_long.tsv	test_family	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/CAMP_relations262.tsv	test_family	identity_string_copy
statistics_long.tsv	family_n_evaluable	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/CAMP_relations262.tsv	family_n_evaluable	identity_string_copy
statistics_long.tsv	status	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/CAMP_relations262.tsv	status	identity_string_copy
statistics_long.tsv	reason	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/CAMP_relations262.tsv	reason	identity_string_copy
statistics_long.tsv	source_id	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/CAMP_relations262.tsv	source_id	identity_string_copy
statistics_long.tsv	cancer	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	cancer	identity_string_copy
statistics_long.tsv	cohort	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	cohort	identity_string_copy
statistics_long.tsv	stage_id	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	stage_id	identity_string_copy
statistics_long.tsv	run_id	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	run_id	identity_string_copy
statistics_long.tsv	analysis_version	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	analysis_version	identity_string_copy
statistics_long.tsv	analysis_type	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	analysis_type	identity_string_copy
statistics_long.tsv	metabolite_key	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	metabolite_key	identity_string_copy
statistics_long.tsv	metabolite_name	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	metabolite_name	identity_string_copy
statistics_long.tsv	gene	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	gene	identity_string_copy
statistics_long.tsv	unit	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	unit	identity_string_copy
statistics_long.tsv	n	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	n	identity_string_copy
statistics_long.tsv	n_reference	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	n_reference	identity_string_copy
statistics_long.tsv	effect_type	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	effect_type	identity_string_copy
statistics_long.tsv	effect	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	effect	identity_string_copy
statistics_long.tsv	ci_lower	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	ci_lower	identity_string_copy
statistics_long.tsv	ci_upper	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	ci_upper	identity_string_copy
statistics_long.tsv	p_value	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	p_value	identity_string_copy
statistics_long.tsv	q_value	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	q_value	identity_string_copy
statistics_long.tsv	test_family	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	test_family	identity_string_copy
statistics_long.tsv	family_n_evaluable	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	family_n_evaluable	identity_string_copy
statistics_long.tsv	status	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	status	identity_string_copy
statistics_long.tsv	reason	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	reason	identity_string_copy
statistics_long.tsv	source_id	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	source_id	identity_string_copy
