cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	pairs_higher	pairs_lower	pairs_equal	higher_fraction	lower_fraction	n_both_author_available	n_pairs_with_at_least_one_author_missing	old_hedges_g	old_p	old_q	old_n_tumor	old_n_normal	old_design	median_paired_difference	w_positive	w_negative	paired_rank_biserial	seed	nonzero_pairs	normal_approximation_warning	same_mean_direction_as_old_g	pairs_in_old_direction	fraction_in_old_direction
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_processed	KEGG:C02918	1-methylnicotinamide	NA	author_paired_case	45	45	mean_paired_difference_author_scale	0.6179670231014983	0.319343309865049	0.9182721028638724	0.000769077651996999	0.002307232955990997	paired_processed	318.0	DONE	NA	CAMP_processed_original_author_pair_table	32	13	0	0.7111111111111111	0.28888888888888886	39	6	0.730467367194184	0.000623778471254	0.0016329810385675	61	47	Unpaired; author supplied processed values; no new transformation	0.7442371331512003	816.0	219.0	0.5768115942028985	1091585584.0	45	False	True	32	0.7111111111111111
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_processed	KEGG:C04102	1-palmitoyl-GPC (16:0)	NA	author_paired_case	45	45	mean_paired_difference_author_scale	2.4738664344382295	1.6303618218090057	3.2795501920256305	1.0174435201622437e-05	6.603000804318235e-05	paired_processed	318.0	DONE	NA	CAMP_processed_original_author_pair_table	36	9	0	0.8	0.2	28	17	1.05273330949049	6.09704634006282e-07	3.70424324811364e-06	61	47	Unpaired; author supplied processed values; no new transformation	2.400905490827	909.0	126.0	0.7565217391304347	248652724.0	45	False	True	36	0.8
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_processed	KEGG:C00219	arachidonate (20:4n6)	NA	author_paired_case	45	45	mean_paired_difference_author_scale	0.9592933778486841	0.6593866071501809	1.2735835848720494	1.7621838697930112e-06	2.0013373949792057e-05	paired_processed	318.0	DONE	NA	CAMP_processed_original_author_pair_table	37	7	1	0.8222222222222222	0.15555555555555556	28	17	1.08240292504837	2.12974265725441e-07	1.7144428390898e-06	61	47	Unpaired; author supplied processed values; no new transformation	0.8639364840623003	905.0	85.0	0.8282828282828283	3761618807.0	44	False	True	37	0.8222222222222222
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_processed	KEGG:C00491	cystine	NA	author_paired_case	45	45	mean_paired_difference_author_scale	1.2997652381755558	0.7437140599917975	1.8795918259512554	0.0001610231682810496	0.0006024160883926327	paired_processed	318.0	DONE	NA	CAMP_processed_original_author_pair_table	31	12	2	0.6888888888888889	0.26666666666666666	32	13	0.761406922469914	0.0001640638515436	0.0004937248616546	61	47	Unpaired; author supplied processed values; no new transformation	1.540503617447099	786.0	160.0	0.6617336152219874	786547826.0	43	False	True	31	0.6888888888888889
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_processed	KEGG:C00189	ethanolamine	NA	author_paired_case	45	45	mean_paired_difference_author_scale	1.3048617280472286	0.8854686843285118	1.7402628713878634	2.9676469143085604e-06	2.8597324810609762e-05	paired_processed	318.0	DONE	NA	CAMP_processed_original_author_pair_table	38	7	0	0.8444444444444444	0.15555555555555556	44	1	0.993418253510911	7.24222937054185e-06	3.53333008684011e-05	61	47	Unpaired; author supplied processed values; no new transformation	1.4133599405707002	932.0	103.0	0.8009661835748793	879936975.0	45	False	True	38	0.8444444444444444
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_processed	KEGG:C00668	glucose 6-phosphate	NA	author_paired_case	45	45	mean_paired_difference_author_scale	2.1743242650294716	1.3768410326732716	2.949092557495116	2.086690998741565e-05	0.00011059462293330294	paired_processed	318.0	DONE	NA	CAMP_processed_original_author_pair_table	39	6	0	0.8666666666666667	0.13333333333333333	40	5	1.17249419717376	2.22241714015991e-09	4.92640057920067e-08	61	47	Unpaired; author supplied processed values; no new transformation	2.3034986399504014	895.0	140.0	0.7294685990338164	2814475934.0	45	False	True	39	0.8666666666666667
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_processed	KEGG:C00064	glutamine	NA	author_paired_case	45	45	mean_paired_difference_author_scale	-1.472771118046759	-1.8377886612962242	-1.1128996557011823	6.026105581971643e-08	3.1736397629373487e-06	paired_processed	318.0	DONE	NA	CAMP_processed_original_author_pair_table	6	39	0	0.13333333333333333	0.8666666666666667	45	0	-1.64592808836308	9.00972459175114e-13	1.000340954773e-10	61	47	Unpaired; author supplied processed values; no new transformation	-1.2448895745339001	37.0	998.0	-0.9285024154589372	2432440941.0	45	False	True	39	0.8666666666666667
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_processed	KEGG:C00670	glycerophosphorylcholine (GPC)	NA	author_paired_case	45	45	mean_paired_difference_author_scale	-0.7109714169790355	-1.1083687369081643	-0.3149964409971549	0.0021390540146380118	0.005485638521410385	paired_processed	318.0	DONE	NA	CAMP_processed_original_author_pair_table	14	31	0	0.3111111111111111	0.6888888888888889	45	0	-0.791132433603263	0.0001607688008834	0.0004883731498536	61	47	Unpaired; author supplied processed values; no new transformation	-0.5562811930566021	245.0	790.0	-0.5265700483091788	2550763621.0	45	False	True	31	0.6888888888888889
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_processed	KEGG:C00047	lysine	NA	author_paired_case	45	45	mean_paired_difference_author_scale	-0.38332023226362205	-0.5637193038062157	-0.21821237396321308	0.00014243286906029083	0.0005392101471568153	paired_processed	318.0	DONE	NA	CAMP_processed_original_author_pair_table	11	34	0	0.24444444444444444	0.7555555555555555	45	0	-0.982175022952955	4.01938922431378e-06	2.0874892423049e-05	61	47	Unpaired; author supplied processed values; no new transformation	-0.3064470597157012	180.0	855.0	-0.6521739130434783	1472526500.0	45	False	True	34	0.7555555555555555
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_processed	KEGG:C00148	proline	NA	author_paired_case	45	45	mean_paired_difference_author_scale	0.6196633568543043	0.47189444798768054	0.7680855836414469	1.1975999105423957e-07	3.1736397629373487e-06	paired_processed	318.0	DONE	NA	CAMP_processed_original_author_pair_table	40	5	0	0.8888888888888888	0.1111111111111111	45	0	1.41525118979714	3.5158591022136e-09	5.95845595217253e-08	61	47	Unpaired; author supplied processed values; no new transformation	0.6619663857133027	987.0	48.0	0.9072463768115943	1798813204.0	45	False	True	40	0.8888888888888888
