gene	subtype	own_top	own_status	shared_top	shared_status	pooled_top	n	gap
ABHD12	ER+	Myeloid	DONE	Myeloid	DONE	Myeloid	11	0.09370797294357736
ABHD12	HER2+	Myeloid	DONE	Myeloid	DONE	Myeloid	5	0.268574673797026
ABHD12	TNBC	Myeloid	DONE	Myeloid	DONE	Myeloid	10	0.12296530248000781
ASNS	ER+	Plasma_cells	DONE	Malignant_epithelial	DONE	Malignant_epithelial	7	0.005606213831158301
ASNS	HER2+	Malignant_epithelial	DONE	Malignant_epithelial	DONE	Malignant_epithelial	3	0.0789132840899901
ASNS	TNBC	Malignant_epithelial	DONE	Malignant_epithelial	DONE	Malignant_epithelial	8	0.08193666705120609
ENPP2	ER+	Endothelial	DONE	Endothelial	DONE	Endothelial	11	0.33195564405010636
ENPP2	HER2+	Endothelial	DONE	Endothelial	DONE	Endothelial	4	0.2559899686619492
ENPP2	TNBC	Endothelial	DONE	Endothelial	DONE	Endothelial	9	0.3516196536766047
LPCAT1	ER+	Myeloid	DONE	Myeloid	DONE	Myeloid	11	0.005953653182048699
LPCAT1	HER2+	B_cells	DONE	B_cells	DONE	Myeloid	5	0.000581821860407894
LPCAT1	TNBC	Myeloid	DONE	Myeloid	DONE	Myeloid	10	0.032580418382039886
LYPLA1	ER+	Malignant_epithelial	DONE	Malignant_epithelial	DONE	Malignant_epithelial	9	0.246671673073815
LYPLA1	HER2+	Malignant_epithelial	DONE	Malignant_epithelial	DONE	Malignant_epithelial	3	0.28518940613126825
LYPLA1	TNBC	Malignant_epithelial	DONE	Malignant_epithelial	DONE	Malignant_epithelial	8	0.2483144399636284
SHMT2	ER+	Myeloid	DONE	Myeloid	DONE	Malignant_epithelial	11	0.00047805969081968214
SHMT2	HER2+	Malignant_epithelial	DONE	Malignant_epithelial	DONE	Malignant_epithelial	3	0.15311026441955727
SHMT2	TNBC	Malignant_epithelial	DONE	Malignant_epithelial	DONE	Malignant_epithelial	8	0.12652908444434496
