cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	partition	celltype	n_source_labels_total	n_cells_total	n_cells_eligible	median_donor_mean	donor_mean_q25	donor_mean_q75	mean_detection_fraction	median_detection_fraction	annotation_origin	row_scaled
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	MAT1A	publisher_donor_label	20	NA	equal_donor_mean_log1p_counts_per_10k	0.0	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	B_cells	20	3206	3206	0.0	0.0	0.0	0.0	0.0	Wu2021_author_celltype_major_via_CELLxGENE	0.0
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	MAT2A	publisher_donor_label	20	NA	equal_donor_mean_log1p_counts_per_10k	0.35382141338646866	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	B_cells	20	3206	3206	0.3169618897237761	0.22868888570517656	0.48681484156905647	0.20932594587432574	0.18501663278506747	Wu2021_author_celltype_major_via_CELLxGENE	0.5891459206068853
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	MDH1	publisher_donor_label	20	NA	equal_donor_mean_log1p_counts_per_10k	0.24116499816689813	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	B_cells	20	3206	3206	0.23520930104765048	0.13242206439213644	0.3496293793959926	0.14539420006978038	0.14204545454545453	Wu2021_author_celltype_major_via_CELLxGENE	0.34793120607220857
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	MDH2	publisher_donor_label	20	NA	equal_donor_mean_log1p_counts_per_10k	0.25716226472508386	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	B_cells	20	3206	3206	0.23119726837584503	0.1270243688414694	0.42034846958819294	0.16485079407832198	0.1347028540010996	Wu2021_author_celltype_major_via_CELLxGENE	0.22618017272991167
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	MGAM	publisher_donor_label	20	NA	equal_donor_mean_log1p_counts_per_10k	0.0	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	B_cells	20	3206	3206	0.0	0.0	0.0	0.0	0.0	Wu2021_author_celltype_major_via_CELLxGENE	0.0
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	MPI	publisher_donor_label	20	NA	equal_donor_mean_log1p_counts_per_10k	0.03594607642471977	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	B_cells	20	3206	3206	0.040178926307857396	0.009197673728939811	0.060287494866090835	0.023711913669414296	0.018524871355060035	Wu2021_author_celltype_major_via_CELLxGENE	0.45602049032159353
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	NAGK	publisher_donor_label	20	NA	equal_donor_mean_log1p_counts_per_10k	0.15537832915398342	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	B_cells	20	3206	3206	0.13839641051923518	0.0927465204633086	0.20167252640903002	0.10285039461103573	0.08614083285135918	Wu2021_author_celltype_major_via_CELLxGENE	0.2935657876870303
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	NAMPT	publisher_donor_label	20	NA	equal_donor_mean_log1p_counts_per_10k	0.30998529631678495	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	B_cells	20	3206	3206	0.24524629357916872	0.15121559484218255	0.32070238693932884	0.18121599573374453	0.12898388803951547	Wu2021_author_celltype_major_via_CELLxGENE	0.2420822635596482
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	NNMT	publisher_donor_label	20	NA	equal_donor_mean_log1p_counts_per_10k	0.0214872227545123	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	B_cells	20	3206	3206	0.006463762570857793	0.0	0.018088303693717393	0.014399193225901066	0.006075061742914266	Wu2021_author_celltype_major_via_CELLxGENE	0.0126138599884636
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	NPL	publisher_donor_label	20	NA	equal_donor_mean_log1p_counts_per_10k	0.018322754655109148	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	B_cells	20	3206	3206	0.0	0.0	0.005815367968285817	0.014378688178247476	0.0	Wu2021_author_celltype_major_via_CELLxGENE	0.05327260725691586
