module_id	module	metabolite_name	cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	relation_id	statistics_reused	in_original117	previous_p	previous_q	previous_effect	previous_run	seed	bootstrap_valid
M01	氨基酸氮分配与谷氨酸分支	glutamine	BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	processed_Spearman262	KEGG:C00064	ASNS	author_case_row	60.0	NA	Spearman_rho	-0.4397888302306197	-0.6320325827869804	-0.2029944909168789	0.0005	0.019125	processed_Spearman262	255.0	DONE	same_cohort_postselection;RNA_not_flux	CAMP_GSE37751_original_author_case_table	KEGG:C00064|ASNS	True	True	0.0005	0.0146571428571428	-0.4397888302306197	20260921T103911Z_camp_pair_sensitivity_v1	790026704.0	NA
M01	氨基酸氮分配与谷氨酸分支	glutamine	BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	available_Spearman262	KEGG:C00064	ASNS	author_case_row	60.0	NA	Spearman_rho	-0.4397888302306197	-0.620087771458352	-0.2014354366494602	0.0006	0.0286875	available_Spearman262	255.0	DONE	same_cohort_postselection;RNA_not_flux	CAMP_GSE37751_original_author_case_table	KEGG:C00064|ASNS	True	True	0.0006	0.0219857142857142	-0.4397888302306197	20260921T103911Z_camp_pair_sensitivity_v1	92242170.0	NA
M01	氨基酸氮分配与谷氨酸分支	glutamine	BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	processed_Spearman262	KEGG:C00064	GLS	author_case_row	60.0	NA	Spearman_rho	-0.2172825784940261	-0.4547115637220345	0.0496103650396853	0.0979	0.2655797872340425	processed_Spearman262	255.0	DONE	same_cohort_postselection;RNA_not_flux	CAMP_GSE37751_original_author_case_table	KEGG:C00064|GLS	True	True	0.0979	0.2575523076923077	-0.2172825784940261	20260921T103911Z_camp_pair_sensitivity_v1	3194632901.0	NA
M01	氨基酸氮分配与谷氨酸分支	glutamine	BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	available_Spearman262	KEGG:C00064	GLS	author_case_row	60.0	NA	Spearman_rho	-0.2172825784940261	-0.4644165064348806	0.0558689155635353	0.0947	0.2981296296296297	available_Spearman262	255.0	DONE	same_cohort_postselection;RNA_not_flux	CAMP_GSE37751_original_author_case_table	KEGG:C00064|GLS	True	True	0.0947	0.2792017241379311	-0.2172825784940261	20260921T103911Z_camp_pair_sensitivity_v1	2032253961.0	NA
M01	氨基酸氮分配与谷氨酸分支	glutamine	BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	processed_Spearman262	KEGG:C00064	GLS2	author_case_row	60.0	NA	Spearman_rho	0.2330091692136705	-0.0192321466426456	0.4673925417827133	0.0729	0.22670121951219513	processed_Spearman262	255.0	DONE	same_cohort_postselection;RNA_not_flux	CAMP_GSE37751_original_author_case_table	KEGG:C00064|GLS2	True	True	0.0729	0.2255431034482758	0.2330091692136705	20260921T103911Z_camp_pair_sensitivity_v1	3942962222.0	NA
M01	氨基酸氮分配与谷氨酸分支	glutamine	BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	available_Spearman262	KEGG:C00064	GLS2	author_case_row	60.0	NA	Spearman_rho	0.2330091692136705	-0.0216484502425841	0.4595604057849877	0.0699	0.2546357142857143	available_Spearman262	255.0	DONE	same_cohort_postselection;RNA_not_flux	CAMP_GSE37751_original_author_case_table	KEGG:C00064|GLS2	True	True	0.0699	0.239058	0.2330091692136705	20260921T103911Z_camp_pair_sensitivity_v1	3527374740.0	NA
M01	氨基酸氮分配与谷氨酸分支	glutamine	BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	processed_Spearman262	KEGG:C00064	GLUL	author_case_row	60.0	NA	Spearman_rho	-0.0499027507641011	-0.3174563290067409	0.2235406655363299	0.7025	0.8410211267605634	processed_Spearman262	255.0	DONE	same_cohort_postselection;RNA_not_flux	CAMP_GSE37751_original_author_case_table	KEGG:C00064|GLUL	True	True	0.7025	0.8400524475524476	-0.0499027507641011	20260921T103911Z_camp_pair_sensitivity_v1	3382528448.0	NA
M01	氨基酸氮分配与谷氨酸分支	glutamine	BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	available_Spearman262	KEGG:C00064	GLUL	author_case_row	60.0	NA	Spearman_rho	-0.0499027507641011	-0.3006500523256297	0.2252747864318112	0.7051	0.8586611374407583	available_Spearman262	255.0	DONE	same_cohort_postselection;RNA_not_flux	CAMP_GSE37751_original_author_case_table	KEGG:C00064|GLUL	True	True	0.7051	0.8321609589041097	-0.0499027507641011	20260921T103911Z_camp_pair_sensitivity_v1	2607631863.0	NA
M01	氨基酸氮分配与谷氨酸分支	glutamate	BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	processed_Spearman262	KEGG:C00025	ASNS	author_case_row	60.0	NA	Spearman_rho	0.2747429841622673	0.011132897496513	0.5037758512120332	0.0345	0.16386111111111112	processed_Spearman262	255.0	DONE	same_cohort_postselection;RNA_not_flux	CAMP_GSE37751_original_author_case_table	KEGG:C00025|ASNS	True	True	0.0345	0.164825	0.2747429841622673	20260921T103911Z_camp_pair_sensitivity_v1	1211153807.0	NA
M01	氨基酸氮分配与谷氨酸分支	glutamate	BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	available_Spearman262	KEGG:C00025	ASNS	author_case_row	60.0	NA	Spearman_rho	0.2747429841622673	-0.0039840118934214	0.5112298416865678	0.0378	0.1967142857142857	available_Spearman262	255.0	DONE	same_cohort_postselection;RNA_not_flux	CAMP_GSE37751_original_author_case_table	KEGG:C00025|ASNS	True	True	0.0378	0.1958727272727272	0.2747429841622673	20260921T103911Z_camp_pair_sensitivity_v1	2660444489.0	NA
