module_id	module	gene	n_shared_celltypes	interpretation	ER+_status	ER+_reason	ER+_top	ER+_second	ER+_effect	ER+_gap	ER+_n	ER+_detection	ER+_top_cn	ER+_shared_top	ER+_shared_status	HER2+_status	HER2+_reason	HER2+_top	HER2+_second	HER2+_effect	HER2+_gap	HER2+_n	HER2+_detection	HER2+_top_cn	HER2+_shared_top	HER2+_shared_status	TNBC_status	TNBC_reason	TNBC_top	TNBC_second	TNBC_effect	TNBC_gap	TNBC_n	TNBC_detection	TNBC_top_cn	TNBC_shared_top	TNBC_shared_status	same_top_all3	same_top_shared3	status	pattern	equal_subtype_top	omit_ER+_top	omit_HER2+_top	omit_TNBC_top	omit_one_equal_subtype_top_changes
M01	氨基酸氮分配与谷氨酸分支	ASNS	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Plasma_cells	Nonmalignant_epithelial	0.0599631987192039	0.005606213831158301	7	0.0972912774818019	浆细胞	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Perivascular	0.127703325278349	0.0789132840899901	3	0.2504492595554652	恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.1538436666405636	0.08193666705120609	8	0.2113061763133907	恶性上皮	Malignant_epithelial	DONE	False	True	DONE	SAME_TOP	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	False
M01	氨基酸氮分配与谷氨酸分支	GLS	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Endothelial	Fibroblasts	0.2979884080084939	0.023133840769420322	11	0.2473328148841654	内皮细胞	Endothelial	DONE	DONE		Endothelial	T_NK_cells	0.4329713986595603	0.007535110885629914	4	0.3606559072479662	内皮细胞	Endothelial	DONE	DONE		Endothelial	Myeloid	0.225249194825304	0.0075663722210962125	9	0.2026536768753383	内皮细胞	Endothelial	DONE	True	True	DONE	SAME_TOP	Endothelial	Endothelial	Endothelial	Endothelial	False
M01	氨基酸氮分配与谷氨酸分支	GLS2	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.0089329861295277	0.0012169245790784999	9	0.0133038281761726	恶性上皮	Malignant_epithelial	DONE	NOT_EVALUABLE	low_detection	NA	NA	0.0033310519894376	0.0004893800272778	5	0.0033294352706117	不可判定	NA	NOT_EVALUABLE	DONE		Nonmalignant_epithelial	Malignant_epithelial	0.0101563532755963	0.006453740631548999	4	0.0121547956931116	非恶性上皮	NA	NOT_EVALUABLE	False	False	NOT_EVALUABLE	LOW_DETECTION_OR_COVERAGE	NA	NA	NA	NA	NA
M01	氨基酸氮分配与谷氨酸分支	GLUL	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Malignant_epithelial	Myeloid	1.9152181426198995	0.3129530652443153	9	0.8958070377398294	恶性上皮	Malignant_epithelial	DONE	DONE		Myeloid	Perivascular	1.626959933305174	0.9394325890932373	5	0.7244369237077856	髓系细胞	Myeloid	DONE	DONE		Myeloid	Malignant_epithelial	1.812887113600565	0.9763619271101779	10	0.7565614793455944	髓系细胞	Myeloid	DONE	False	False	DONE	DIFFERENT_TOP_DESCRIPTIVE	Myeloid	Myeloid	Myeloid	Myeloid	False
M01	氨基酸氮分配与谷氨酸分支	BCAT1	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Myeloid	Fibroblasts	0.1757197768005304	0.10819057404080999	11	0.1649467173394736	髓系细胞	Myeloid	DONE	DONE		Myeloid	Fibroblasts	0.2198497128690496	0.0635453925088992	5	0.2900990270251556	髓系细胞	Myeloid	DONE	DONE		Myeloid	Fibroblasts	0.2595747298772711	0.09982037558251058	10	0.2257122253621543	髓系细胞	Myeloid	DONE	True	True	DONE	SAME_TOP	Myeloid	Myeloid	Myeloid	Myeloid	False
M01	氨基酸氮分配与谷氨酸分支	BCAT2	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.2213664309843296	0.07267856890487348	9	0.2631997476929185	恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Endothelial	0.2128270352960184	0.1208117667068019	3	0.3628220111049349	恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.1586232785366532	0.021622061942570714	8	0.2609535139334025	恶性上皮	Malignant_epithelial	DONE	True	True	DONE	SAME_TOP	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	False
M01	氨基酸氮分配与谷氨酸分支	FOLH1	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Nonmalignant_epithelial	Endothelial	0.0513976914459846	0.019412241171462397	4	0.0961606160189361	非恶性上皮	Endothelial	DONE	DONE		Endothelial	Malignant_epithelial	0.0702485155904698	0.05072927480673679	4	0.0660742900504195	内皮细胞	Endothelial	DONE	DONE		Endothelial	Nonmalignant_epithelial	0.0806254381316122	0.0269403153230049	9	0.0687603644111625	内皮细胞	Endothelial	DONE	False	True	DONE	SAME_TOP	Endothelial	Endothelial	Endothelial	Endothelial	False
M01	氨基酸氮分配与谷氨酸分支	GCLC	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Myeloid	B_cells	0.0763914504606125	0.00538446240639831	11	0.0882062316516808	髓系细胞	Myeloid	DONE	DONE		Myeloid	Malignant_epithelial	0.0760023587668682	0.012144125729893707	5	0.1490709594567323	髓系细胞	Myeloid	DONE	DONE		Myeloid	Nonmalignant_epithelial	0.0572033388733096	0.0109717691870952	10	0.0657186814531967	髓系细胞	Myeloid	DONE	True	True	DONE	SAME_TOP	Myeloid	Myeloid	Myeloid	Myeloid	False
M01	氨基酸氮分配与谷氨酸分支	GOT1	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Nonmalignant_epithelial	B_cells	0.1953125826244309	0.044247888103195104	4	0.3324652325646615	非恶性上皮	B_cells	DONE	DONE		Malignant_epithelial	B_cells	0.2424849416377783	0.054280133622911814	3	0.4211886619891177	恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.2076388753539904	0.10547232957153219	8	0.2944629860723893	恶性上皮	Malignant_epithelial	DONE	False	False	DONE	DIFFERENT_TOP_DESCRIPTIVE	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	False
M01	氨基酸氮分配与谷氨酸分支	GOT2	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Nonmalignant_epithelial	Malignant_epithelial	0.1872388063981729	0.029790818408137604	4	0.3062093542215413	非恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Fibroblasts	0.2194357203469673	0.10023640891481539	3	0.4082181113244404	恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.1838786849983758	0.0077666999561151195	8	0.275073647147561	恶性上皮	Malignant_epithelial	DONE	False	True	DONE	SAME_TOP	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	False
M01	氨基酸氮分配与谷氨酸分支	OAT	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Nonmalignant_epithelial	Malignant_epithelial	0.7167533407568021	0.1297367573778193	4	0.6755884223742334	非恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Perivascular	0.704416485737319	0.10601492680589719	3	0.7122697470331931	恶性上皮	Malignant_epithelial	DONE	DONE		Nonmalignant_epithelial	Malignant_epithelial	0.7733830979612438	0.13947369909925122	4	0.6179053851121021	非恶性上皮	Malignant_epithelial	DONE	False	True	DONE	SAME_TOP	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	False
M01	氨基酸氮分配与谷氨酸分支	SLC7A11	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Myeloid	Endothelial	0.0288376861837073	0.0143685536395609	11	0.0212109820428355	髓系细胞	Myeloid	DONE	DONE		Myeloid	Endothelial	0.0395943035019754	0.016940471028932404	5	0.0346264936429095	髓系细胞	Myeloid	DONE	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.0666409666126607	0.03987501659283969	8	0.0849352143321184	恶性上皮	Malignant_epithelial	DONE	False	False	DONE	DIFFERENT_TOP_DESCRIPTIVE	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Myeloid	True
M01	氨基酸氮分配与谷氨酸分支	TAT	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Nonmalignant_epithelial	Malignant_epithelial	0.1063045294934357	0.0567068895942368	4	0.0587084711451458	非恶性上皮	Malignant_epithelial	DONE	NOT_EVALUABLE	low_detection	NA	NA	0.0016799127195202	0.001597365996606573	5	0.0068965517241379	不可判定	NA	NOT_EVALUABLE	DONE		Nonmalignant_epithelial	Myeloid	0.0628420953425983	0.0615756677088269	4	0.0522204577195116	非恶性上皮	NA	NOT_EVALUABLE	False	False	NOT_EVALUABLE	LOW_DETECTION_OR_COVERAGE	NA	NA	NA	NA	NA
M01	氨基酸氮分配与谷氨酸分支	ASS1	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Endothelial	Malignant_epithelial	0.4253412805006586	0.12169258986035919	11	0.2983011695148664	内皮细胞	Endothelial	DONE	DONE		Endothelial	Malignant_epithelial	0.3768908744417281	0.05035336089224651	4	0.2607037546126182	内皮细胞	Endothelial	DONE	DONE		Malignant_epithelial	Endothelial	0.4547966043550441	0.10222383484007269	8	0.4498230274733863	恶性上皮	Malignant_epithelial	DONE	False	False	DONE	DIFFERENT_TOP_DESCRIPTIVE	Endothelial	Malignant_epithelial	Endothelial	Endothelial	True
M01	氨基酸氮分配与谷氨酸分支	PEPD	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Myeloid	Nonmalignant_epithelial	0.3259828749103249	0.05609398828987089	11	0.2898055061430022	髓系细胞	Myeloid	DONE	DONE		Myeloid	Fibroblasts	0.3578120938152013	0.08931843573024278	5	0.4082926383336779	髓系细胞	Myeloid	DONE	DONE		Malignant_epithelial	Myeloid	0.3420229741452351	0.03390095060891529	8	0.4103632061463518	恶性上皮	Malignant_epithelial	DONE	False	False	DONE	DIFFERENT_TOP_DESCRIPTIVE	Myeloid	Myeloid	Myeloid	Myeloid	False
M01	氨基酸氮分配与谷氨酸分支	PRODH	7	descriptive_only;not_subtype_specificity_or_causality	NOT_EVALUABLE	low_detection	NA	NA	0.0067428810239379	0.0054648991030432	9	0.0086559154229663	不可判定	NA	NOT_EVALUABLE	DONE		Malignant_epithelial	Endothelial	0.0411596499528474	0.0403121354262126	3	0.1032380923258225	恶性上皮	Malignant_epithelial	DONE	DONE		Nonmalignant_epithelial	Malignant_epithelial	0.0098363286657772	0.006241447508111701	4	0.0124124318601612	非恶性上皮	NA	NOT_EVALUABLE	False	False	NOT_EVALUABLE	LOW_DETECTION_OR_COVERAGE	NA	NA	NA	NA	NA
M01	氨基酸氮分配与谷氨酸分支	PYCR1	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.4578978687063056	0.2525643989391304	9	0.4700225211490905	恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Fibroblasts	0.7762309984112673	0.4850311643964279	3	0.7145536647892626	恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Fibroblasts	0.6191803218359346	0.42734476805639077	8	0.5619154128663437	恶性上皮	Malignant_epithelial	DONE	True	True	DONE	SAME_TOP	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	False
M01	氨基酸氮分配与谷氨酸分支	PYCR2	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.1656385601259239	0.02373801842301021	9	0.1971501659260458	恶性上皮	Malignant_epithelial	DONE	DONE		Endothelial	Malignant_epithelial	0.0897548904922197	0.0006608899909985033	4	0.1215057615691581	内皮细胞	Endothelial	DONE	DONE		Nonmalignant_epithelial	Malignant_epithelial	0.1286139406848747	0.01067577646570339	4	0.1553160336982475	非恶性上皮	Malignant_epithelial	DONE	False	False	DONE	DIFFERENT_TOP_DESCRIPTIVE	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	False
M01	氨基酸氮分配与谷氨酸分支	PYCR3	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.1380823490760448	0.0863904867684579	9	0.1766760881235442	恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Fibroblasts	0.1035272518322644	0.06366413565563259	3	0.238163478426668	恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.0788252140697081	0.029727347246393004	8	0.146740792402408	恶性上皮	Malignant_epithelial	DONE	True	True	DONE	SAME_TOP	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	False
M01	氨基酸氮分配与谷氨酸分支	ARG1	7	descriptive_only;not_subtype_specificity_or_causality	NOT_EVALUABLE	low_detection	NA	NA	0.0015292235081081	0.0014992473813089933	11	0.0008829210096898	不可判定	NA	NOT_EVALUABLE	NOT_EVALUABLE	low_detection	NA	NA	0.0007883577335881	0.0006289898581264001	5	0.0004456190542028	不可判定	NA	NOT_EVALUABLE	NOT_EVALUABLE	low_detection	NA	NA	0.0013162349087768	0.0006056880661186	10	0.0005633802816901	不可判定	NA	NOT_EVALUABLE	False	False	NOT_EVALUABLE	LOW_DETECTION_OR_COVERAGE	NA	NA	NA	NA	NA
M01	氨基酸氮分配与谷氨酸分支	ARG2	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Nonmalignant_epithelial	B_cells	0.0791330454241994	0.0081794636141478	4	0.1432640771815025	非恶性上皮	B_cells	DONE	DONE		Perivascular	T_NK_cells	0.1362432586164815	0.0639446891749643	4	0.1535186859553948	血管周细胞	Perivascular	DONE	DONE		Nonmalignant_epithelial	Malignant_epithelial	0.1226577971978288	0.0637763269559232	4	0.1359703263203736	非恶性上皮	Malignant_epithelial	DONE	False	False	DONE	DIFFERENT_TOP_DESCRIPTIVE	Perivascular	Perivascular	Malignant_epithelial	Perivascular	True
