relation_id	gene	metabolite	primary_er_n	primary_er_rho	primary_er_p	primary_er_q	original_q	n	n_er_positive	n_er_negative	n_excluded	status	origin	partial_rank_rho	p_value	seed	q_value	family_n_evaluable
HMDB:HMDB00721|PEPD	PEPD	glycylproline	61.0	-0.2027123103920058	0.1156	0.3594109090909091	0.3768035294117647	56.0	28.0	28.0	5.0	DONE_EXPLORATORY	NEW_SUBSET_CALCULATION	-0.1706192177793739	0.2107	3115294630.0	0.48688783783783784	171
KEGG:C00009|PPA1	PPA1	phosphate	61.0	0.1814990146850546	0.1611	0.3920957746478873	0.089775	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.18149901468505467	0.1611	2839014163.0	0.43498125000000004	171
KEGG:C00009|PPA2	PPA2	phosphate	61.0	0.2206195668117264	0.0914	0.3074711538461538	0.334305	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.22061956681172645	0.0914	152255655.0	0.33799787234042555	171
KEGG:C00013|PPA1	PPA1	pyrophosphate (PPi)	61.0	-0.1529092085758301	0.2439	0.46341	0.4857795918367346	45.0	21.0	24.0	16.0	DONE_EXPLORATORY	NEW_SUBSET_CALCULATION	-0.08549115428724863	0.573	3186114752.0	0.7394142857142856	171
KEGG:C00013|PPA2	PPA2	pyrophosphate (PPi)	61.0	0.1426606265957133	0.2788	0.5113627659574469	0.48556875	45.0	21.0	24.0	16.0	DONE_EXPLORATORY	NEW_SUBSET_CALCULATION	0.08223588117563242	0.6055	2493190534.0	0.761327205882353	171
KEGG:C00021|AHCY	AHCY	S-adenosylhomocysteine (SAH)	61.0	0.0502762860982093	0.7102	0.831809589041096	0.8987240506329114	55.0	30.0	25.0	6.0	DONE_EXPLORATORY	NEW_SUBSET_CALCULATION	0.08420960924550795	0.5501	557410739.0	0.7394142857142856	171
KEGG:C00021|NNMT	NNMT	S-adenosylhomocysteine (SAH)	61.0	-0.1301364865327388	0.3169	0.5529581632653062	0.5264242990654207	55.0	30.0	25.0	6.0	DONE_EXPLORATORY	NEW_SUBSET_CALCULATION	-0.01645480790617665	0.9068	1541638198.0	0.9406030120481929	171
KEGG:C00025|ASNS	ASNS	glutamate	61.0	0.1774358594121097	0.1929	0.4279275	0.212735593220339	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.17743585941210974	0.1929	423596615.0	0.47805652173913044	171
KEGG:C00025|BCAT1	BCAT1	glutamate	61.0	0.2099062996636585	0.0891	0.3074711538461538	0.12426	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.20990629966365856	0.0891	3192832144.0	0.33799787234042555	171
KEGG:C00025|BCAT2	BCAT2	glutamate	61.0	0.393455269671664	0.0025	0.0534375	0.0800590909090909	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.393455269671664	0.0025	620435715.0	0.053437500000000006	171
KEGG:C00025|FOLH1	FOLH1	glutamate	61.0	0.124245104163345	0.3502	0.5814	0.2592260869565218	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.12424510416334508	0.3502	761408543.0	0.5986693069306931	171
KEGG:C00025|GCLC	GCLC	glutamate	61.0	0.1354059021646802	0.2895	0.515671875	0.4955679611650485	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.1354059021646802	0.2895	1103147328.0	0.5210999999999999	171
KEGG:C00025|GLS	GLS	glutamate	61.0	0.176069622215776	0.1844	0.420432	0.2675095890410958	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.17606962221577607	0.1844	3691858292.0	0.4637117647058824	171
KEGG:C00025|GLS2	GLS2	glutamate	61.0	-0.1711409119605062	0.1974	0.4279275	0.125216129032258	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	-0.17114091196050626	0.1974	1608607669.0	0.48046250000000007	171
KEGG:C00025|GLUL	GLUL	glutamate	61.0	0.0571613233209296	0.6592	0.7994553191489362	0.899314024390244	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.05716132332092965	0.6592	1063351997.0	0.8051657142857144	171
KEGG:C00025|GOT1	GOT1	glutamate	61.0	0.3100636877625135	0.0224	0.1512692307692307	0.0693	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.31006368776251353	0.0224	4227398482.0	0.19665000000000002	171
KEGG:C00025|GOT2	GOT2	glutamate	61.0	0.2430625522265695	0.07	0.2923682926829268	0.212735593220339	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.24306255222656958	0.07	879783293.0	0.33799787234042555	171
KEGG:C00025|OAT	OAT	glutamate	61.0	-0.1149135673284696	0.3916	0.6124221238938053	0.5552470588235294	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	-0.11491356732846962	0.3916	245836170.0	0.6258280373831776	171
KEGG:C00025|SLC7A11	SLC7A11	glutamate	61.0	0.2839476239722817	0.0328	0.1903064516129032	0.0466363636363636	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.28394762397228174	0.0328	1364668932.0	0.22435200000000002	171
KEGG:C00025|TAT	TAT	glutamate	61.0	-0.1403281593427693	0.2811	0.5113627659574469	0.2220241935483871	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	-0.1403281593427693	0.2811	3907032751.0	0.5210999999999999	171
KEGG:C00037|GSS	GSS	glycine	61.0	0.121490159808522	0.3536	0.5814	0.54705	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.12149015980852206	0.3536	4058973043.0	0.5986693069306931	171
KEGG:C00037|PEPD	PEPD	glycine	61.0	-0.037942943033566	0.7746	0.8601077922077922	0.9604164705882352	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	-0.037942943033566066	0.7746	2540351141.0	0.8704235294117647	171
KEGG:C00037|SHMT1	SHMT1	glycine	61.0	-0.2980915361623387	0.0242	0.1532666666666666	0.1342090909090909	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	-0.29809153616233874	0.0242	157405785.0	0.19705714285714288	171
KEGG:C00037|SHMT2	SHMT2	glycine	61.0	0.1671904953888215	0.2002	0.4279275	0.3290653846153846	61.0	31.0	30.0	0.0	DONE_EXPLORATORY	REUSED_IDENTICAL_INPUT_V2_P	0.16719049538882153	0.2002	2074808083.0	0.48046250000000007	171
